,query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3
1278,해외수신거부 해제방법,"('국제전화수신거부서비스해지방법', 0.486)",,,2,국제전화사업자선택(0.42315605),국제전화수신거부서비스(0.41389465),"국제전화청구주기(0.40187535)
"
1279,요금 세부내역,,,,2,요금수납내역확인방법(0.4888531),요금부분납부방법(0.485936075),편의점요금납부(0.47052015)
1280,선택약정이 만료일이 되었기에 다시 신청하는거에요 적용시켜주세요,"('선택약정할인제도재가입조건', 0.665)",,,2,선택약정할인제도만료문자발송시기(0.49165595),선택약정할인제도가입조건(0.48992008),선택약정할인제도할인반환금부과대상(0.48693135)
1281,해외에서 긴문자 수신,"('해외MMS서비스', 0.474)","('해외SMS서비스', 0.468)","('로밍문자요금', 0.452)",2,해외SMS서비스(0.4662368),로밍문자요금(0.40803358),로밍중인증문자수신(0.407695175)
1282,다른날짜로 납부 가능한가요?,"('요금납부일변경방법', 0.453)",,,2,"요금납부일확인방법(0.9465562)
",,
1283,납부가능일 1125일,"('요금납부일확인방법', 0.491)",,,2,"요금납부일확인방법(0.84129554)
",,
1284,미납요금 금액  알려주세요,"('SKT미납센터연락처', 0.569)","('미납이용정지', 0.523)","('과납', 0.478)",2,SKT미납센터연락처(0.485565215),미납이용정지(0.46017453),미납직권해지(0.43535835)
1285,가입 어떡해해,"('신규가입구비서류', 0.611)","('가입상담예약방법', 0.609)","('가입비', 0.57)",2,이동전화가입제한(0.45685125),가입상담예약방법(0.4544209),"이용계약증명서발급방법(0.41798508)
"
1286,분실보호해지해주세요,"('휴대폰보호서비스해지방법', 0.616)","('휴대폰번호보호해지방법', 0.569)","('고객보호비밀번호서비스해지방법', 0.552)",2,분실폰찾기개인정보삭제(0.46293805),분실폰찾기알람(0.4492207),분실폰찾기위치조회(0.44105205)
1287,티전화 이스터에그 알려줘,,,,2,T전화투데이뉴스(0.40552655),"T전화투데이통화추천(0.40189705)
",
1288,해외로 갈게 아닙니다,"('5G로밍가능국가', 0.495)","('해외MMS서비스', 0.451)",,2,로밍한사람간통화요금(0.44300112),로밍중휴대폰기능사용요금(0.442510575),로밍통화요금(0.44040215)
1289,개별로,"('개별통화수신거부이용방법', 0.503)","('개별통화수신거부', 0.5)","('개별통화수신거부신청방법', 0.484)",2,휴대폰특정번호전화발신불가조치방법(0.45095195),휴대폰특정번호전화수신불가조치방법(0.44245715),휴대폰특정번호문자수신실패조치방법(0.44110602)
1290,통신사가입증명 팩스요청,"('이용계약증명서발급방법', 0.671)","('통신자료제공신청방법', 0.503)","('PASS신청방법', 0.488)",2,"이용계약증명서발급방법(0.8087369)
",,
1291,통신사 가맹점  문의,"('영업장위치확인', 0.564)","('개통대리점조회방법', 0.552)","('T멤버십가맹점및사용방법', 0.514)",2,타통신사고객센터(0.43703525),제조사AS센터연락처(0.42581758),"SK텔레콤고객센터운영시간(0.4182154)
"
1292,미납요금 납부 했는데 청구가 되요?,"('SKT미납센터연락처', 0.569)","('과납', 0.495)","('휴대폰결제연체가산금', 0.481)",2,SKT미납센터연락처(0.47591853),미납이용정지(0.45035067),미납직권해지(0.4363345)
1293,26일로 납부가능일 지정,,,,2,"요금납부일확인방법(0.83896685)
",,
1294,아이폰파손 lite 요금 문의 드려요,"('ZEM플랜라이트', 0.533)","('T라이트할부카드', 0.522)","('T_Giga인터넷라이트', 0.471)",2,T아이폰파손SE2022(0.488321575),T아이폰파손14Pro(0.48542115),T아이폰파손13Pro(0.48483265)
1295,로밍 데이터 다 쓰고 나서 데이터 충전 또 할 수 있어?,"('T로밍데이터충전', 0.733)","('baro2GB충전', 0.657)","('baro1GB충전', 0.65)",2,T로밍데이터충전(0.49203465),임대로밍반납방법(0.45668445),"팅요금충전방법(0.4243018)
"
1296,요금 말고,,,,2,과납(0.45473475),부가사용금액(0.4527401),편의점요금납부(0.4260271)
1297,실시간 이용요금은 뭔가요?,"('실시간요금상세내역', 0.689)",,,2,"실시간요금상세내역(0.97855276)
",,
1298,방금 고객센타에서 저에게 부재중 전화가 왔어요 왠일이세요?,"('T_부재중안내', 0.601)",,,2,T_부재중안내(0.427637725),통화중대기서비스신청방법(0.42152083),통화중대기서비스(0.41454195)
1299,상담직원 연결,"('전화상담사연결', 0.666)","('SK텔레콤고객센터운영시간', 0.507)","('제조사AS센터연락처', 0.506)",2,전화상담사연결(0.47647225),SK텔레콤고객센터운영시간(0.4763101),ONEstore고객센터(0.46208995)
1300,인터넷 기사님 연락필요,"('전화상담사연결', 0.547)","('제조사AS센터연락처', 0.525)","('유선A/S방문일정', 0.451)",2,"휴대폰결제대행사연락처(0.80679554)
",,
1301,미납금 입금 날짜 30일 괜찮을까요?,,,,2,SKT미납센터연락처(0.44548163),"미납이용정지(0.44243413)
",
1302,카드수납요망,"('단말기할부금중도납부방법', 0.519)","('결제관련', 0.485)","('OK캐쉬백납부', 0.466)",2,"동일신용카드월5회수납제한(0.8368558)
",,
1303,다시 상담 시작하기,,,,2,"전화상담사연결(0.8093245)
",,
1304,해제하는방법은요,"('차단해제관련', 0.459)",,,2,이동전화해지방법(0.48187805),자동납부해지방법(0.4634243),"유선해지방법(0.4294527)
"
1305,11월 요금이 평소보다 두배로 나왔는데 이유가 뭔가요,,,,2,과납(0.434768975),"세금계산서신청방법(0.403603315)
",
1306,니필 쿠폰 보여줘.,,,,2,데이터리필하기쿠폰사용내역확인방법(0.494243235),데이터리필하기사용방법(0.49030335),데이터리필하기쿠폰취소(0.48538205)
1307,상담해줘,"('퀵보이스신청방법', 0.55)","('퀵보이스', 0.55)","('퀵보이스차단서비스', 0.55)",2,전화상담사연결(0.46718973),SK텔레콤고객센터운영시간(0.45265487),타통신사고객센터(0.446454885)
1308,내 용량 얼마 남았너,"('baroBox잔여량조회', 0.53)","('baro요금제잔여량확인', 0.519)","('자녀데이터사용량조회방법', 0.504)",2,"최근사용량확인방법(0.8985358)
",,
1309,미납요금문의,"('SKT미납센터연락처', 0.592)","('미납이용정지', 0.569)","('과납', 0.487)",2,SKT미납센터연락처(0.49274087),미납이용정지(0.458281665),미납직권해지(0.451155275)
1310,여자 아이들 신곡 들려줄 수 있어?,,,,2,자녀요금조회방법(0.41688975),"자녀요금통보서비스(0.410048425)
",
1311,너무 않이요금이 결산 되어서?,,,,2,과납(0.47471025),요금수납내역확인방법(0.45732832),요금부분납부방법(0.456942825)
1312,co폰,,,,2,T안심보상(0.432517),"아이폰기기변경상담(0.40053123)
",
1313,미납요금에 한달분만 입금가능하죠,"('미납이용정지', 0.5)","('단말기할부금중도납부방법', 0.456)",,2,SKT미납센터연락처(0.47672065),미납이용정지(0.44628255),미납직권해지(0.43490982)
1314,선택 약정 할인 가입,"('Btv선택', 0.662)","('선택약정할인제도가입조건', 0.56)",,2,선택약정할인제도가입조건(0.4810833),선택약정할인제도만료문자발송시기(0.480972765),선택약정할인제도할인반환금부과대상(0.47983387)
1315,부과사용 요금 조회,"('실시간요금상세내역', 0.479)","('유선요금납부내역확인방법', 0.466)","('요금수납내역확인방법', 0.462)",2,"부가사용금액(0.9250144)
",,
1316,친구에게 선물하기,"('T끼리데이터선물하기대상', 0.626)","('T끼리데이터선물조르기방법', 0.593)","('T끼리데이터선물하기알림', 0.517)",2,T끼리데이터선물하기연령(0.49586565),가족간데이터자동선물하기(0.49322595),T끼리데이터선물하기대상(0.49235115)
1317,괌 로밍,"('T괌사이판요금제잔여량확인', 0.515)","('T괌사이판옵션변경', 0.494)",,2,T괌사이판요금제잔여량확인(0.47124545),0틴플랜스몰(0.46440385),0플랜스몰(0.46375325)
1318,20이로요,"('TAll케어플러스200', 0.532)","('분실파손200', 0.523)","('5GX클럽갤럭시S20', 0.496)",2,5GX요금제(0.409536185),"SKT5GX(0.40545745)
",
1319,가입자가 사망하여 해지하려고 하는데 어떤 서류 필요한가요?,,,,2,이동전화가입제한(0.46550455),가입상담예약방법(0.4643896),이용계약증명서발급방법(0.4339111)
1320,할부위약금조회,,,,2,단말기할부금중도납부방법(0.424269825),T지원금약정(0.41990315),가산금(0.4152206)
1321,포인트가없어도 할인가능한가요,,,,2,레인보우포인트사용방법(0.441111775),레인보우포인트(0.4382318),레인보우포인트확인방법(0.43543428)
1322,요금 200000만원 입금 되었나요?,,,,2,"부가사용금액(0.8144009)
",,
1323,번호 저장이 부담스러울 때,"('휴대폰MMS수신후저장실패조치방법', 0.459)",,,2,번호이동제도(0.4612076),휴대폰번호보호신청방법(0.4293708),태블릿번호확인방법(0.424948335)
1324,요금 납부11월21일가능합니다,,,,2,"요금납부일확인방법(0.9745481)
",,
1325,해외에서 106번 문자수신,,,,2,"해외SMS서비스(0.89306754)
",,
1326,btv 미납요금있나요?,"('SKT미납센터연락처', 0.553)","('미납이용정지', 0.512)","('과납', 0.466)",2,SKT미납센터연락처(0.47854175),미납이용정지(0.44668263),미납직권해지(0.435967415)
1327,로밍 할여고요,"('T로밍카드등록방법', 0.539)","('T로밍고객센터', 0.495)","('T로밍카드고객센터', 0.468)",2,로밍한사람간통화요금(0.430372),로밍통화요금(0.42650965),T로밍청구내역서(0.42387635)
1328,VIP 혜택 픽에서 나오는 할인 혜택은 다 무료인가요?,"('T멤버십VIPPick', 0.678)","('스마트콜Pick', 0.578)","('T멤버십VIPPick잔여횟수확인방법', 0.543)",2,T멤버십VIPPick잔여횟수확인방법(0.474176885),T멤버십VIPPick(0.472678),VIP요금제프로그램(0.46787837)
1329,11월25일납부가능할까요,,,,2,"요금납부일확인방법(0.8537942)
",,
1330,투데이는 무엇인가요?,"('T전화투데이', 0.621)","('T전화투데이통화추천', 0.551)","('T전화투데이뉴스', 0.521)",2,"T멤버십Tday프로모션(0.8438359)
",,
1331,네이번달20일에납부합니다,,,,2,"요금납부일확인방법(0.9105684)
",,
1332,로밍 수신 안내음,,,,2,로밍수신요금(0.49458498),로밍중휴대폰기능사용요금(0.494449),로밍중전화발신방법(0.49404493)
1333,약정할인 ?,"('요금약정할인제도', 0.677)","('데이터결합약정할인', 0.532)",,2,"요금약정할인제도(0.8115558)
",,
1334,언제 미납 요금입니까,"('SKT미납센터연락처', 0.515)","('미납이용정지', 0.513)",,2,SKT미납센터연락처(0.482685415),미납이용정지(0.45721275),미납직권해지(0.43344027)
1335,할인 얼마 받나요,"('SK텔레콤할인혜택', 0.573)",,,2,"SK텔레콤할인혜택(0.847785)
",,
1336,경험 있으신가요,"('Tum체험관', 0.453)",,,2,단말보험가입방법(0.4918643),휴대폰보험보상신청방법(0.48760505),단말보험해지방법(0.4751111)
1337,연락처 지워져서 복원이요,,,,2,휴대폰결제대행사연락처(0.47246638),SK텔레콤고객센터운영시간(0.460134775),ONEstore고객센터(0.44762425)
1338,25일 약속 납부 가능합니다,,,,2,요금납부일확인방법(0.42778545),과납(0.42012277),편의점요금납부(0.41430828)
1339,이용정지되면,"('정지관련', 0.685)","('일시정지', 0.462)",,2,착신금지서비스신청방법(0.45251775),착신금지서비스(0.448238),착신금지서비스해지방법(0.4414291)
1340,기본형?,"('원패스VIP기본형', 0.558)","('컬러링서비스기본음설정방법', 0.505)",,2,"휴대폰기기변경방법(0.8001291)
",,
1341,데이터 다 썼어,,,,2,데이터추가사용방법(0.45525965),"데이터통화료상한제도(0.45026082)
",
1342,기업필링 해지 하고싶은데요.,"('컬러링서비스해지방법', 0.544)","('레터링해지방법', 0.504)","('TRing해지방법', 0.498)",2,데이터리필하기데이터공유가능여부(0.4182116),데이터리필하기문자통보(0.415480225),"데이터리필하기데이터음성사용기간(0.40884465)
"
1343,콘텐즈,,,,2,콘텐츠이용료구매내역확인방법(0.46963245),콘텐츠이용료가능대상(0.4337725),구글Play스토어고객센터(0.40872505)
1344,넘버플러스앱 사용법,"('넘버플러스2이용방법', 0.517)","('넘버플러스2', 0.516)","('오토컬러링플러스', 0.507)",2,넘버플러스2이용방법(0.49541855),넘버플러스2번호확인방법(0.49505015),넘버플러스2(0.4946409)
1345,납부 가능일 2023.11.11일 될까요,,,,2,"요금납부일확인방법(0.9541558)
",,
1346,갑자기요금이많이나와네요,,,,2,"요금납부일확인방법(0.87384284)
",,
1347,소액결제 정보이용료,,,,2,콘텐츠이용료가능대상(0.41950345),"휴대폰결제안심통보신청방법(0.41566045)
",
1348,콘텐츠,"('퀵보이스신청방법', 0.493)","('퀵보이스', 0.493)","('퀵보이스차단서비스', 0.493)",2,콘텐츠이용료가능대상(0.49033885),"콘텐츠이용료구매내역확인방법(0.468764635)
",
1349,잘못해서 분실폰 가입되엇는데 취소 해주세요,"('로밍중휴대폰분실신고', 0.486)",,,2,분실폰찾기개인정보삭제(0.49427402),분실폰찾기알람(0.4891541),분실폰찾기위치조회(0.47469282)
1350,핸드폰결제내역,"('콘텐츠이용료구매내역확인방법', 0.672)","('요금수납내역확인방법', 0.633)","('애플콘텐츠이용료결제내역확인방법', 0.615)",2,휴대폰결제이용가능대상(0.43491795),콘텐츠이용료가능대상(0.4304693),휴대폰결제이용동의신청방법(0.42769835)
1351,요금 납부했는데 전화가 안되요,"('단말기할부금중도납부방법', 0.471)",,,2,요금부분납부방법(0.488167165),요금수납내역확인방법(0.48474725),편의점요금납부(0.46562332)
1352,올케어플러스 해지,"('Wavve앤데이터플러스해지방법', 0.724)","('퍼펙트콜플러스해지방법', 0.698)","('멜론익스트리밍플러스해지방법', 0.689)",2,TAll케어플러스3파손F(0.42133715),TAll케어플러스3파손80(0.4200402),TAll케어플러스3파손40(0.4174921)
1353,미납요금30일납부가능,"('미납이용정지', 0.464)",,,2,SKT미납센터연락처(0.4597829),"미납이용정지(0.44398225)
",
1354,9900원내고 할인쿠폰받는 서비스 신청햇는데 쿠폰을 어떻게 사용가능한건가요,,,,2,T쿠폰(0.40845055),"T쿠폰구매방법(0.40364245)
",
1355,중고 가입인증이 계속 옵니다,,,,2,이용계약증명서발급방법(0.43955815),가입상담예약방법(0.435634015),"이동전화가입제한(0.43198797)
"
1356,문자로 전송해조,"('문자메시지서비스', 0.684)","('메시지관련', 0.643)","('MMS', 0.594)",2,일500건SMS발송량제한(0.480448425),문자메시지서비스(0.4755288),문자매니저(0.47435755)
1357,재가입해주세요,"('선택약정할인제도재가입조건', 0.551)",,,2,"요금안내서재발행방법(0.8403756)
",,
1358,선택약정할인 받을수 있나요?,"('선택약정할인제도가입조건', 0.576)","('선택약정할인제도가입불가요금제', 0.538)","('Btv선택', 0.512)",2,선택약정할인제도가입조건(0.494541375),선택약정할인제도할인반환금부과대상(0.49264133),선택약정할인제도만료문자발송시기(0.491535635)
1359,10일날. 입금 되요. 그날 입금 할게요,,,,2,"요금납부일확인방법(0.87968105)
",,
1360,로밍신청했는데요. 제꺼 핫스팟 연결해서 로밍 안한 자녀폰 사용 가능해요?,"('휴대폰핫스팟연결불가조치방법', 0.565)","('테더링및모바일핫스팟', 0.545)",,2,테더링및모바일핫스팟(0.434564235),"휴대폰핫스팟연결불가조치방법(0.42984175)
",
1361,월별 미납요금 알려주세요,"('SKT미납센터연락처', 0.533)","('미납이용정지', 0.489)",,2,SKT미납센터연락처(0.4776572),미납이용정지(0.46062252),미납직권해지(0.4149131)
1362,기가라이트인터넷,"('T_Giga인터넷라이트', 0.751)","('ZEM플랜라이트', 0.689)","('컬러링라이트', 0.661)",2,"T_Giga인터넷라이트(0.9616552)
",,
1363,추가 로밍 가능할까요,,,,2,로밍한사람간통화요금(0.45266098),로밍통화요금(0.448322535),로밍중휴대폰기능사용요금(0.44060095)
1364,16일에 납부가능,,,,2,부가사용금액(0.45790215),과납(0.4571724),요금납부일확인방법(0.43766317)
1365,로봇 처럼 일 해야돼는 거 정말 힘들죠?,,,,2,로밍중전화발신방법(0.4504716),로밍중휴대폰기능사용요금(0.44580235),로밍통화요금발생시점(0.44388935)
1366,나의 로밍 요금제,"('T로밍카드', 0.524)","('T로밍카드종류', 0.466)",,2,로밍통화요금(0.49299997),로밍요금확인시점(0.4914746),로밍수신요금(0.48984802)
1367,내 가입확인,"('가입정보조회', 0.625)","('부가서비스가입내역확인방법', 0.544)","('조회관련', 0.462)",2,이동전화가입제한(0.48747197),가입상담예약방법(0.4742248),"이용계약증명서발급방법(0.45194608)
"
1368,약정할인이  11월 아니였나요 ?,,,,2,"요금약정할인제도(0.87511283)
",,
1369,국제전화제한,"('국제전화발신금지', 0.672)",,,2,국제전화사업자선택(0.4848994),국제전화청구주기(0.482540725),국제전화알림Biz레터링(0.48201445)
1370,핸드폰 남은금액,"('단말기잔여할부조회방법', 0.562)","('T데이터쿠폰잔액조회방법', 0.458)","('일자별잔여통화안내', 0.457)",2,단말기할부금중도납부방법(0.45164365),"단말기할부(0.42350515)
",
1371,미닙요금 닙부 가능일,,,,2,퀵보이스신청방법(0.49182582),스팸ARS차단플러스신청방법(0.4912702),스팸ARS차단플러스(0.4906162)
1372,"3일동안 로밍진행하고 싶은데, 가능할까요?","('T로밍카드', 0.475)",,,2,로밍한사람간통화요금(0.47119665),T로밍청구내역서(0.4549799),로밍통화요금(0.45467913)
1373,114접수,"('전화상담사연결', 0.483)",,,2,"전화상담사연결(0.82495874)
",,
1374,나부할요금,,,,2,"부가사용금액(0.83891255)
",,
1375,구글 못들어가?,,,,2,구글Play스토어고객센터(0.48636228),"콘텐츠이용료구매내역확인방법(0.40525517)
",
1376,나 내일 현장체험합습 간다!,"('Tum체험관', 0.583)",,,2,휴대폰보험보상신청방법(0.43400812),단말보험가입방법(0.430520475),"단말보험해지방법(0.41157175)
"
1377,T전화로 변경됬는데 기존쓰던 걸로 변경 어떻게해요,"('유선상품변경방법', 0.501)","('T전화설정방법', 0.491)","('T전화모드유지', 0.455)",2,T전화스팸기능(0.4684842),T전화모드유지(0.465402275),T전화설정방법(0.46516815)
1378,직접 상담원과 통화 원합니다,"('전화상담사연결', 0.646)","('제조사AS센터연락처', 0.506)","('SK텔레콤고객센터운영시간', 0.494)",2,전화상담사연결(0.4822892),SK텔레콤고객센터운영시간(0.4668501),ONEstore고객센터(0.46270485)
1379,아이고 내가 요금조회를하고싶당께 어떻게하구마잉,"('조회관련', 0.607)","('실시간요금상세내역', 0.513)","('자녀요금조회방법', 0.484)",2,팅요금제자동변경시기(0.409706535),자녀요금통보서비스(0.40943527),자녀요금조회방법(0.40861112)
1380,아이폰통화시간을 주고싶어요,,,,2,"아이폰기기변경상담(0.81072307)
",,
1381,베트남 4일 로밍요금?,,,,2,로밍한사람간통화요금(0.40810552),"로밍통화요금(0.402151825)
",
1382,1일이 아닌 금액제로 쓰고 싶어요,,,,2,"요금납부일확인방법(0.8750464)
",,
1383,실시간 이용요금 선결제,"('통신과금선결제이용방법', 0.698)","('통신과금선결제', 0.689)","('선불폰', 0.467)",2,통신과금자동선결제신청방법(0.48587805),통신과금자동선결제(0.484696715),통신과금자동선결제횟수제한(0.4826873)
1384,미납요금은  처리되었나요?,"('SKT미납센터연락처', 0.557)","('미납이용정지', 0.514)","('과납', 0.507)",2,SKT미납센터연락처(0.48302698),미납이용정지(0.45456905),미납직권해지(0.4437855)
1385,11월 25일로 등록 가능하실까요?,"('가입상담예약방법', 0.459)",,,2,"등록관련(0.8433537)
",,
1386,01041079337 선택약정 재가입,"('선택약정할인제도재가입조건', 0.684)","('T멤버십재발급취소', 0.496)","('법인폰요금안내서재발행방법', 0.468)",2,선택약정할인제도만료문자발송시기(0.4622486),선택약정할인제도가입조건(0.45442605),선택약정할인제도할인반환금부과대상(0.45123135)
1387,티브로,"('FLO', 0.591)","('T전화baro', 0.562)","('FLO이용방법', 0.539)",2,모바일Btv앱(0.4686879),Btv유튜브시청방법(0.45249845),"BtvTV앱(0.406143785)
"
1388,해외번호 차단해지방법 가르쳐주세요,"('데이터로밍차단해지', 0.482)","('해외SMS발신금지서비스', 0.476)",,2,"데이터로밍차단시통화문자이용(0.84143996)
",,
1389,내 연락처,"('제조사AS센터연락처', 0.546)","('전화상담사연결', 0.544)","('영업장위치확인', 0.502)",2,휴대폰결제대행사연락처(0.48500487),SK텔레콤고객센터운영시간(0.468070835),ONEstore고객센터(0.46255585)
1390,선택약정할인가입여부확인,"('선택약정할인제도가입가능단말기조회방법', 0.565)","('선택약정할인제도가입조건', 0.499)",,2,선택약정할인제도가입조건(0.49558413),선택약정할인제도할인반환금부과대상(0.4897707),선택약정할인반환금면제대상(0.4890651)
1391,미납금과이번달합한금액,"('과납', 0.531)","('미납이용정지', 0.481)","('단말기할부금중도납부방법', 0.462)",2,SKT미납센터연락처(0.4490343),"미납이용정지(0.4311851)
",
1392,자녀폰 개통,"('휴대폰개통일확인방법', 0.628)","('개통관련', 0.57)","('신규가입구비서류', 0.527)",2,휴대폰개통일확인방법(0.4096705),이동전화가입제한(0.40506628),"가입상담예약방법(0.4029787)
"
1393,선택 약정 할인을 받고 싶습니다,"('Btv선택', 0.652)","('선택약정할인제도가입조건', 0.521)",,2,선택약정할인제도공제순서(0.4806771),선택약정할인제도할인반환금부과대상(0.479080915),선택약정할인제도만료문자발송시기(0.47885132)
1394,바로요금제 데이터 사용량,"('baro요금제잔여량확인', 0.587)","('baroBox잔여량조회', 0.49)","('baro4GB ', 0.486)",2,baroBox잔여량조회(0.47415608),baro요금제잔여량확인(0.44460515),"최근사용량확인방법(0.41634625)
"
1395,T 연락처 기본으로 설정 방법,,,,2,휴대폰결제대행사연락처(0.46774),ONEstore고객센터(0.42266682),SK텔레콤고객센터운영시간(0.42073735)
1396,카드납부는본인명의카드만되나요?,,,,2,동일신용카드월5회수납제한(0.47174555),"제휴카드할인(0.426559)
",
1397,상담사연락,"('전화상담사연결', 0.654)","('제조사AS센터연락처', 0.536)","('SK텔레콤고객센터운영시간', 0.494)",2,SK텔레콤고객센터운영시간(0.475613175),전화상담사연결(0.47282523),휴대폰결제대행사연락처(0.47059)
1398,국제발신해재,"('국제전화알림Biz레터링', 0.45)",,,2,"국제전화수신거부서비스신청방법(0.84911203)
",,
1399,포험처리해야되는데 어떻게 해야,,,,2,단말보험가입방법(0.4926014),휴대폰보험보상신청방법(0.492135735),단말보험해지방법(0.4783042)
1400,발신 해지,,,,2,"발신번호표시해지방법(0.88695526)
",,
1401,T로밍,"('T로밍카드', 0.699)","('5G로밍서비스', 0.601)","('가족로밍', 0.6)",2,로밍통화요금(0.44940075),로밍한사람간통화요금(0.44812315),데이터로밍요금(0.44588402)
1402,와이파이 설정,"('Btv사용자맞춤설정방법', 0.466)",,,2,Twifizone(0.4696697),Twifizone찾기(0.4690419),Twifizone이용방법(0.46899283)
1403,쿠폰 사용 이력,"('수납이력서재발행방법', 0.561)","('T멤버십사용내역확인방법', 0.53)","('개통이력단말기피해보상제도', 0.464)",2,T데이터쿠폰사용기간(0.49379185),T데이터쿠폰등록방법(0.48979895),T데이터쿠폰등록기간(0.489664375)
1404,상담원으로직접,"('전화상담사연결', 0.559)","('SK텔레콤고객센터운영시간', 0.508)","('제조사AS센터연락처', 0.478)",2,SK텔레콤고객센터운영시간(0.46163355),전화상담사연결(0.4615695),T멤버십구매상품(구.초콜릿)상담센터(0.44108675)
1405,kt m모바일이 아닌가요?,"('SK세븐모바일', 0.636)","('BtvMBN월정액', 0.55)","('mVoIP', 0.512)",2,"mVoIP(0.8653516)
",,
1406,연락처  동기화,"('연동관련', 0.54)","('Btv셋톱박스연동방법', 0.475)",,2,휴대폰결제대행사연락처(0.48107323),SK텔레콤고객센터운영시간(0.4607087),ONEstore고객센터(0.4528993)
1407,김은중이 누구야,,,,2,T_부재중안내(0.44620225),통화중대기서비스(0.42172867),통화중대기서비스신청방법(0.4211975)
1408,상담 할래요.,"('퀵보이스신청방법', 0.563)","('퀵보이스', 0.563)","('퀵보이스차단서비스', 0.563)",2,전화상담사연결(0.47974935),SK텔레콤고객센터운영시간(0.4633507),타통신사고객센터(0.446858885)
1409,오토레더 가입이되버렸어요.동의도없이 인증절차에서 가입이되던데 해지부탁드립니다,,,,2,오토컬러링설정방법(0.41969065),오토컬러링신청방법(0.41834335),오토레터(0.416068)
1410,로밍중이라는 안내를 부탁해,"('T로밍고객센터', 0.595)","('T로밍카드', 0.55)","('T로밍카드고객센터', 0.528)",2,로밍통화요금(0.47947648),로밍중휴대폰기능사용요금(0.475453465),로밍한사람간통화요금(0.47394258)
1411,해외 로밍때도 사용가능한가요,"('T로밍카드', 0.551)","('로밍중LTE데이터이용방법', 0.486)",,2,로밍통화요금(0.4930459),로밍중휴대폰기능사용요금(0.490106225),로밍중전화발신방법(0.488663315)
1412,미납요금에 대한 월별 세부내용을  부탁드립니다,"('SKT미납센터연락처', 0.514)","('미납이용정지', 0.502)",,2,SKT미납센터연락처(0.489164325),미납이용정지(0.4595586),미납직권해지(0.44430578)
1413,65세이상  할인적용  받고싶어서요  글고  선택  약정 1년  하려구요,,,,2,"65세이상기초연금수급자복지할인제도신청방법(0.83313787)
",,
1414,실시간 이용요금은 뭔가요,"('실시간요금상세내역', 0.699)",,,2,"실시간요금상세내역(0.9771002)
",,
1415,납부 가능일 25일 등록 가능합니까,,,,2,"요금납부일확인방법(0.8082081)
",,
1416,로밍 청구액 알려줘,"('로밍요금확인시점', 0.609)","('데이터로밍요금', 0.539)","('T로밍청구내역서', 0.471)",2,로밍통화요금(0.49453372),로밍수신요금(0.491411),로밍중휴대폰기능사용요금(0.49091435)
1417,미납요금 가능일 알려줘,"('미납이용정지', 0.488)",,,2,SKT미납센터연락처(0.48529443),미납이용정지(0.46286495),미납직권해지(0.426948665)
1418,다른번호요금이요,"('다른번호문의', 0.667)",,,2,"다른번호문의(0.953161)
",,
1419,11월 결제금액,,,,2,과납(0.43272668),"휴대폰결제연체가산금(0.42203225)
",
1420,로밍관련,"('T로밍카드', 0.638)","('T로밍고객센터', 0.571)","('가족로밍', 0.569)",2,로밍한사람간통화요금(0.4621175),T로밍청구내역서(0.452620775),로밍통화요금(0.449209185)
1421,리필크펀 무료로 주셈,"('데이터리필하기쿠폰제공', 0.635)","('데이터리필하기사용방법', 0.626)","('데이터리필하기mVoIP사용가능여부', 0.485)",2,데이터리필하기데이터공유가능여부(0.47234455),데이터리필하기mVoIP사용가능여부(0.462473035),데이터리필하기쿠폰과안심옵션중복사용(0.436850875)
1422,하루만전화,,,,2,T전화음성으로전화하기(0.45076085),T전화모드유지(0.443621935),T전화스팸기능(0.44050473)
1423,해외 문자,"('해외SMS서비스', 0.729)","('해외MMS서비스', 0.725)","('ForeignLanguageService', 0.457)",2,해외SMS서비스(0.474288165),로밍문자요금(0.41389335),"해외MMS서비스(0.413042515)
"
1424,인터넷요금 문의,"('유선인터넷요금제', 0.476)",,,2,"유선인터넷요금제(0.8522292)
",,
1425,추가요금,"('추가관련', 0.603)","('부가사용금액', 0.594)","('데이터추가사용방법', 0.566)",2,"부가사용금액(0.8241603)
",,
1426,AI음성인식사용할려면,"('NUGU서비스음성인식기능', 0.637)","('Btv음성검색', 0.55)","('BtvAI셋톱박스음성인식불가조치방법', 0.533)",2,NUGU서비스음성인식기능(0.441982865),BtvAI셋톱박스음성인식불가조치방법(0.4143026),"Btv음성검색(0.40547565)
"
1427,이번달 30일까지 모든 금액 납부 가능합니다.,"('단말기할부금중도납부방법', 0.508)",,,2,부가사용금액(0.4659579),과납(0.450817),편의점요금납부(0.44018625)
1428,15일 이후 납부가능해요,,,,2,과납(0.44635495),부가사용금액(0.429406225),편의점요금납부(0.427033275)
1429,혹시 11월 말일까지납부가능한데 될까요?,,,,2,"요금납부일확인방법(0.9424292)
",,
1430,로밍확인요...,"('T로밍카드내역확인', 0.597)","('로밍요금확인시점', 0.519)","('T로밍고객센터', 0.487)",2,로밍한사람간통화요금(0.47615668),로밍통화요금(0.4730751),로밍중전화발신방법(0.46945408)
1431,2022년 요금안내서,,,,2,요금안내서변경방법(0.4442439),요금안내서발행유형자동변경해제방법(0.43021055),"요금안내서재발행방법(0.408796)
"
