intent_nm,ans_cont
요금안내서주소변경방법,"'청구서 주소 변경 방법'에 대해 안내해 드릴게요.
우편 또는 이메일 요금안내서의 주소 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 할 수 있어요. 신청하시면 다음 달부터 변경된 주소로 청구서를 보내드려요. 단, 우편 요금안내서는 매달 5일 18시 전까지, 이메일 요금안내서는 매달 3일까지 변경하면 그 달부터 바뀐 주소로 요금안내서를 받으실 수 있어요. 고객센터 연결 없이 직접 주소를 변경하는 방법을 알려드릴게요.

▶ T월드 홈페이지: www.tworld.co.kr → 로그인 → 상단 돋보기 '주소변경' 검색 → 청구지 주소변경 자세히 보기 → 변경 → 인증하기 → 요금안내서 유형 선택 후 다음 → 정보 입력 → 변경
▶ T월드 앱: 앱 실행 → 로그인 → 왼쪽 상단 '≡' → 나의 요금 → 납부/청구정보 → '요금안내서 유형' 또는 '주소/연락처' 선택 → 정보변경

채팅 상담사를 통해 바로 처리하고 싶다면 '추가 문의'라고 입력해 주세요."
Skpay가입방법,"'SK pay(SK페이) 가입 방법'에 대해 안내해 드릴게요.
SK pay를 이용하려면 먼저 SK pay 앱을 설치하셔야 해요. 앱 설치 후 가입할 수 있는 방법을 알려드릴게요.

▶ 구글 Play 스토어/ONE store/App store에서 'SK pay' 검색 → 앱 다운로드 → 실행 → 다음 → 서비스 시작하기 → 본인인증 및 약관 동의 → 결제수단 등록"
Skpay결제방법,"'SK pay(SK페이) 결제 방법'에 대해 안내해 드릴게요.
SK pay는 11번가, SK텔레콤 등 SK 주요 온/오프라인 가맹점에서 이용할 수 있어요. 가맹점에 따라 결제방식이 다를 수 있으니 자세한 내용은 SK pay 앱에서 확인해 주세요.

▶ 결제 방법: SK pay 앱 실행 → 원하는 결제수단의 '결제하기 또는 납부하기' 선택 → 비밀번호 또는 생체인증 후 바코드 제시"
FLO이용방법,"'FLO(플로) 이용 방법'에 대해 안내해 드릴게요.
FLO는 횟수/무제한/제휴 이용권을 구입해 이용할 수 있어요. SK텔레콤 고객님은 요금제와 결합상품에 따라 다양한 혜택을 받으실 수 있는데요. T혜택관에서 SKT 무료 이용권 또는 SKT 할인 이용권을 발급받아 '100회 듣기 무료', '무제한 듣기 무료', T멤버십을 통한 이용권 할인 혜택 등을 받으실 수 있습니다. 이용 방법을 알려드릴게요.

▶ FLO 앱: 앱 실행 → 로그인 → 이용권 → 이용권 인증 → T혜택 → 사용하는 요금제 확인 후 발급받기 선택"
Skpay,"'SK pay(SK페이)'에 대해 안내해 드릴게요.
SK pay는 현금이나 카드 없이 휴대폰에 결제수단을 등록하여 T멤버십 할인과 간편결제를 할 수 있는 서비스예요. 11번가, SK텔레콤 등 SK 주요 가맹점에서 이용할 수 있고, T멤버십 가입 고객은 일부 오프라인 가맹점에서 멤버십 할인도 받을 수 있어요. 간편결제수단으로는 본인 명의의 은행, 카드(신용/체크), 휴대폰 결제 등으로 등록할 수 있답니다."
T라이트할부카드,"'T라이트 할부'에 대해 안내해 드릴게요.
라이트 할부 전용 카드로 휴대폰을 구매하면 매달 카드 실적에 따라 할인을 받을 수 있는 서비스예요. 휴대폰 구입 금액을 24/36개월 할부로 결제해야하며, 할인 금액은 카드사에 따라 달라요. 신청은 휴대폰을 구입한 대리점에서 신규가입/번호이동/기기변경한 날을 포함해 15일 안에 하실 수 있어요. 단, 15일 안에 해당되는 마지막 날이 토/일/공휴일일 경우 다음 영업일까지 신청할 수 있답니다. 라이트 할부 카드 혜택 및 자세한 상담은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
T청소년안심팩서비스해지방법,"'T청소년 안심팩 해지 방법'에 대해 안내해 드릴게요.
T청소년 안심팩은 보호자의 동의를 받고 CV센터(구.지점)/PS&M지점/대리점, 고객센터에서 해지할 수 있어요. 이후 휴대폰에서 T청소년 안심팩 앱도 삭제할 수 있답니다. 서비스 해지와 관련된 상담은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
T청소년안심팩서비스신청방법,"'T청소년 안심팩 신청 방법'에 대해 안내해 드릴게요.
T청소년 안심팩은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T청소년 안심팩 앱에서 신청할 수 있어요. 자녀의 휴대폰에서 먼저 이용 동의와 보호자 등록을 하셔야 하고요. 자녀와 부모 모두 앱을 설치하셔야 합니다. T청소년 안심팩 앱과 관련된 자세한 내용은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
T청소년안심팩서비스,"'T청소년 안심팩 서비스'에 대해 안내해 드릴게요.
T청소년 안심팩 서비스는 스마트폰 제어, 학교 폭력 상담 등이 가능한 자녀(만 19세 미만) 보호 앱으로 무료 서비스예요. 보호자를 1명 등록할 수 있고, 보호자는 자녀의 위치 조회, 스마트폰 사용현황, 학교 폭력 의심 문자 알림을 받아볼 수 있어요. 여기에 유해 콘텐츠 접속 차단 및 휴대폰 잠금 설정 등 다양한 기능을 이용할 수 있답니다.

ㅇ 신청 방법이 궁금하다면 'T청소년 안심팩 신청 방법'을 선택해 주세요."
TRing해지방법,"'T Ring 해지 방법'에 대해 안내해 드릴게요.
T Ring은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 해지할 수 있어요. 고객센터 연결 없이 직접 해지하는 방법을 알려드릴게요.

▶ T월드 홈페이지: www.tworld.co.kr → 로그인 → 상단 돋보기 'T RING' 검색 → 'T RING' 선택 → 해지
▶ T월드 앱: 앱 실행 → 로그인 → 상단 돋보기 'T RING' 검색 → 'T RING' 선택 → 해지

채팅 상담사를 통해 바로 처리하고 싶다면 '추가 문의'라고 입력해 주세요."
단골고객관리해지방법,"단골고객관리 해지 방법'에 대해 안내해 드릴게요.
SK텔레콤 대리점의 '단골고객'으로 등록되면 특판행사, 각종 이벤트가 있을 때 문자로 알려드려요. 원하지 않을 경우 신청한 대리점 또는 ARS(080-801-0011)에서 해지할 수 있어요. 단, ARS에서 해지하는 경우 등록된 단골 대리점이 모두 해지되니 참고해 주세요."
Skpay가맹점확인방법,"'SK pay(SK페이) 가맹점 확인 방법'에 대해 안내해 드릴게요.
SK pay는 11번가, SK텔레콤 요금납부, 편의점, 베이커리, 카페 등 다양한 가맹점에서 사용할 수 있어요. 휴대폰에서 간편하게 SK pay 가맹점을 확인할 수 있는 방법을 알려드릴게요.

▶ SK pay 앱: 앱 실행 → 왼쪽 상단 '≡' → 가맹점안내"
결합상품,.
T플랜세이브,"'T플랜 세이브'에 대해 안내해 드릴게요.
T플랜 세이브는 3G/LTE/5G OMD 스마트폰을 사용하는 고객님이 이용하실 수 있는 요금제예요. 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 할 수 있습니다.

▶ 월 33,000원(부가세 포함)
▶ 기본제공
- 음성: 집전화/이동전화 무제한+영상/부가통화 100분
- 문자: 기본제공
- 데이터: 1.5GB
※ T가족모아 데이터에 가입할 수 없음."
T플랜요금제,"'T플랜 요금제'에 대해 안내해 드릴게요.
2019년 5월 17일(금)부터 새롭게 개편된 'T플랜 요금제'의 더욱 다양해진 혜택을 알려드릴게요.

- T플랜 세이브: 월 기본제공 데이터 1.5GB/매일 00:00~07:00 데이터 75% 할인
- T플랜 안심2.5G: 월 기본제공 데이터 2.5GB(다 쓰면 최대 400Kbps 속도로 계속 사용)
- T플랜 안심4G: 월 기본제공 데이터 4GB(다 쓰면 최대 1Mbps 속도로 계속 사용)
- T플랜 에센스: 월 기본제공 데이터 100GB(다 쓰면 최대 5Mbps 속도로 계속 사용)
- T플랜 스페셜: 월 기본제공 데이터 150GB(다 쓰면 최대 5Mbps 속도로 계속 사용)/VIP 멤버십 등 추가 혜택 제공
- T플랜 맥스: 데이터 무제한, VIP 멤버십 등 추가 혜택 제공

ㅇ 요금제와 관련해 더 자세한 내용이 궁금하시면 요금제명을 입력해 주세요."
T플랜맥스,"'T플랜 맥스'에 대해 안내해 드릴게요.
T플랜 맥스는 3G/LTE/5G OMD 스마트폰을 사용하는 고객님이 이용하실 수 있는 요금제예요. 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 하실 수 있습니다.

▶ 월 100,000원(부가세 포함)
▶ 기본제공
- 음성: 집전화/이동전화 무제한+영상/부가통화 300분
- 문자: 기본제공
- 데이터: 무제한
▶ 추가혜택
- T멤버십 VIP 제공
- 휴대폰 보험 최대 100% 할인(21.03.31까지 보험 가입자에 한해 혜택 제공)
- wavve 앤 데이터/wavve 앤 데이터 플러스 중 택 1 할인
- FLO 앤 데이터/FLO 앤 데이터 플러스 중 택 1 할인."
이동전화가입제한,"'이동전화 가입제한'에 대해 안내해 드릴게요.
이동전화 가입제한은 신규가입/명의변경/번호이동할 때 휴대폰 개통을 할 수 없도록 제한하는 서비스예요. SK텔레콤 가입만 제한하는 방법, 이동통신 3사 모두 가입을 제한하는 방법, 온라인 가입을 제한하는 방법이 있어요. SK텔레콤 단독 가입제한과 온라인 가입제한 등록/해제는 CV센터(구.지점)/PS&M지점/대리점에서 하실 수 있고요.(타사 고객일 경우 온라인 가입제한 해제는 CV센터만 가능) 이동통신 3사 동시 가입제한 등록은 CV센터/PS&M지점에서만 하실 수 있습니다. 단, 이동통신 3사 동시 가입제한 해제 처리는 각 통신사로 요청하여 처리하셔야 해요.
※ 엠세이퍼 사이트(공동인증서 필요)에서 직접 가입제한 등록/해제 가능함"
일500건SMS발송량제한,"'일 500건 SMS 발송량 제한'에 대해 안내해 드릴게요.
불법스팸 문자의 대량 전송을 방지하기 위해 국내 모든 이동통신사는 하루 500건 이상의 문자(SMS/MMS/채팅+ 포함)를 발송할 수 없도록 제한하고 있어요. 하루에 400건, 500건의 문자를 보낼 때마다 안내 문자를 받을 수 있고, 하루 500건의 문자를 보내는 즉시 문자 발송이 제한되며 다음 날 0시에 자동으로 해제되어 다시 문자를 보낼 수 있습니다."
장기가입고객할인제도,"'장기가입고객 할인제도'에 대해 안내해 드릴게요.
장기가입고객 할인제도는 SK텔레콤 이동전화를 2년 이상 이용해 주신 고객님께 가입 기간에 따라 국내 음성통화료를 할인해 드리는 제도예요. 2년 이상은 5%, 3년 이상은 7%, 5년 이상은 10%로 할인해 드리는데요. 따로 신청하지 않아도 자동으로 적용이 됩니다. 단, 일부 할인제도나 요금제에 따라 장기가입 할인이 적용되지 않으니 참고해 주세요."
T플랜안심2.5G,"'T플랜 안심2.5G'에 대해 안내해 드릴게요.
T플랜 안심2.5G는 3G/LTE/5G OMD 스마트폰을 사용하는 고객님이 이용하실 수 있는 요금제예요. 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 할 수 있습니다.

▶ 월 43,000원(부가세 포함)
▶ 기본제공
- 음성: 집전화/이동전화 무제한+영상/부가통화 150분
- 문자: 기본제공
- 데이터: 2.5GB(모두 사용 후 400Kbps 속도로 무제한)"
무조건소리샘,"'무조건 소리샘'에 대해 안내해 드릴게요.
무조건 소리샘은 상대방이 전화를 걸면 통화연결음 없이 바로 소리샘으로 연결되도록 설정하는 서비스예요. 본인 휴대폰에서 설정/해제할 수 있는 방법을 알려드릴게요.

▶ 등록: *50 입력 → 통화버튼(확인음) → 종료
▶ 해제: *52 입력 → 통화버튼(확인음) → 종료"
T플랜스페셜,"'T플랜 스페셜'에 대해 안내해 드릴게요.
T플랜 스페셜은 3G/LTE 스마트폰을 사용하는 고객님이 이용하실 수 있는 요금제예요. 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 하실 수 있습니다.

▶ 월 79,000원(부가세 포함)
▶ 기본제공
- 음성: 집전화/이동전화 무제한+영상/부가통화 300분
- 문자: 기본제공
- 데이터: 150GB(모두 사용 후 5Mbps 속도로 무제한)
▶ 추가혜택
- T멤버십 VIP 제공
- 휴대폰 보험 할인(21.03.31까지 보험 가입자에 한해 혜택 제공)
- FLO 앤 데이터 & wavve 앤 데이터(플러스) 모두 70% 할인(21.04.30 이전 가입자는 wavve 앤 데이터(플러스)/FLO 앤 데이터(플러스) 중 택 1 할인)."
T플랜안심4G,"'T플랜 안심4G'에 대해 안내해 드릴게요.
T플랜 안심4G는 3G/LTE/5G OMD 스마트폰을 사용하는 고객님이 이용하실 수 있는 요금제예요. 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 할 수 있습니다.

▶ 월 50,000원(부가세 포함)
▶ 기본제공
- 음성: 집전화/이동전화 무제한+영상/부가통화 300분
- 문자: 기본제공
- 데이터: 4GB(모두 사용 후 1Mbps 속도로 무제한)."
T플랜에센스,"'T플랜 에센스'에 대해 안내해 드릴게요.
T플랜 에센스는 3G/LTE/5G OMD 스마트폰을 사용하는 고객님이 이용하실 수 있는 요금제예요. 변경은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 할 수 있습니다.

▶ 월 69,000원(부가세 포함)
▶ 기본제공
- 음성: 집전화/이동전화 무제한+영상/부가통화 300분
- 문자: 기본제공
- 데이터: 100GB(모두 사용 후 5Mbps 속도로 무제한)."
편의점요금납부,"'편의점 요금 납부'에 대해 안내해 드릴게요.
365일 24시간 언제나, Bill Letter 용 편의점 QR코드 또는 요금 납부용 바코드가 인쇄된 요금 안내서로 편의점에서 편리하게 SK텔레콤 휴대폰 요금을 납부할 수 있어요. 요금 안내서를 가지고 CU, GS25, 세븐일레븐, 미니스톱에 방문해 현금 또는 현대카드로 납부할 수 있습니다.

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'라고 입력해 주세요."
T괌사이판요금제잔여량확인,"'T괌사이판 요금제 잔여량 확인'에 대해 안내해 드릴게요.
국내 사용 중인 요금제의 데이터와 T괌사이판 요금제의 데이터를 각각 50%, 80%, 100% 이용했을 때 알림 문자를 보내드려요. 그 외 T월드, 모바일 T로밍 등에서 확인이 가능해요.(T괌사이판 5천원 확인 불가)

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
원패스잔여량확인,"'baro OnePass 잔여량 확인'에 대해 안내해 드릴게요.
baro OnePass 사용 중 데이터를 50%, 80%, 100% 이용했을 때 알림 문자를 보내드려요.

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
baro요금제잔여량확인,"'baro 요금제 잔여량 확인'에 대해 안내해 드릴게요.
baro 요금제 사용 중 데이터를 50%, 80%, 100% 이용했을 때 알림 문자를 보내드려요. 그 외 T월드, 모바일 T로밍 등에서 확인이 가능해요.(OnePass 계열 확인 불가)

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
T로밍도착알리미옵션변경,"'T로밍 도착알리미 옵션 변경 방법'에 대해 안내해 드릴게요.
T로밍 도착알리미의 지정 번호는 T월드 또는 T로밍 고객센터에서 등록 및 변경이 가능해요.
ㅇ T월드 홈페이지: www.tworld.co.kr → my T → 나의 가입 정보 → 나의 요금제/부가서비스/결합상품 → 부가서비스 → 모바일 → 자세히 보기
ㅇ T로밍 고객센터: 02-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)"
T괌사이판옵션변경,"'T괌사이판 요금제 옵션 변경 방법'에 대해 안내해 드릴게요.
ㅇ T월드 홈페이지: www.tworld.co.kr → my T → 나의 가입 정보 → 나의 요금제/부가서비스/결합상품 → 요금상품 → 모바일 → 자세히 보기
ㅇ T로밍 고객센터: 02-6343-9000(24시간 운영, SK텔레콤 휴대폰에서 무료)
※서비스 시작 전에만 변경 가능

채팅 상담사와 상담을 원하시면 '로밍 추가 문의'라고 입력해 주세요."
Wavve콘텐츠팩,"'wavve 콘텐츠 팩'에 대해 안내해 드릴게요.
wavve 콘텐츠 팩은 5G 또는 LTE 요금제에 가입한 고객님이 월 7,900원(부가세 포함)으로 이용할 수 있는 방송 월정액 서비스예요. 지상파, 종편 등 100여 개의 LIVE 채널과 22만 편의 VOD를 시청할 수 있습니다. 방송은 모바일 또는 PC에서 접속 가능하며, 동시 접속은 불가하니 참고해 주세요.

ㅇ 신청 방법이 궁금하다면 'wavve 콘텐츠 팩 가입 방법'이라고 입력해 주세요."
Wavve프로모션혜택,"'wavve 프로모션 혜택'에 대해 안내해 드릴게요.
2021년 8월 1일(일)부터 4개의 wavve 서비스(wavve 콘텐츠 팩, wavve 콘텐츠 팩 플러스, wavve 앤 데이터, wavve 앤 데이터 플러스) 중 1개를 처음으로 가입하신 고객님을 대상으로 진행돼요. 최초 가입하거나 해지일 기준 1년간 가입 이력 없이 재가입하는 경우 가입일 포함 30일 동안 100원(부가세 포함)으로 해당 서비스를 이용하실 수 있어요."
해지미환급금조회방법,"'해지 미환급금 조회 방법'에 대해 안내해 드릴게요.
이동전화를 해지했는데 아직 해지 미환급금을 받지 못한 경우, 조회를 통해 환불받을 수 있어요. 해지 미환급금은 SK텔레콤 고객센터(114), T월드 홈페이지, 스마트초이스 홈페이지에서 조회할 수 있습니다. 고객센터 연결 없이 직접 조회하는 방법을 알려드릴게요.

▶ T월드 홈페이지: www.tworld.co.kr → 상단 돋보기에 '미환급금 조회' 검색 → '미환급금 조회' 선택 → 조회하기 → 본인인증
▶ 스마트초이스 홈페이지: www.smartchoice.or.kr → 스마트 라이프 → '통신 미환급액 조회' 선택 → 사용자 정보 입력 → 조회

채팅 상담사를 통해 바로 확인하고 싶다면 '추가 문의'라고 입력해 주세요."
가족결합확인방법,"'가족결합 확인 방법'에 대해 안내해 드릴게요.
고객님께서 가입한 결합 상품과 결합 구성원은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 확인할 수 있어요. 고객센터 연결 없이 직접 확인하는 방법을 알려드릴게요.
 
▶ T월드 홈페이지: www.tworld.co.kr → 로그인 → my T → my T 전체 메뉴 보기 → 나의 가입정보 → 나의 요금제/부가서비스/결합상품 → '가입된 결합 상품명' 또는 '자세히 보기' 선택 → 가려진 정보보기 → 인증하기
▶ T월드 앱: 앱 실행 → 로그인 → 왼쪽 상단 '≡' → 나의 가입 정보 → 나의 결합상품 → '결합가족 보기' 선택 → 하단 '자물쇠 모양' 선택 → 인증하기

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'를 선택해 주세요."
현금영수증발행업무,"'현금영수증'에 대해 안내해 드릴게요.
통신요금 중 휴대폰 할부금, 유심(USIM), 휴대폰 결제 등을 현금으로 1원 이상 납부하면 현금영수증을 발급받을 수 있어요. 현금영수증 발급은 개인 고객님만 이용하실 수 있고, 이동전화의 명의자를 기준으로 국세청에 자동으로 신고됩니다.(개인 사업자와 법인 제외)

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'라고 입력해 주세요."
동일신용카드월5회수납제한,"'동일 신용카드 월 5회 수납 제한'에 대해 안내해 드릴게요.
휴대폰 요금을 신용카드로 결제할 때 같은 카드로 월 5회까지만 수납할 수 있어요. CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드, ARS 수납 등 모든 채널의 카드 수납 횟수를 확인해서 제한을 하는데요. 카드 수납 제한에 대한 자세한 내용은 고객센터로 문의해 주세요.
※ 카드 자동납부 승인건은 횟수에 미포함
※ 일반 결제(A카드), SK Pay(A카드등록) 결제 시에는 각 5회 결제 가능

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
Wavve콘텐츠팩신청방법,"'wavve 콘텐츠 팩(플러스) 신청 방법'에 대해 안내해 드릴게요.
wavve 콘텐츠 팩(플러스)은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드에서 신청할 수 있어요. 서비스에 가입한 뒤 인증이 완료되면 요금이 청구되는데요. 가입한 날을 포함해 8일 안에 휴대폰 인증을 하셔야 해요. 이미 다른 wavve 이용권을 사용하고 있다면 새로 ID를 만들거나 기존의 wavve 이용권을 결제 취소 또는 환불 접수 후 가입할 수 있답니다. 고객센터 연결 없이 직접 신청하는 방법을 알려드릴게요.

▶ T월드 앱: 앱 실행 → 로그인 → 상단 돋보기 'wavve 콘텐츠 팩' 검색 → 'wavve 콘텐츠 팩' 또는 'wavve 콘텐츠 팩 플러스' 선택 → 가입

채팅 상담사를 통해 바로 처리하고 싶다면 '추가 문의'라고 입력해 주세요."
수납이력서재발행방법,"'수납이력서 재발행 방법'에 대해 안내해 드릴게요.
휴대폰 요금 납부 내역이 필요하다면 수납이력서를 다시 발행 받으시면 돼요. 재발행은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드, ARS 114에서 할 수 있답니다. 고객센터 연결 없이 재발행하는 방법을 알려드릴게요.
 
▶ T월드 홈페이지: www.tworld.co.kr → 로그인 → my T → 나의 요금 → 요금납부내역 조회 → 납부영수증 재발행
▶ T월드 앱: 앱 실행 → 로그인 → 왼쪽 상단 '≡' → 나의 요금 → 납부영수증 재발행

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'를 선택해 주세요."
명의도용신고방법,"'명의도용 접수 방법'에 대해 안내해 드릴게요.
명의도용 접수는 명의자 본인이 신분증을 가지고 SK텔레콤 CV센터(구.지점)/PS&M지점으로 방문하시면 돼요. 단, 온라인을 통해 개통된 경우에는 접수하실 수 없습니다. 또한 명의자가 미성년자, 법인일 경우에는 명의도용 접수 절차가 다르니 자세한 내용은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
휴대폰결제이용가능대상,"'휴대폰 결제 이용가능 대상'에 대해 안내해 드릴게요.
휴대폰 결제는 만 19세 이상의 개인(외국인 포함) 또는 법인 명의 회선의 실사용자가 휴대폰결제 이용동의에 가입한 경우 이용할 수 있어요. 단, 일부 요금제 및 연체/미납이 있는 경우 휴대폰 결제 이용이 제한되니, 자세한 내용은 고객센터로 문의해 주세요.

※ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)"
롯데TELLO카드,"'롯데 TELLO(텔로) 카드'에 대해 안내해 드릴게요.
롯데 TELLO 카드를 발급받고 SK텔레콤 통신요금 자동이체를 신청하면 지난달 카드 이용실적에 따라 월 최대 26,000원을 할인받으실 수 있어요. 할인 내역은 롯데카드 청구서의 'SKT 통신비 할인' 항목으로 확인하실 수 있어요. 롯데 TELLO 카드 관련 자세한 내용은 롯데카드 고객센터(1588-8100/유료)로 문의해 주세요.
(2019년 12월 1일(일)부터 발급 불가)"
국제전화청구주기,"'국제전화요금 청구 주기'에 대해 안내해 드릴게요.
국제전화요금은 고객님께서 이용하신 국제전화 사업자에 따라 청구 주기가 달라져요. 정산된 국제전화 요금은 SK텔레콤 요금안내서에서 확인하실 수 있어요. 사업자에 따른 청구 주기를 알려드릴게요.

[청구 주기]
- 지난달 1일~지난달 말일까지: 삼성SDS
- 지지난달 21일~지난달 20일까지: KT, LG U+, 텔링크, 세종, SK브로드밴드, CJ헬로비전, 한국케이블텔레콤, 드림라인, 에스비인터렉티브

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'라고 입력해 주세요."
휴대폰결제연체가산금,"'휴대폰 결제 연체 가산금'에 대해 안내해 드릴게요.
휴대폰 결제가 포함된 청구요금을 해당 달의 말일까지 납부하지 않을 경우 휴대폰 결제 연체 가산금이 부과됩니다. 가산금은 납부되지 않은 휴대폰 결제 금액의 최대 5%까지 부과되며, 다다음 달 요금안내서를 통해 확인하실 수 있어요. 결제대행사(다날, KG모빌리언스 등)에 따라 휴대폰 결제 연체 가산금 부과 기준이 다르니 자세한 내용은 결제대행사로 문의해 주세요."
T포켓파이,"'T포켓파이'에 대해 안내해 드릴게요.
T포켓파이는 LTE망을 활용해 전국 어디서든 무선 인터넷 서비스를 이용할 수 있는 휴대용 Wi-Fi 서비스예요. T포켓파이 전용 요금제를 알려드릴게요.

- T포켓파이 10: 월 16,500원(부가세 포함), 기본제공 데이터 10GB, 다 쓰면 추가 요금 없이 제한된 속도로 계속 사용
- T포켓파이 20: 월 24,750원(부가세 포함), 기본제공 데이터 20GB, 다 쓰면 추가 요금 없이 제한된 속도로 계속 사용

ㅇ T포켓파이 구매가 필요하다면 T다이렉트 샵 1525(무료/SKT휴대폰) 또는 1599-0111(유료)를 통해 상담을 받아보세요."
Wavve콘텐츠팩플러스,"'wavve 콘텐츠 팩 플러스'에 대해 안내해 드릴게요.
wavve 콘텐츠 팩 플러스는 5G 또는 LTE 요금제에 가입한 고객님이 월 10,300원(부가세 포함)으로 이용하실 수 있는 방송 월정액 서비스예요. 최대 2명까지 모바일과 PC 동시 시청이 가능한데요. 지상파, 종편 등 100여 개의 LIVE 채널과 22만 편의 VOD를 시청할 수 있습니다. 지금 바로 wavve 콘텐츠 팩 플러스에 가입하시고 콘텐츠를 즐겨보세요.

ㅇ 신청 방법이 궁금하다면 'wavve 콘텐츠 팩 가입 방법'이라고 입력해 주세요."
요금안내서재발행방법,"'요금안내서 재발행 방법'에 대해 안내해 드릴게요.
요금안내서 재발행은 CV센터(구.지점)/PS&M지점/대리점, 고객센터, T월드, ARS 114에서 신청할 수 있어요. 고객센터 연결 없이 직접 재발행하는 방법을 알려드릴게요.

▶ T월드 홈페이지: www.tworld.co.kr → 로그인 → 상단 돋보기 '요금안내서 설정' 검색 → '요금안내서 설정' 선택 → 재발행 → 인증하기 → 재발행 월 선택 → 재발행 신청
▶ T월드 앱: 앱 실행 → 로그인 → 왼쪽 상단 '≡' → 나의 요금 → 요금안내서 설정 → 재발행 → 재발행 월 선택 → 신청하기 → 인증하기

채팅 상담사를 통해 바로 처리하고 싶다면 '추가 문의'라고 입력해 주세요."
단말기일련번호확인방법,"'휴대폰 일련번호 확인 방법'에 대해 안내해 드릴게요.
휴대폰의 설정 메뉴에서 휴대폰 정보를 통해 일련번호를 확인할 수 있어요. 휴대폰마다 일련번호를 확인하는 방법이 다르니 정확한 방법은 휴대폰 제조사로 문의해 주세요. 만약 휴대폰으로 일련번호를 확인하는 것이 어렵다면, 명의자 본인이 신분증을 지참하고 가까운 CV센터(구.지점)/PS&M지점/대리점으로 방문하시면 됩니다.

ㅇ 지점/대리점 위치 확인이 필요하시면 '영업장 위치 확인'이라고 입력해 주세요."
명의도용,"'명의도용 신고'에 대해 안내해 드릴게요.
본인의 명의로 휴대폰을 구매/가입하지 않았는데 개통이 된 경우 명의도용으로 접수하실 수 있어요. 신고가 접수되면 담당 부서에서 절차를 통해 개통된 회선의 명의도용 여부를 확인합니다.

ㅇ 명의도용 접수방법이 궁금하다면 '명의도용 접수방법'이라고 입력해 주세요."
ZEM플랜요금제지정번호추가방법,"'ZEM(잼) 플랜 요금제 지정번호 추가 방법'에 대해 안내해 드릴게요.
ZEM(잼) 플랜 요금제는 지정한 번호에 한해 음성통화를 무제한으로 할 수 있어요. SK텔레콤 번호로만 최대 2개의 지정번호(ZEM(잼) 플랜 워치 요금제는 지정 1회선 등록 가능)까지 등록할 수 있고요. CV센터(구.지점)/PS&M지점/대리점, 고객센터에서 하실 수 있어요. 지정번호 등록 관련 자세한 내용은 고객센터로 문의해 주세요.

ㅇ SK텔레콤 고객센터: 국번 없이 114 또는 080-011-6000(무료)

채팅 상담사를 통해 바로 처리하고 싶다면 '추가 문의'라고 입력해 주세요."
가산금,"'연체 가산금'에 대해 안내해 드릴게요.
당월에 청구된 요금을 해당 달의 말일(토/일/공휴일인 경우 다음 달 영업일 첫째 날)까지 납부하지 않을 경우 연체 가산금이 부과돼요. 미납요금의 2%(1회 부과)로, 요금이 청구되는 달의 다다음 달 요금안내서를 통해 확인하실 수 있어요. 단, 휴대폰 결제의 경우 결제대행사(다날, 모빌리언스 등)에 따라 연체 가산금 부과 기준이 다르니 참고해 주세요.

채팅 상담사를 통해 자세히 상담하고 싶다면 '추가 문의'라고 입력해 주세요."
