,index,query,query_cnt,p_rank1,p_rank2,p_rank3,n_rank_1,n_rank2,n_rank3
341,6232,장기 쿠폰은........???,1,T데이터쿠폰사용기간,T쿠폰구매방법,T데이터쿠폰등록방법,장기가입고객할인제도,유선장기일시정지,장기일시정지
342,1282,다른날짜로 납부 가능한가요?,2,요금납부일확인방법,,,요금납부일변경방법,,
343,6104,t all케어 플러스 4 요,1,TAll케어플러스포인트서비스,TAll케어플러스3일반,TAll케어플러스3플립,T플랜안심4G,T플랜안심4G+다이렉트플랜,
344,4470,네 그러면 해지 부탁드려요,1,이동전화해지방법,자동납부해지방법,유선해지방법,예상해지금액,이동전화해지방법,Btv월정액해지방법
345,1571,T전화에서 메시지 수신시 특정 문자 차단이 가능한가요?,2,개별통화수신거부,개별통화수신거부신청방법,개별통화수신거부이용방법,SMS수신거부,,
346,2494,티 연락처 삭제 방법 알려주세요,2,휴대폰결제대행사연락처,ONEstore고객센터,,T전화탈퇴및서비스미사용,이동전화해지방법,
347,1724,통장 납부요망합니다.,2,요금수납내역확인방법,요금부분납부방법,세금계산서신청방법,단말기할부금중도납부방법,,
348,702,정지된상태라 요금수납후바로해제되나요,2,요금부분납부방법,요금수납내역확인방법,기타요금,유선일시정지신청/해제방법,정지관련,정지해제관련
349,2895,지금 로밍이 한국요금제로 잘 되있나요?,2,로밍한사람간통화요금,로밍통화요금,로밍중휴대폰기능사용요금,로밍요금확인시점,,
350,1086,오늘납부가능,2,부가사용금액,요금납부일확인방법,과납,요금납부일확인방법,,
351,1370,핸드폰 남은금액,2,단말기할부금중도납부방법,단말기할부,,단말기잔여할부조회방법,T데이터쿠폰잔액조회방법,일자별잔여통화안내
352,6092,금액을 다 갚지 못하겠어서,1,과납,요금부분납부방법,부가사용금액,단말기할부금중도납부방법,장비변상금,과납
353,3970,영상통화ai사용방법,2,휴대폰영상수발신불가조치방법,휴대폰통화목소리울림조치방법,,영상통화관련,휴대폰영상수발신불가조치방법,
354,1350,핸드폰결제내역,2,휴대폰결제이용가능대상,콘텐츠이용료가능대상,휴대폰결제이용동의신청방법,콘텐츠이용료구매내역확인방법,요금수납내역확인방법,애플콘텐츠이용료결제내역확인방법
355,3699,약정기간이 늘어날수도있어?,2,요금약정할인제도,,,연장관련,분실정지수신기간연장방법,데이터추가사용방법
356,3586,선택약정 다시설정,2,선택약정할인제도만료문자발송시기,선택약정할인제도가입조건,선택약정할인제도할인반환금부과대상,선택약정할인제도재가입조건,선택약정할인제도약정기간변경,
357,4890,지금 미납이 두달분아닐까요?,1,SKT미납센터연락처,미납이용정지,미납직권해지,과납,분실파손2,TAll케어플러스2
358,2475,미납요금이 2회가 빠지냐고요,2,SKT미납센터연락처,미납이용정지,미납직권해지,과납,분실파손2,TAll케어플러스2
359,812,요금 조회로 할게,2,요금수납내역확인방법,요금부분납부방법,수납이력서재발행방법,조회관련,실시간요금상세내역,자녀요금조회방법
360,2965,통신결제수단요청,2,휴대폰결제이용차단,,,결제관련,Skpay결제방법,앱스토어결제수단
361,3020,해지요금,2,이동전화해지방법,자동납부해지방법,유선해지방법,예상해지금액,이동전화해지방법,철회
362,1939,이용권해지 하려구요,2,자동납부해지방법,이동전화해지방법,유선해지방법,Btv월정액해지방법,예상해지금액,이동전화해지방법
363,3697,저장된 번호로 단체문자발송방법,2,번호도용문자차단,번호도용문자차단신청방법,,문자메시지서비스,,
364,1179,"현재 기변 진행중인데, 느낌이 좀이상해서요.   조회 가능한가요?",2,휴대폰기기변경방법,중고기기변경방법,단말기교품,아이폰기기변경상담,휴대폰기기변경방법,Btv시스템설정방법
365,6403,제 요금,1,과납,부가사용금액,요금수납내역확인방법,요금제문의,Btv요금제,
366,5087,네 해지해 주세요,1,이동전화해지방법,자동납부해지방법,유선해지방법,예상해지금액,이동전화해지방법,Btv월정액해지방법
367,5572,제가 세븐에서 이번달에 사용했으면,1,SK세븐모바일,,,T아이폰파손7,NewT아이폰파손7,
368,1036,통화중 다른전화,2,통화중대기서비스,통화중대기서비스신청방법,T_통화중대기,비밀번호통화서비스,타사고객baroBox이용,인터넷TV가입(타사)
369,6667,급여일이 25일인데 최대 연장 가능한 날짜가 언제인지 알수있을까요?,1,일자별잔여통화안내날짜변경방법,,,연장관련,,
370,2500,모르는 가입,2,이동전화가입제한,가입상담예약방법,이용계약증명서발급방법,Btv미가입채널조치방법,가입상담예약방법,신규가입구비서류
371,3541,인터넷 미납요금 냈는데. 인터넷이 안되요,2,SKT미납센터연락처,미납직권해지,SKT해지미납센터연락처,미납이용정지,SKT미납센터연락처,과납
372,1114,sjuhei828888eisieiii2i288,2,코로나19예방수칙,단골고객관리해지방법,T건강습관XAIAVitality이용방법,무료음성28,baroYT8GB,파손280
373,4759,갤럭시 s21,1,휴대폰기기변경방법,중고기기변경방법,아이폰기기변경상담,5GX클럽갤럭시S21,,
374,1465,만 19세 이상이라면?,2,팅요금제자동변경시기,가입정보조회,미성년자요금제변경방법,미성년자관련,0청년요금제,미성년자요금제변경방법
375,3544,9월달금액,2,가산금,휴대폰결제연체가산금,프리미엄패스1,TTab9,T아이폰파손9,
376,3171,t로밍 문자,2,해외SMS서비스,로밍문자사용량SMS,,로밍문자요금,T로밍고객센터,T로밍청구내역서
377,562,선택약정할인연장하고싶어요,2,선택약정할인제도가입조건,선택약정할인제도만료문자발송시기,선택약정할인제도할인반환금부과대상,번호변경안내서비스연장방법,선택약정할인제도약정기간변경,연장관련
378,2805,통화중 다른 통화,2,통화중대기서비스,통화중대기서비스신청방법,통화중대기서비스해지방법,타사고객baroBox이용,인터넷TV가입(타사),다른번호문의
379,3597,핸드폰 요금납입,2,요금수납내역확인방법,요금부분납부방법,편의점요금납부,결제관련,단말기할부금중도납부방법,편의점요금납부
380,484,선택약정갱신,2,선택약정할인제도만료문자발송시기,선택약정할인제도가입조건,선택약정할인제도할인반환금부과대상,선택약정할인제도약정기간변경,번호변경안내서비스연장방법,선택약정할인제도재가입조건
381,529,데이로밍,2,데이터로밍요금,로밍수신요금,로밍중휴대폰기능사용요금,T로밍카드,데이터로밍요금,가족로밍
382,1291,통신사 가맹점  문의,2,타통신사고객센터,제조사AS센터연락처,SK텔레콤고객센터운영시간,영업장위치확인,개통대리점조회방법,T멤버십가맹점및사용방법
383,4088,16일에 청구서를 제출할 수 있어요,2,요금안내서변경방법,요금안내서발행유형자동변경해제방법,요금안내서재발행방법,각종업무구비서류,이용계약증명서발급방법,
384,1064,아이폰 15 몇 만원 이아?,2,아이폰기기변경상담,휴대폰기기변경방법,,TAll케어플러스i150,TAll케어플러스150,
385,2678,로밍요금제를 변경하고싶어요,2,로밍수신요금,로밍요금확인시점,로밍중휴대폰기능사용요금,T괌사이판옵션변경,요금제변경,baroBox옵션변경
386,2835,로밍을 하고싶은데 무료로 가능한가요,2,로밍수신요금,로밍중휴대폰기능사용요금,로밍요금확인시점,T로밍카드,데이터로밍요금,5G로밍서비스
387,1556,이거는 선택약정 할인이 반영 안돼?,2,선택약정할인제도할인반환금부과대상,선택약정할인반환금면제대상,선택약정할인제도가입불가요금제,선택약정할인제도가입불가요금제,선택약정할인제도가입조건,
388,4658,안녕하세요 이번달 납부금액이 얼마인가요?,1,부가사용금액,과납,요금부분납부방법,단말기할부금중도납부방법,,
389,778,요금조회 해주세요,2,세금계산서재발행방법,기타요금,세금계산서신청방법,조회관련,실시간요금상세내역,자녀요금조회방법
390,859,자동변경을 안하고 싶어요,2,휴대폰기기변경방법,단말기교품,,자동납부해지방법,자동휴대폰결제차단해제방법,자동휴대폰결제차단방법
391,1644,선택약정 해제,2,선택약정할인제도할인반환금부과대상,선택약정할인반환금면제대상,선택약정할인제도가입불가요금제,선택약정할인제도해지방법,,
392,6171,다음달이후엔 로밍안하면 시니어요금으로 나오나여,1,로밍한사람간통화요금,로밍중발신번호표시,로밍통화요금,시니어요금제,T플랜시니어요금제,BtvOCEAN시니어월정액
393,1970,전원꺼진상태에서 부재중 전화기록,2,통화중대기서비스신청방법,T_통화중대기,통화중대기서비스,T전화최근기록보기설정,,
394,5704,상담사님?,1,SK텔레콤고객센터운영시간,전화상담사연결,타통신사고객센터,전화상담사연결,제조사AS센터연락처,SK텔레콤고객센터운영시간
395,6168,그럼 이번호는 말까지 연장이 안되나요?,1,번호이동제도,휴대폰번호보호신청방법,,연장관련,번호변경안내서비스연장방법,분실정지수신기간연장방법
396,3814,11월30일날 미납요금과 이번요금까지 납부 가능합니다,2,SKT미납센터연락처,미납이용정지,,단말기할부금중도납부방법,SKT미납센터연락처,
397,2174,선택약점신청,2,선택약정할인제도만료문자발송시기,선택약정할인제도가입조건,선택약정할인제도가입불가요금제,선택약정할인제도가입조건,,
398,4946,상담원분도 좋은하루보내세요,1,전화상담사연결,SK텔레콤고객센터운영시간,T멤버십구매상품(구.초콜릿)상담센터,SK텔레콤고객센터운영시간,,
399,2303,로밍을 오늘 하고싶은데 어찌할까요?,2,로밍수신요금,로밍중휴대폰기능사용요금,로밍요금확인시점,T로밍카드,,
400,441,로밍 전화,2,로밍중전화발신방법,로밍한사람간통화요금,로밍통화요금,로밍통화요금,T로밍고객센터,T로밍카드고객센터
401,2139,060수신차단,2,060발신차단서비스신청방법,060발신차단서비스,060정보료한도제,060발신차단서비스,060발신차단서비스신청방법,
402,3312,데이터 용량 얼마나 남았니?,2,최근사용량확인방법,,,자녀데이터사용량조회방법,baro요금제잔여량확인,baroBox잔여량조회
403,4406,문자도용서비스,2,스팸문자,일500건SMS발송량제한,문자매니저,번호도용문자차단,,
404,1349,잘못해서 분실폰 가입되엇는데 취소 해주세요,2,분실폰찾기개인정보삭제,분실폰찾기알람,분실폰찾기위치조회,로밍중휴대폰분실신고,,
405,2635,그 요금제 문의때문에 전화했습니다,2,부가사용금액,,,요금제문의,Btv요금제,요금제추천
406,4175,문자로 받고싶어요,2,문자매니저,문자메시지서비스,등기문자,문자메시지서비스,MMS,메시지관련
407,2596,플로 가입 어떻게 하나요,2,FLO이용방법,FLO신청방법,FLO,FLO신청방법,FLO앤데이터신청방법,FLO이용방법
408,3060,미납요급 납부가능일 등록하기,2,SKT미납센터연락처,미납이용정지,미납직권해지,요금납부일확인방법,,
409,5576,안내문자는 보통 언제쯤 오나요?,1,안심문자,등기문자,문자매니저,메시지관련,요금안내서발행유형자동변경해제방법,문자메시지서비스
410,5414,밤12시요,1,데이터로밍일시허용,로밍일시허용,,T아이폰케어12,,
411,5953,고객센터가 또 별도인가요?,1,전화상담사연결,SK텔레콤고객센터운영시간,타통신사고객센터,제조사AS센터연락처,타통신사고객센터,SK텔레콤고객센터운영시간
412,3613,카드 다른사람명의 납부,2,동일신용카드월5회수납제한,,,T로밍카드타인양도,타사고객baroBox이용,
413,4859,해지가 가능할까요,1,이동전화해지방법,자동납부해지방법,유선해지방법,예상해지금액,이동전화해지방법,Btv월정액해지방법
414,4355,제 요금의 선택약정이 언제까지로 돼 있는지 알고 싶어요,2,선택약정할인제도만료문자발송시기,선택약정할인반환금면제대상,선택약정할인제도가입조건,선택약정할인제도가입조건,,
415,5041,미납요금 10일안에 결제가능합니다,1,SKT미납센터연락처,미납이용정지,미납직권해지,미납이용정지,,
416,1147,명세표 이메일 변경,2,이메일상담,MMS,휴대폰MMS수신후저장실패조치방법,요금안내서변경방법,요금안내서발행유형자동변경해제방법,이메일상담
417,1684,고객센터 문자,2,전화상담사연결,SK텔레콤고객센터운영시간,타통신사고객센터,제조사AS센터연락처,전화상담사연결,SK텔레콤고객센터운영시간
418,5778,카톡으로 주세요,1,데이터리필하기mVoIP사용가능여부,데이터리필하기데이터공유가능여부,데이터리필하기문자통보,메시지관련,,
419,4674,로밍 사용하려고 하는데,1,로밍통화요금,로밍중휴대폰기능사용요금,로밍중전화발신방법,T로밍카드,T로밍고객센터,5G로밍서비스
420,1895,통화중상대가전화했을때상대방전화번호가안뜨네요,2,T_통화중대기,통화중대기서비스신청방법,통화중대기서비스,다른번호문의,,
421,1057,요금제에 부과 되나요,2,부가사용금액,편의점요금납부,과납,요금제문의,Btv요금제,5GX요금제
422,2768,단말기 변경에 따른 인증하기,2,휴대폰인증서서비스,공동인증서등록방법,휴대폰인증서서비스해지방법,인증관련,Wavve부가서비스인증방법,로밍중인증문자수신
423,5207,네 해지 부탁드립니다,1,이동전화해지방법,자동납부해지방법,유선해지방법,예상해지금액,이동전화해지방법,철회
424,655,최근기록에 문자 안나오게 하는 방법 있나요?,2,등기문자,문자매니저,문자메시지서비스,T전화최근기록보기설정,T전화아이폰최근기록표시정책,수납이력서재발행방법
425,677,11월 요금납부서를 팩스로 받고싶어요,2,요금수납내역확인방법,요금부분납부방법,기타요금,각종업무구비서류,이용계약증명서발급방법,
426,5389,네 콘텐츠구매가안되요,1,콘텐츠이용료구매내역확인방법,콘텐츠이용료가능대상,콘텐츠이용료결제취소방법,구매관련,T데이터쿠폰구매방법,T쿠폰구매방법
427,793,매월카드납부등록,2,동일신용카드월5회수납제한,제휴카드할인,,T데이터쿠폰등록방법,,
428,1705,비상연락처,2,휴대폰결제대행사연락처,SK텔레콤고객센터운영시간,ONEstore고객센터,제조사AS센터연락처,영업장위치확인,
429,2942,쿠폰5장중에 유효기간이 젤가까운건 언제야,2,T쿠폰,T쿠폰구매방법,T데이터쿠폰사용기간,T데이터쿠폰사용기간,T멤버십포인트유효기간,데이터리필하기쿠폰유효기간
430,5626,문자로 와서 알고있습니다,1,등기문자,문자매니저,문자메시지서비스,문자메시지서비스,메시지관련,MMS
431,2113,sk 텔레콤 인터넷입니다.,2,T플러스B인터넷,T_광랜인터넷,T플러스B인터넷신청방법,인터넷관련,,
432,5406,미납 요금 12월10일까지 납부 가능합니다,1,SKT미납센터연락처,미납이용정지,미납직권해지,단말기할부금중도납부방법,SKT미납센터연락처,
433,5244,타통신사 개통된후 번호이동 시도하는건가요,1,휴대폰번호보호신청방법,번호이동제도,다른번호문의,번호이동제도,이동전화가입(타사),
434,6491,해외합니다,1,T로밍청구내역서,,,해외MMS서비스,해외SMS서비스,5G로밍가능국가
435,3669,예약접수가능하는지,2,이용계약증명서발급방법,가입상담예약방법,,가입상담예약방법,예약관련,통화중대기서비스신청방법
436,3674,t전화 baro 통화 와이파이연결 사용 불안정,2,T전화baro이용방법,T전화baro,,T전화baro,T전화baro이용방법,
437,2996,t멤버쉽이 유효하지 않다고 하네요,2,T멤버십열린멤버십,T멤버십사용내역확인방법,T멤버십발급비용,휴대폰결제멤버십해지방법,,
438,4885,목소리로,1,목소리인증,목소리인증해지방법,선불폰,음성관련,소리관련,휴대폰통화목소리울림조치방법
439,4576,법인폰인데!,1,법인폰요금안내서신청_변경방법,,,법인고객센터,T끼리법인요금제,T끼리법인요금제회선_사용자관리방법
440,3222,선택약정미가입,2,선택약정할인중복가입가능상품,선택약정할인제도가입가능단말기조회방법,선택약정할인제도가입조건,Btv미가입채널조치방법,,
441,3863,번호도용 방지,2,번호이동제도,번호도용문자차단신청방법,번호도용문자차단,명의도용,번호도용문자차단,
442,3921,요금내역 부탁합니다,2,요금수납내역확인방법,기타요금,요금부분납부방법,콘텐츠이용료구매내역확인방법,요금수납내역확인방법,유선요금납부내역확인방법
443,1523,내 말 안 들려?,2,휴대폰전화수신불가조치방법,휴대폰통화중잡음묵음조치방법,휴대폰전화수발신불가조치방법,소리샘서비스청취방법,소리관련,
444,4613,청구서가나와서요,1,요금안내서재발행방법,요금안내서변경방법,요금안내서발행유형자동변경해제방법,각종업무구비서류,이용계약증명서발급방법,요금안내서발행유형자동변경해제방법
445,1012,쿠폰 얼마나 남았냐,2,T데이터쿠폰잔액조회방법,T데이터쿠폰사용기간,T데이터쿠폰등록기간,T쿠폰잔액조회방법,T데이터쿠폰잔액조회방법,단말기잔여할부조회방법
446,6034,요금제확인,1,과납,부가사용금액,요금납부일확인방법,요금제문의,Btv요금제,요금제추천
447,3820,tv고객센터,2,타통신사고객센터,SK텔레콤고객센터운영시간,제조사AS센터연락처,제조사AS센터연락처,전화상담사연결,타통신사고객센터
448,4526,이번달 말일까지 납부가능할까요?,1,부가사용금액,과납,편의점요금납부,단말기할부금중도납부방법,요금납부일확인방법,
449,3980,네트워크좀 어떻게해주세요,2,모바일Btv앱,Btv유튜브시청방법,,Btv네트워크오류조치방법,연결관련,
450,3153,멤버십 카드 정지때문에 문의 드립니다 정지을 풀려고 합니다,2,T멤버십고객등급기준,T멤버십열린멤버십,T멤버십발급비용,정지해제관련,일시정지해제방법,
451,2528,상담원 초대하기,2,SK텔레콤고객센터운영시간,전화상담사연결,T멤버십구매상품(구.초콜릿)상담센터,전화상담사연결,,
452,1546,데이터리필을받으려면상담원하고통화해야돼나요?,2,데이터리필하기데이터음성사용기간,데이터리필하기문자통보,데이터리필하기쿠폰제공,데이터리필하기사용방법,데이터리필하기쿠폰제공,데이터리필하기문자통보
453,1022,정지일자,2,일시정지,일시정지해제방법,유선일시정지신청/해제방법,정지관련,일시정지,
454,1566,핸드폰에서 아예 소리가 안 들려..,2,휴대폰전화수신불가조치방법,휴대폰통화중잡음묵음조치방법,휴대폰전화수발신불가조치방법,Btv소리묵음조치방법,소리관련,휴대폰통화중잡음묵음조치방법
455,3788,분실파손보험,2,휴대폰보험보상신청방법,단말보험해지방법,단말보험가입방법,분실파손보험,로밍중휴대폰분실신고,
456,1768,이납 납부 가능  20일까지,2,과납,요금수납내역확인방법,요금납부일확인방법,단말기할부금중도납부방법,,
457,6736,3일이라서 그런가요,1,요금납부일확인방법,,,TAll케어플러스3,주말엔팅3.0G,LTE휴대폰3G데이터접속조치방법
458,5037,요금이 갑자기 많아진 이유가 알고싶어요.,1,요금납부일확인방법,실시간요금상세내역,,부가사용금액,데이터추가사용방법,
459,3518,데이테리필,2,데이터리필하기데이터음성사용기간,데이터리필하기문자통보,데이터리필하기데이터공유가능여부,데이터리필하기사용방법,데이터리필하기쿠폰제공,데이터리필하기데이터음성사용기간
460,2159,선택재약정방법,2,선택약정할인제도만료문자발송시기,선택약정할인제도가입조건,선택약정할인제도할인반환금부과대상,선택약정할인제도재가입조건,,
461,2649,T멤버십 취소,2,T멤버십재발급취소,T멤버십카드발급조건,T멤버십발급비용,휴대폰결제멤버십해지방법,5GX클럽갤럭시S20해지방법,T아이폰케어해지방법
462,889,약정기간끝나기전에 재약정하면되지요,2,요금약정할인제도,,,선택약정할인제도재가입조건,,
463,1120,와파이 사용 요금알고십어요,2,Twifizone이용방법,Twifizone,,Twifi렌탈이용요금,Twifi렌탈,T_GigaWiFi
464,1308,내 용량 얼마 남았너,2,최근사용량확인방법,,,baroBox잔여량조회,baro요금제잔여량확인,자녀데이터사용량조회방법
465,1342,기업필링 해지 하고싶은데요.,2,데이터리필하기데이터공유가능여부,데이터리필하기문자통보,데이터리필하기데이터음성사용기간,컬러링서비스해지방법,레터링해지방법,TRing해지방법
466,4379,나 이미 로밍 했어,2,로밍중휴대폰기능사용요금,로밍중전화발신방법,로밍통화요금,T로밍카드내역확인,,
467,2958,미납요금 납부 가능일 문의 드립니다,2,SKT미납센터연락처,미납이용정지,미납직권해지,요금납부일확인방법,SKT미납센터연락처,
468,2287,문자발송시 문서첨부가능여부,2,일500건SMS발송량제한,,,요금안내서발행유형자동변경해제방법,MMS,
469,6294,바로가입가능할까요,1,타사고객baroBox이용,,,신규가입구비서류,가입상담예약방법,개통관련
470,2724,상담은 부탁드립니다,2,전화상담사연결,SK텔레콤고객센터운영시간,ONEstore고객센터,퀵보이스신청방법,퀵보이스,퀵보이스차단서비스
471,5695,번호가 몇번이에요?,1,태블릿번호확인방법,번호이동제도,휴대폰번호보호신청방법,단말기일련번호확인방법,T멤버십카드번호확인방법,태블릿번호확인방법
472,1630,나의 핸드폰 납부 해야 금액은,2,요금수납내역확인방법,요금부분납부방법,편의점요금납부,단말기할부금중도납부방법,결제관련,
473,6340,휴대폰결제 한도가 삼만원인데 오만원으로 변경가능합니까,1,휴대폰결제이용동의신청방법,휴대폰결제이용가능대상,,법인휴대폰결제이용한도,애플콘텐츠이용료결제이용한도,데이터통화료상한제도
474,2744,폰요금 납뷰,2,편의점요금납부,과납,부가사용금액,보이스뷰,baroBox임대료,
475,1789,약정 가입하려면?,2,요금약정할인제도,,,데이터결합약정할인신청방법,가입상담예약방법,
476,5839,같이 등록가능한지요?,1,등록관련,,,Data함께쓰기,Data함께쓰기신청방법,법정대리인동시통보
477,2829,상세 로밍 사용료 보내주세요,2,로밍한사람간통화요금,로밍통화요금,로밍요금확인시점,T로밍청구내역서,,
478,6543,만약에 선택약정 할인을 안 했을 때 말입니다,1,선택약정할인제도할인반환금부과대상,선택약정할인반환금면제대상,선택약정할인제도재가입조건,선택약정할인제도가입불가요금제,선택약정할인제도가입조건,
479,3581,해외에서 상담사 연결,2,T로밍고객센터,,,해외MMS서비스,해외SMS서비스,T로밍고객센터
480,3988,휴대폰 인증번호가 안옵니다.,2,Btv인증번호설정방법,공동인증서등록방법,휴대폰인증서서비스,Btv셋톱박스인증번호확인방법,Btv인증번호설정방법,로밍중인증문자수신
481,3469,타명의카드납부 방법,2,동일신용카드월5회수납제한,제휴카드할인,,T로밍카드타인양도,타사고객baroBox이용,
482,5754,내일 완납 가능합니당.,1,부가사용금액,과납,편의점요금납부,단말기할부금중도납부방법,,
483,5554,영업장이 대리점을 말 하는겁니까,1,영업장위치확인,개통대리점조회방법,행복AS,개통대리점조회방법,휴대폰결제대행사연락처,법인위임대리인
484,5180,내일 완납가능할꺼같은데,1,요금부분납부방법,요금수납내역확인방법,편의점요금납부,단말기할부금중도납부방법,,
485,986,선택할인,2,선택약정할인제도공제순서,선택약정할인반환금면제대상,선택약정할인제도가입불가요금제,Btv선택,,
486,5508,그럼 세가지 해지하면 어떻게되나요,1,이동전화해지방법,자동납부해지방법,유선해지방법,예상해지금액,이동전화해지방법,
487,731,공유기 비밀번호를 알고 싶습니다~,2,SK유무선공유기Wi-Fi이름암호확인방법,유선인터넷장비전원고장조치방법,SK유무선공유기Wi-Fi접속불가조치방법,비밀번호관련,SK유무선공유기Wi-Fi이름암호확인방법,
488,5776,이번호말고 다른번호들 해지하려구요,1,휴대폰번호보호해지방법,,,Btv월정액해지방법,이동전화해지방법,T우주패스연간상품해지방법
489,4870,부가서비스에 대하여,1,부가서비스가입내역확인방법,단말보험가입방법,단말보험해지방법,부가사용금액,추가관련,
490,4896,전액 납부 30일 가능합니다,1,요금납부일확인방법,,,단말기할부금중도납부방법,,
491,1417,미납요금 가능일 알려줘,2,SKT미납센터연락처,미납이용정지,미납직권해지,미납이용정지,,
492,6023,법인폰은매장에가야하나요?,1,법인폰요금안내서신청_변경방법,,,법인고객센터,개통대리점조회방법,
493,5124,담달부터 나오는 금액은 할부가 빠지나요?,1,단말기할부,단말기할부금중도납부방법,,단말기할부금중도납부방법,,
494,4847,휴대폰 안증서만 제외하고  다해자해주세요,1,휴대폰인증서서비스,공동인증서등록방법,휴대폰인증서서비스해지방법,휴대폰인증서서비스해지방법,,
495,5574,구글 에서 환불 받기로 하였습니다.,1,콘텐츠이용료구매내역확인방법,구글Play스토어고객센터,콘텐츠이용료결제취소방법,데이터결합약정할인반환금,장비변상금,콘텐츠이용료결제취소방법
496,6245,좀전 콘텐츠 이용의 상세내용을 알고싶어요,1,콘텐츠이용료구매내역확인방법,구글Play스토어고객센터,콘텐츠이용료가능대상,동영상관련,Btv최근시청VOD,콘텐츠이용료구매내역확인방법
497,670,데이터 잔여량 얼마나 남았어?,2,최근사용량확인방법,,,baro요금제잔여량확인,단말기잔여할부조회방법,자녀데이터사용량조회방법
498,2867,전화가 사용이 안되는데 왜 그런거야?,2,휴대폰전화수발신불가조치방법,,,집전화수발신불가조치방법,휴대폰전화수발신불가조치방법,T전화오류문의
499,1204,쿠폰 적용이 안되고 카드로 결제가 되었어요.. 카드취소해주시고 쿠폰적용해주세요~~,2,T데이터쿠폰등록방법,T데이터쿠폰사용기간,T데이터쿠폰등록기간,콘텐츠이용료결제취소방법,,
500,1686,초기화면이 헨드폰에 나타나질안아요,2,내휴대폰기종확인,,,휴대폰개통일확인방법,Btv미가입채널조치방법,Btv부팅및업데이트불가조치방법
501,2574,미납가능일 16일로 변경합니다,2,SKT미납센터연락처,미납이용정지,SKT해지미납센터연락처,NewT아이폰케어16,T아이폰케어16,
502,5965,지난달부터 요금청구가 되었나요?,1,요금안내서재발행방법,,,요금수납내역확인방법,요금납부일확인방법,
503,5489,안녕하세요 당월 청구요금중 일부를 내고 싶어서요!,1,요금부분납부방법,요금수납내역확인방법,기타요금,단말기할부금중도납부방법,,
504,4741,아~ 그렇군요.. 그럼 baro요금제 가입은 안해도 되나요?,1,T전화baro,T전화baro이용방법,baroYT요금제,T전화baro이용방법,T전화baro,
505,5899,내 감사합니다,1,전화상담사연결,SK텔레콤고객센터운영시간,타통신사고객센터,상담사칭찬방법,,
506,1603,위약금 얼마남아있는지 알려주세요,2,프리미엄패스1,,,데이터결합약정할인반환금,휴대폰결제연체가산금,장비변상금
507,6454,이번달 요금에 로밍비용이 얼마인가요?,1,로밍통화요금,로밍요금확인시점,로밍수신요금,데이터로밍요금,로밍요금확인시점,T로밍카드
508,2876,The person who asked the question is what TV?,2,BtvTV앱,,,Btv,,
509,3780,아이요금보호자대납요금문의할께 있어요,2,과납,,,미성년자법정대리인정지,,
510,6413,제가 확인해보고입금하겠습니다,1,이용계약증명서발급방법,이동전화가입제한,가입상담예약방법,가입비,,
511,3825,부가서비스 기간이 궁금해요,2,부가서비스가입내역확인방법,단말보험가입방법,휴대폰보험보상신청방법,T데이터쿠폰사용기간,유선장기일시정지,장기가입고객할인제도
512,6474,안녕하세요 요금안내서 메일이 필요한데 아직 안옷듯하여,1,요금안내서변경방법,요금안내서발행유형자동변경해제방법,요금안내서재발행방법,요금안내서발행유형자동변경해제방법,이메일상담,각종업무구비서류
513,4662,미납요금 분할로 낼수있을까요??,1,SKT미납센터연락처,미납이용정지,미납직권해지,과납,단말기할부금중도납부방법,
514,1276,이번달 말일까지 납부하겠습니다,2,과납,부가사용금액,편의점요금납부,단말기할부금중도납부방법,,
515,5580,앱으로 폰요금낼때 인증서없음  납부안되나요?,1,공동인증서등록방법,휴대폰인증서서비스,휴대폰인증서서비스해지방법,유선인터넷웹보안인증서문제조치방법,휴대폰인증서서비스,공동인증서등록방법
516,1070,24일 미납요금 납부가능,2,SKT미납센터연락처,미납이용정지,SKT해지미납센터연락처,단말기할부금중도납부방법,,
517,5104,납부가능일은지금 지정 못하나요?,1,휴대폰결제연체가산금,가산금,실시간요금상세내역,요금납부일확인방법,요금납부일변경방법,유선요금납부일변경방법
518,4075,미납요금은매월21일까지처리할테니~그리알아두세요,2,SKT미납센터연락처,미납이용정지,미납직권해지,미납이용정지,,
519,1760,인터넷로밍,2,로밍통화요금,로밍중전화발신방법,로밍중휴대폰기능사용요금,T로밍카드,5G로밍서비스,데이터로밍요금
520,6375,7101꼬는 선택약정을 연장을햇는데,1,선택약정할인제도할인반환금부과대상,선택약정할인제도만료문자발송시기,선택약정할인반환금면제대상,번호변경안내서비스연장방법,분실정지수신기간연장방법,연장관련
521,3352,유플러스티비,2,Btv유튜브시청방법,모바일Btv앱,,Wavve앤데이터플러스,채팅플러스,TB끼리TV플러스
522,4335,유심 문의 드릴려고요,2,USIM카드구매방법,USIM카드교품방법,USIM기기변경방법,로밍중USIM변경,USIM기변방법,USIM카드구매방법
523,4403,세븐틴 알아?,2,SK세븐모바일,,,0틴플랜요금제,0틴5G요금제,
524,4029,그래 감사,2,전화상담사연결,미디어앤데이터팩신청방법,,상담사칭찬방법,,
525,5786,V이커러링을 취소할려구요,1,V컬러링이용방법,V컬러링,원플러스컬러링해지방법,V컬러링해지방법,Btv월정액해지방법,오토컬러링해지방법
526,5494,대화요,1,전화상담사연결,,,비밀번호통화서비스,,
