,intent
1037,휴대폰특정번호전화수신불가조치방법
1038,세이프캐시알림설정방법
1039,T플랜안심4G+다이렉트플랜
1040,5GX프라임+다이렉트플랜
1041,슬림+다이렉트플랜
1042,T플랜안심2.5G+다이렉트플랜
1043,세이프캐시
1044,T플랜스페셜+다이렉트플랜
1045,세이프캐시해지방법
1046,세이프캐시신청방법
1047,NUGUWiFi연결
1048,NUGUCHIPS잠금화면
1049,NUGU서비스11번가결제카드변경
1050,NUGU서비스스마트홈기기등록건수
1051,NUGU서비스멜론스트리밍상품
1052,NUGU서비스증권주가지수시세조회
1053,NUGU서비스FLO이용권구매방법
1054,NUGU서비스운세
1055,선라이즈모닝콜
1056,NUGU서비스타이머
1057,NUGU서비스BBQ마이메뉴설정방법
1058,셋톱박스스피커이용방법
1059,NUGU서비스음성인식기능
1060,Btv셋톱박스인증번호확인방법
1061,NUGU서비스멜론카카오톡계정이용방법
1062,Btv셋톱박스연동방법
1063,NUGU서비스금영노래방
1064,NUGU서비스도미노피자마이메뉴설정방법
1065,NUGU서비스음악연동방법
1066,NUGUmini전원오프상태충전
1067,BtvUHD와SMART차이점
1068,알버트AI
1069,NUGU서비스하나은행금융기능
1070,NUGU서비스어학사전이용방법
1071,NUGUmini충전
1072,알버트AI등록방법
1073,NUGU서비스하나은행환율정보
1074,BtvNUGU이용방법
1075,NUGU서비스MYQ앤A
1076,BtvNUGU음성명령기능
1077,NUGU서비스블루투스연결방법
1078,BtvNUGU앱연동방법
1079,NUGUCHIPS무선충전실패
1080,NUGU서비스탈퇴방법
1081,NUGU디바이스적색등오류
1082,NUGUCHIPS위치권한설정방법
1083,알버트와알버트AI차이점
1084,Btv화면자막잘림조치방법
1085,SK유무선공유기Wi-Fi암호변경방법
1086,유선인터넷접속불가조치방법
1087,Btv화질저하조치방법
1088,유선인터넷끊김조치방법
1089,유선인터넷모뎀공유기
1090,Btv소리묵음조치방법
1091,유선인터넷속도저하조치방법
1092,Btv부팅및업데이트불가조치방법
1093,유선인터넷장비전원고장조치방법
1094,유선인터넷웹보안인증서문제조치방법
1095,Btv미가입채널조치방법
1096,유선인터넷고정IP
1097,BtvAI셋톱박스음성인식불가조치방법
1098,Btv입력신호없음조치방법
1099,Btv화면음성끊김멈춤조치방법
1100,Btv네트워크오류조치방법
1101,Btv인터넷장애조치방법
1102,Btv셋톱박스전원불량조치방법
1103,Btv리모컨TV버튼작동불가조치방법
1104,Btv자녀안심설정방법
1105,Btv살아있는동화
1106,Btv음성검색
1107,Btv유튜브시청방법
1108,BtvTV앱
1109,BtvZEM키즈설정방법
1110,모바일Btv앱
1111,Btv블루투스연결
1112,Btv쿠폰
1113,Btv실시간TV설정방법
1114,Btv사용자맞춤설정방법
1115,Btv최근시청VOD
1116,Btv시스템설정방법
1117,Btv화면음향설정방법
1118,BtvB포인트
1119,BtvT멤버십사용방법
1120,BtvOK캐쉬백적립/사용방법
1121,BtvTV포인트
1122,Btv영상음성케이블
1123,Btv리모컨백라이팅사용방법
1124,Btv인증번호설정방법
1125,Btv리모컨분실조치방법
1126,Btv리모컨사용불가조치방법
1127,Btv채널이동지연조치방법
1128,Btv화면색상이상조치방법
1129,Btv리모컨음성검색불가조치방법
1130,BtvVOD권한없음조치방법
1131,Btv채널없음조치방법
1132,Btv리모컨이어폰연결불가조치방법
1133,인터넷전화기전원불량조치방법
1134,집전화기파손/고장
1135,집전화수발신불가조치방법
1136,집전화잡음묵음조치방법
1137,T플랜시니어요금제
1138,ZEM플랜스마트
1139,T플랜시니어안심4.5G
1140,T플랜시니어에센스
1141,발신번호표시해지방법
1142,T플랜시니어안심2.8G
1143,수신자비밀번호서비스이용방법
1144,ZEM플랜요금제
1145,T자녀안심신청방법
1146,수신자비밀번호서비스신청방법
1147,퍼펙트콜플러스해지방법
1148,T앤캡스
1149,T자녀안심
1150,퍼펙트콜플러스신청방법
1151,T플랜시니어스페셜
1152,퍼펙트콜플러스
1153,SKT콜렉트콜수신거부서비스신청방법
1154,휴대폰결제안심통보
1155,수신자비밀번호서비스해지방법
1156,T자녀안심해지방법
1157,휴대폰결제안심통보신청방법
1158,수신자비밀번호서비스
1159,T앤캡스해지방법
1160,휴대폰결제안심통보해지방법
1161,T플랜시니어세이브
1162,ZEM플랜라이트
1163,XboxGamePass이용방법
1164,T앤캡스신청방법
1165,XboxGamePass
1166,T끼리법인요금제
1167,T끼리법인요금제회선_사용자관리방법
1168,T로밍Biz요금제회선_사용자관리방법
1169,법인폰납부요금조회방법
1170,법인폰청구요금조회방법
1171,법인폰요금안내서재발행방법
1172,법인폰요금제잔여량조회방법
1173,법인폰요금제사용량조회방법
1174,법인폰청구지주소조회_변경방법
1175,법인폰자동납부내역조회방법
1176,법인폰요금안내서신청_변경방법
1177,법인세금계산서재발행방법
1178,법인폰현재사용중요금제확인방법
1179,법인통화내역조회방법
1180,법인위임대리인
1181,법인위임대리인신청방법
1182,법인위임대리인연장신청방법
1183,법인위임대리인취소방법
1184,V컬러링신청방법
1185,통합청구서해지방법
1186,게임패스얼티밋컨트롤러팩
1187,문자매니저해지방법
1188,T끼리온가족할인제도가족추가
1189,FLO유료이용권해지방법
1190,V컬러링프로모션
1191,FLO해지방법
1192,게임패스얼티밋
1193,V컬러링오류조치방법
1194,V컬러링이용방법
1195,자동납부해지방법
1196,게임패스얼티밋컨트롤러팩프로모션
1197,V컬러링
1198,게임패스얼티밋프로모션
1199,Xbox컨트롤러
1200,댁내재배선
1201,유선해지방법
1202,유선요금안내서재발행방법
1203,Btv비너스TV
1204,유선요금납부일변경방법
1205,Btv플레이보이TV
1206,유선요금납부내역확인방법
1207,Btv핑크하우스
1208,Btv허니TV
1209,유선인터넷품질측정
1210,유선상품설치가능지역
1211,Btv
1212,Btv월정액해지방법
1213,SK브로드밴드고객센터
1214,Btv코끼리명상월정액
1215,유선A/S방문일정
1216,BtvDOGTV
1217,Btv19월정액
1218,BtvOCEAN시니어월정액
1219,BtvViKi
1220,Btv지상파월정액
1221,BtvCJENM월정액
1222,Btv디자이어TV
1223,Btv미드나잇
1224,BtvMBN월정액
1225,BtvTVCHOSUN월정액
1226,Btv채널A월정액
1227,BtvJTBC월정액
1228,T_가디언
1229,T_부재중안내
1230,T_Giga인터넷라이트
1231,T_착신전환설정방법
1232,T_세이퍼NEW
1233,T_PC원스톱
1234,T_IP공유서비스
1235,T_GigaWiFi
1236,T_파워IP
1237,T_착신전환
1238,T_리모컨
1239,Btv월정액
1240,T_발신번호표시
1241,T_통화중대기
1242,플레이송스홈
1243,Btv채널팩
1244,셋톱박스
1245,Btv요금제
1246,Btv선택
1247,BtvNew베이직
1248,Btv스탠다드
1249,BtvAll
1250,T_광랜인터넷
1251,T_Giga인터넷
1252,T_Giga프리미엄
1253,집전화요금제
1254,T_일반전화
1255,T_인터넷전화
1256,집전화번호변경
1257,유선일시정지신청/해제방법
1258,유선장기일시정지
1259,장비변상금
1260,유선복지할인
1261,유선요금안내서
1262,유선상품변경방법
1263,Btv실시간채널
1264,BtvOCEAN
1265,Btv애니프라임월정액
1266,Btv투니버스월정액
1267,Btv슈퍼키즈클럽월정액
1268,BtvEBS키즈월정액
1269,Btvenglishgem
1270,Btv캐치온
1271,BtvSPOTVON
1272,BtvKBS월정액
1273,BtvSBS월정액
1274,BtvMBC월정액
1275,Btv키즈톡톡플러스
1276,Btv신기한나라TV
1277,시니어요금제
1278,USIM스마트인증해지방법
1279,원스토리앤데이터해지방법
1280,원스토리앤데이터이용방법
1281,원스토리앤데이터신청방법
1282,MMS
1283,원스토리앤데이터
1284,T원넘버
1285,요금부분납부방법
1286,T원넘버해지방법
1287,기타요금
1288,빌레터통신비안심신청방법
1289,부가사용금액
1290,빌레터통신비안심해지방법
1291,T원넘버신청방법
1292,빌레터통신비안심
1293,전화번호안심로그인
1294,TAll케어플러스폴드
1295,로그인보호서비스
1296,오토콜신청방법
1297,오토콜해지방법
1298,NewT아이폰케어
1299,가족결합상품대표회선변경방법
1300,NewT아이폰파손12
1301,NewT아이폰케어7
1302,NewT아이폰케어10
1303,NewT아이폰파손5
1304,NewT아이폰케어12
1305,NewT아이폰케어16
1306,NewT아이폰파손7
1307,NewT아이폰파손9
1308,다이렉트5G52
1309,다이렉트LTE22
1310,다이렉트5G38
1311,다이렉트LTE35
1312,5G언택트62
1313,다이렉트LTE48
1314,V컬러링플러스
1315,V컬러링플러스프로모션
1316,V컬러링플러스신청방법
1317,이니셜앱
1318,이니셜앱이용방법
1319,ZEM플러스웅진스마트올혜택
1320,ZEM플러스웅진스마트올
1321,ZEM플러스웅진스마트올해지방법
1322,채티서비스
1323,FLO신청방법
1324,부가통화
1325,통신서비스요금
1326,예상해지금액
1327,로밍음성사용량SMS
1328,로밍문자사용량SMS
1329,로밍영상통화사용량SMS
1330,5GX레귤러
1331,5GX레귤러플러스
1332,5GX퍼펙트클럽갤럭시S21해지방법
1333,5GX퍼펙트클럽갤럭시S21파손형
1334,벨플러스컬러링정액제신청방법
1335,5GX퍼펙트클럽갤럭시S21분실파손형
1336,T청소년안심서비스
1337,5GX클럽갤럭시S21
1338,5GX퍼펙트클럽갤럭시S21반납조건
1339,벨플러스컬러링정액제
1340,5GX퍼펙트클럽갤럭시S21
1341,Xbox올액세스시리즈S
1342,Xbox올액세스
1343,안심통보서비스
1344,자동납부번호확인방법
1345,Xbox올액세스시리즈X
1346,안심통보서비스해지방법
1347,T전화투데이
1348,T전화음성으로전화하기
1349,T전화NUGU계정연동방법
1350,T전화NUGU계정해제방법
1351,T전화투데이통화추천
1352,보이스뷰
1353,T전화NUGU
1354,T전화투데이루틴
1355,T전화테마
1356,T전화투데이뉴스
1357,T전화NUGU라디오듣기
1358,T전화아이폰
1359,요금제문의
1360,T우주패스
1361,T우주패스all프로모션
1362,T우주패스mini프로모션
1363,T우주패스mini
1364,0틴플랜미디엄플러스
1365,0틴플랜스몰
1366,0틴플랜미디엄
1367,ZEM플랜베스트
1368,0틴플랜라지
1369,0틴플랜요금제
1370,5GZEM플랜베스트
1371,5GZEM플랜퍼펙트
1372,구독서비스
1373,T전화T114업체정보변경
1374,T전화작은수신화면모드
1375,컬러링서비스기본음설정방법
1376,Tworld
1377,내휴대폰기종확인
1378,T전화단축번호설정
1379,0히어로할인제도
1380,아이폰기기변경상담
1381,내정보지키미
1382,내정보지키미해지방법
1383,내정보지키미신청방법
1384,TAll케어플러스2
1385,티다팩
1386,본인컬러링듣기
1387,0히어로할인제도해지방법
1388,분실파손2i일반
1389,분실파손2폴드
1390,파손280
1391,ifland앱이용방법
1392,분실파손2고급
1393,분실파손2플립
1394,분실파손2일반
1395,파손2F
1396,분실파손2i고급
1397,0히어로할인제도신청방법
1398,분실파손2
1399,파손2i80
1400,T전화모드유지
1401,T아이폰파손13
1402,T아이폰케어13Pro
1403,T아이폰파손13Pro
1404,5GX클럽아이폰13
1405,T아이폰케어13
1406,5GX플래티넘프로모션해지방법
1407,5GX플래티넘프로모션
1408,5G행복누리슬림
1409,T전화아이폰최근기록표시정책
1410,빌레터마이풀서비스해지방법
1411,빌레터마이풀서비스신청방법
1412,5G행복누리레귤러
1413,빌레터마이풀서비스이용방법
1414,T전화내위치설정방법
1415,벨소리서비스설정방법
1416,안전결제프리미엄신청방법
1417,T전화AI통화녹음
1418,안전결제프리미엄해지방법
1419,안전결제프리미엄이용방법
1420,안전결제프리미엄
1421,T멤버십포인트
1422,T멤버십포인트선물하기
1423,T멤버십T플러스포인트적립
1424,T멤버십포인트유효기간
1425,T멤버십T우주Lite회원
1426,T멤버십T플러스포인트조회방법
1427,T멤버십고객등급조회
1428,발신번호관련
1429,공부관련
1430,블루투스관련
1431,반납관련
1432,미성년자관련
1433,휴대폰관련
1434,메시지관련
1435,통화품질관련
1436,결제관련
1437,연결관련
1438,추가관련
1439,로그인관련
1440,게임관련
1441,동영상관련
1442,가족관련
1443,정지관련
1444,전화관련
1445,인터넷관련
1446,기프티콘고객센터
1447,속도관련
1448,소리관련
1449,오토레터신청방법
1450,오토레터해지방법
1451,오토레터
1452,LTE요금제
1453,UT문의방법
1454,TAll케어플러스포인트서비스
1455,통신자료제공
1456,아파트청약케어신청방법
1457,아파트청약케어해지방법
1458,통신자료제공신청방법
1459,아파트청약케어
1460,TAll케어플러스포인트서비스해지방법
1461,휴대폰가족보호
1462,휴대폰가족보호신청방법
1463,휴대폰가족보호해지방법
1464,휴대폰가족보호이용방법
1465,T전화아이폰상세기능
1466,SK세븐모바일
1467,T전화이어하기
1468,T전화탈퇴및서비스미사용
1469,T전화오류문의
1470,구매관련
1471,군인관련
1472,Wavve콘텐츠팩프리미엄해지방법
1473,Wavve콘텐츠팩프리미엄
1474,Wavve콘텐츠팩프리미엄신청방법
1475,Wavve앤데이터프리미엄신청방법
1476,Wavve앤데이터프리미엄해지방법
1477,Wavve앤데이터프리미엄
1478,휴대폰번호보호신청방법
1479,휴대폰번호보호
1480,휴대폰번호보호해지방법
1481,PASS프라임서비스해지방법
1482,TAll케어플러스2i보급
1483,분실파손2i보급
1484,TAll케어플러스2파손40
1485,TAll케어플러스2i파손50
1486,파손240
1487,파손2i50
1488,​T아이폰케어SE2022
1489,​T아이폰파손SE2022
1490,벨링라이트정액제
1491,벨링라이트정액제해지방법
1492,벨링라이트정액제신청방법
1493,소리샘서비스해지방법
1494,T전화글꼴변경방법
1495,T전화최근기록보기설정
1496,T전화계절날씨표현기능해제
1497,T전화발신자정보읽어주기설정
1498,T우주패스slim
1499,A.
1500,T우주패스all신청방법
1501,V컬러링해지방법
1502,스마트안심쇼핑
1503,스마트안심쇼핑해지방법
1504,요금제추천
1505,요금제변경
1506,baro충전요금제
1507,baro1GB충전
1508,baro2GB충전
1509,baro3GB충전
1510,가족나눔데이터신청방법
1511,모비데이터팩신청방법
1512,모비데이터팩해지방법
1513,베이직
1514,베이직플러스
1515,5GX프라임플러스
1516,다이렉트5G34
1517,다이렉트5G42
1518,TAll케어플러스3폴드
1519,TAll케어플러스3i일반
1520,TAll케어플러스3파손80
1521,TAll케어플러스3파손F
1522,TAll케어플러스3파손40
1523,TAll케어플러스3i파손80
1524,TAll케어플러스3패밀리i고급
1525,TAll케어플러스분실F4
1526,TAll케어플러스3
1527,분실F4
1528,TAll케어플러스3패밀리
1529,분실파손3
1530,파손3파손F
1531,T나는폰교체20
1532,T나는폰교체10
1533,T나는폰교체
1534,T나는폰교체20플러스
1535,T나는폰교체10플러스
1536,T나는폰교체30
1537,T나는폰교체30플러스
1538,eSIM
1539,차단해제관련
1540,T우주패스life연간신청방법
1541,T우주패스slim연간
1542,요즘가족결합가족추가
1543,요즘가족결합신청방법
1544,T우주패스패밀리서비스해지방법
1545,마이투넘버
1546,등록관련
1547,V컬러링라이트신청방법
1548,V컬러링라이트프로모션
1549,휴대폰결제멤버십신청방법
1550,휴대폰결제멤버십해지방법
1551,T아이폰케어14
1552,T아이폰파손14Pro
1553,T아이폰케어14Pro
1554,T아이폰파손14
1555,HomeFiCall
1556,T아이폰케어신청방법
1557,V컬러링플러스해지방법
1558,V컬러링라이트해지방법
1559,스마트안티피싱해지방법
1560,오토컬러링플러스해지방법
1561,컬러링라이트해지방법
1562,오토컬러링해지방법
1563,다이렉트5G48
1564,다이렉트5G62
1565,다이렉트LTE30
1566,다이렉트5G55
1567,다이렉트5G69
1568,마이데이터신청방법
1569,마이데이터해지방법
1570,T우주패스플러스구독
1571,5G시니어A형
1572,마인드케어신청방법
1573,마인드케어해지방법
1574,베이직플러스75GB업
1575,베이직플러스50GB업
1576,베이직플러스13GB업
1577,베이직플러스30GB업
1578,Wavve콘텐츠팩플러스신청방법
1579,eSIM해지방법
1580,0청년89
1581,0청년99
1582,0청년69
1583,0청년79
1584,0청년59
1585,0청년49
1586,0청년43
1587,0청년다이렉트48
1588,0청년다이렉트34
1589,0청년다이렉트42
1590,0청년다이렉트69
1591,0청년다이렉트30
1592,0청년다이렉트55
1593,다이렉트플랜5GLTE요금제
1594,0청년다이렉트62
1595,Wavve콘텐츠팩연간
1596,Wavve콘텐츠팩프리미엄연간
1597,Wavve콘텐츠팩플러스연간
1598,Wavve콘텐츠팩연간신청방법
1599,baro6GB
1600,baro12GB
1601,baro24GB
1602,baroYT7GB
1603,baroYT13GB
1604,baroYT25GB
1605,0청년5915GB업
1606,0청년5936GB업
1607,0청년59100GB업
1608,0청년5960GB업
