query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3,f_rank1,f_rank2,f_rank3
상담원과통화하려면 어떻게해야하나요,"('전화 상담사 연결', 0.963)","('T로밍 고객센터', 0.904)","('T쿠폰 고객센터', 0.901)",2,전화상담사연결(0.4562514),SK텔레콤고객센터운영시간(0.444359),T멤버십구매상품(구.초콜릿)상담센터(0.431901785),"('전화 상담사 연결', 0.856)","('SK텔레콤 고객센터 운영 시간', 0.562)","('타 통신사 고객센터', 0.411)"
괌사이판국내처럼,"('T괌사이판 옵션 변경', 0.952)","('T괌사이판 요금제 잔여량 확인', 0.949)","('B tv OCEAN', 0.696)",2,0플랜스몰(0.46138485),T괌사이판요금제잔여량확인(0.45990285),0틴플랜스몰(0.4588522),"('T괌사이판 옵션 변경', 0.628)","('T괌사이판 요금제 잔여량 확인', 0.619)",
헥토이노베이션 취소할수있나요,"('다이렉트5G 69', 0.727)","('전국민 무한 69', 0.709)","('지켜줘서 고마워 현역플랜', 0.702)",2,퀵보이스해지방법(0.48322913),스팸ARS차단플러스해지방법(0.481241435),"ZEM플러스웅진스마트올해지방법(0.45883135)
","('T 아이폰케어 해지 방법', 0.435)","('오토콜 해지 방법', 0.429)","('0히어로 할인제도 해지 방법', 0.426)"
how to use the internet,"('인터넷 관련', 0.855)","('T_PC원스톱', 0.785)","('유선 인터넷 모뎀 공유기', 0.778)",2,mVoIP(0.46212548),유선인터넷고정IP(0.4447668),"T_파워IP(0.44435845)
","('인터넷 관련', 0.678)","('유선 인터넷 모뎀 공유기', 0.461)","('T플러스B인터넷', 0.412)"
통신비안심서비스가입취소할겁니다,"('빌레터 통신비안심', 0.992)","('빌레터 통신비안심 신청 방법', 0.991)","('T자녀안심 신청 방법', 0.991)",2,T안심보안신청방법(0.44778595),"T안심보안(0.44019865)
",,"('빌레터 통신비안심 해지 방법', 0.699)","('휴대폰 안심결제 해지 방법', 0.525)","('T안심콜 해지 방법', 0.493)"
010 6706 3002. 미납요금,"('과납', 0.801)","('요금 부분 납부 방법', 0.774)","('미납 직권해지', 0.766)",2,SKT미납센터연락처(0.486403375),미납이용정지(0.45893185),미납직권해지(0.43445185),"('SKT 미납센터 연락처', 0.541)","('미납 이용정지', 0.481)","('가산금', 0.41)"
로밍 차단,"('퀵보이스 차단 서비스', 0.982)","('무선인터넷 차단', 0.977)","('무선인터넷 차단 신청 방법', 0.963)",2,데이터로밍차단시통화문자이용(0.49054045),데이터로밍차단시Wi-Fi이용(0.48442645),"데이터로밍차단해지(0.43109423)
","('데이터 로밍 차단 시 Wi-Fi 이용', 0.552)","('데이터 로밍 차단 시 통화 문자 이용', 0.546)","('로밍 일시 허용', 0.478)"
단말기 모델 확인,"('내 휴대폰 기종 확인', 0.918)","('개통 관련', 0.812)","('아이폰 관련', 0.775)",2,내휴대폰기종확인(0.4823255),휴대폰기기변경방법(0.47216633),단말기교품(0.47091502),"('내 휴대폰 기종 확인', 0.762)","('휴대폰 관련', 0.535)","('단말기 자급제도', 0.466)"
납부 가능한 날자 30일,"('과납', 0.718)","('요금 납부일 변경 방법', 0.71)","('요금 부분 납부 방법', 0.701)",2,"요금납부일확인방법(0.96732414)
",,,"('요금 납부일 확인 방법', 0.765)","('요금 납부일 변경 방법', 0.716)","('단말기 할부금 중도 납부 방법', 0.501)"
요금조회요금조회요금조회,"('실시간 요금 상세 내역', 0.87)","('요금 부분 납부 방법', 0.719)","('아파트청약케어', 0.676)",2,세금계산서재발행방법(0.439567835),요금부분납부방법(0.43592158),요금수납내역확인방법(0.43215535),"('실시간 요금 상세 내역', 0.566)","('조회 관련', 0.562)","('요금제문의', 0.458)"
요번달까지가 이 금액인가요,"('요금 부분 납부 방법', 0.786)","('실시간 요금 상세 내역', 0.728)","('과납', 0.723)",2,부가사용금액(0.43345875),요금납부일확인방법(0.41673115),"실시간요금상세내역(0.41015175)
","('요금 납부일 확인 방법', 0.545)","('실시간 요금 상세 내역', 0.536)","('단말기 잔여 할부 조회 방법', 0.473)"
다른 유심개통 해지신청,"('USIM 카드 교품 방법', 0.833)","('USIM기변 방법', 0.822)","('USIM 카드 구매 방법', 0.798)",2,USIM기기변경방법(0.4605398),USIM카드교품방법(0.45235195),USIM카드구매방법(0.44625955),"('이동전화 해지 방법', 0.573)","('USIM 카드 교품 방법', 0.513)","('USIM기변 방법', 0.499)"
baro전화 이용법,"('T전화 baro 이용 방법', 0.99)","('T전화 baro', 0.975)","('로밍폰 임대 예약 방법', 0.949)",2,T전화baro(0.4937377),T전화baro이용방법(0.49292898),"baroYT요금제(0.431178)
","('T전화 baro 이용 방법', 0.96)","('T전화 baro', 0.714)","('T전화 이용 방법', 0.647)"
baro 활성화 안돼요,"('집전화 수발신 불가 조치 방법', 0.905)","('휴대폰 데이터 접속 불가 조치 방법', 0.903)","('T전화 설정 방법', 0.875)",2,T전화baro(0.47523585),T전화baro이용방법(0.47160675),"baroYT요금제(0.437732935)
","('T전화 baro 이용 방법', 0.58)","('T전화 baro', 0.532)","('T전화 오류문의', 0.527)"
미납요금이 왜있는거지?,"('SKT 미납센터 연락처', 0.915)","('과납', 0.886)","('미납 이용정지', 0.886)",2,SKT미납센터연락처(0.4884617),미납이용정지(0.46323925),미납직권해지(0.4522103),"('SKT 미납센터 연락처', 0.674)","('미납 이용정지', 0.663)","('가산금', 0.633)"
자꾸 문자로 미납요금표시되어나옴 정정바람,"('SKT 미납센터 연락처', 0.937)","('과납', 0.893)","('미납 이용정지', 0.887)",2,SKT미납센터연락처(0.4830688),미납이용정지(0.46108745),SKT해지미납센터연락처(0.4294788),"('SKT 미납센터 연락처', 0.57)","('과납', 0.421)",
선불형요금,"('선불폰 충전 방법', 0.976)","('선불폰', 0.976)","('선불폰 충전 금액별 이용 기간', 0.971)",2,선불폰(0.4877922),선불폰충전금액별이용기간(0.485503),선불폰충전취소방법(0.481027335),"('선불폰', 0.818)","('선불폰 충전 금액별 이용 기간', 0.653)","('프리미엄 패스1', 0.532)"
baro box일본 로밍은 뭐야?,"('타사 고객 baro Box 이용', 0.652)","('baro Box 옵션 변경', 0.634)","('baro Box 임대', 0.628)",2,"타사고객baroBox이용(0.8210283)
",,,"('baro Box 임대', 0.585)","('baro Box 임대료', 0.489)","('baro Box 잔여량 조회', 0.432)"
고겍 센터 전화해줘,"('전화 상담사 연결', 0.954)","('A.', 0.869)","('T로밍 카드 고객 센터', 0.841)",2,제조사AS센터연락처(0.47033935),ONEstore고객센터(0.4522647),타통신사고객센터(0.44050762),"('SK텔레콤 고객센터 운영 시간', 0.53)","('T map 문의 방법', 0.526)","('퀵보이스', 0.522)"
바로에그,"('웹발신 알림', 0.704)","('ZEM', 0.7)","('인터넷 관련', 0.693)",2,"타사고객baroBox이용(0.8159059)
",,,"('T전화 baro', 0.537)","('Wavve go 서비스', 0.438)","('baro 요금제 잔여량 확인', 0.419)"
문자까지 볼려면 어떻게 해야되?,"('문자메시지 서비스', 0.969)","('해외 SMS 서비스', 0.957)","('해외 MMS 서비스', 0.944)",2,문자메시지서비스(0.486409875),등기문자(0.48612562),문자매니저(0.4851926),"('Tworld 문자 보내기 이용 방법', 0.533)","('문자매니저', 0.517)","('메시지 관련', 0.517)"
아니 잘못 눌렀는데  니는 데이터 없나요?,"('T전화 모드 유지', 0.794)","('B tv 인터넷 장애 조치 방법', 0.786)","('휴대폰 데이터 접속 불가 조치 방법', 0.783)",2,"데이터통화료상한제도(0.8098584)
",,,"('데이터 문의 관련', 0.641)","('데이터 추가 사용 방법', 0.506)","('휴대폰 데이터 접속 불가 조치 방법', 0.475)"
약정 제가입되었나요,"('요금약정 할인제도', 0.833)","('선택약정 할인제도 가입 조건', 0.832)","('전국민 무한 요금제', 0.819)",2,"요금약정할인제도(0.85172296)
",,,"('요금약정 할인제도', 0.488)",,
누구 설정 어떻게해?,"('NUGU 서비스 이용 대상', 0.904)","('NUGU 서비스 회원 가입 방법', 0.899)","('NUGU 서비스 B tv 연동 이용 방법', 0.892)",2,NUGU서비스(0.49716315),NUGU서비스이용대상(0.49412477),NUGU서비스증권주가지수시세조회(0.48347488),"('T전화 NUGU 계정 연동 방법', 0.575)","('B tv NUGU 이용 방법', 0.545)","('NUGU 서비스 오디오북 이용 방법', 0.524)"
학교 생활 힘들고 미치겠어....,"('A.', 0.748)","('0 청년 다이렉트 요금제', 0.726)","('퀵보이스', 0.711)",2,가입정보조회(0.4287723),"65세이상기초연금수급자복지할인제도신청방법(0.419880865)
",,"('공부 관련', 0.432)",,
부재중통하 확인 방법이요??,"('T_부재중안내', 0.985)","('유선 A/S 방문 일정', 0.759)","('A.', 0.753)",2,T_부재중안내(0.463600575),통화중대기서비스신청방법(0.45000035),통화중대기서비스(0.44940865),"('T_부재중안내', 0.556)","('통화중대기 서비스', 0.444)","('가족결합 확인 방법', 0.408)"
요금 내역 좀 주세요,"('로밍 요금 확인 시점', 0.815)","('요금 수납 내역 확인 방법', 0.802)","('실시간 요금 상세 내역', 0.754)",2,부가사용금액(0.4679821),편의점요금납부(0.46442792),요금수납내역확인방법(0.4538345),"('실시간 요금 상세 내역', 0.733)","('요금 수납 내역 확인 방법', 0.673)","('요금제문의', 0.492)"
시리가 좋아 구글 어시스턴트 가 좋아?,"('보이스뷰', 0.59)","('T로밍 카드 고객 센터', 0.548)","('음성 관련', 0.536)",2,구글Play스토어고객센터(0.4710978),"콘텐츠이용료구매내역확인방법(0.40873735)
",,,,
미납요얼마이에요,"('SKT 미납센터 연락처', 0.942)","('미납 이용정지', 0.893)","('과납', 0.89)",2,SKT미납센터연락처(0.4635828),"미납이용정지(0.439847)
",,"('SKT 미납센터 연락처', 0.58)","('과납', 0.567)","('미납 이용정지', 0.554)"
지금 번호로 1기가 선물,"('T끼리 데이터 선물하기 연령', 0.799)","('T끼리 데이터 선물하기 비용', 0.779)","('T끼리 데이터 선물하기 대상', 0.779)",2,T끼리데이터선물하기연령(0.489946635),가족간데이터자동선물하기(0.48543585),T끼리데이터선물하기대상(0.483931185),"('T끼리 데이터 선물하기 알림', 0.405)",,
가능한  계좌번호 주세요.,"('NUGU 서비스 하나은행 금융 기능', 0.633)","('Sk pay 결제 방법', 0.545)","('Sk pay 가맹점 확인 방법', 0.542)",2,SK텔레콤고객센터운영시간(0.44123055),전화상담사연결(0.42527985),타통신사고객센터(0.4232317),,,
9월달 요금,"('T Tab 9', 0.661)","('T 아이폰파손9', 0.655)","('New T 아이폰파손9', 0.628)",2,부가사용금액(0.42571295),편의점요금납부(0.406820925),"과납(0.40614015)
","('실시간 요금 상세 내역', 0.472)","('T Tab 9', 0.463)","('요금제문의', 0.456)"
미납요금납부가능일 등록,"('미납 이용정지', 0.802)","('SKT 미납센터 연락처', 0.792)","('단말기 할부금 중도 납부 방법', 0.792)",2,SKT미납센터연락처(0.47933012),미납이용정지(0.45322525),SKT해지미납센터연락처(0.44585392),"('요금 납부일 변경 방법', 0.609)","('요금 납부일 확인 방법', 0.603)","('SKT 미납센터 연락처', 0.458)"
휴대폰 미납요금 가능일 등록,"('SKT 미납센터 연락처', 0.943)","('미납 이용정지', 0.922)","('과납', 0.854)",2,SKT미납센터연락처(0.48078675),미납이용정지(0.462973625),SKT해지미납센터연락처(0.43074438),"('SKT 미납센터 연락처', 0.617)","('미납 이용정지', 0.561)","('요금 납부일 확인 방법', 0.517)"
번호도용서비스,"('번호도용문자차단 신청 방법', 0.983)","('번호도용문자차단 해지 방법', 0.979)","('번호도용문자차단', 0.979)",2,번호이동제도(0.45881957),번호도용문자차단신청방법(0.452271),번호도용문자차단(0.44944745),"('번호도용문자차단', 0.669)","('명의도용', 0.606)","('발신번호 관련', 0.525)"
11웡 청구서,"('요금안내서 Bill Letter', 0.941)","('요금안내서 변경 방법', 0.933)","('각종업무구비서류', 0.931)",2,퀵보이스신청방법(0.49209465),스팸ARS차단플러스신청방법(0.4916633),스팸ARS차단플러스(0.48919075),"('퀵보이스', 0.564)","('퀵보이스 해지 방법', 0.435)","('퀵보이스 신청 방법', 0.434)"
내 부가세,"('세금계산서 신청 방법', 0.737)","('세금계산서 재발행 방법', 0.694)","('현금영수증 발급 방법', 0.684)",2,요금부분납부방법(0.4698556),세금계산서신청방법(0.46843505),요금수납내역확인방법(0.46823922),"('세금계산서 신청 방법', 0.579)","('세금계산서 재발행 방법', 0.463)","('부가 사용 금액', 0.445)"
콘텐츠 한도 변경을 잘못했어요,"('애플 콘텐츠 이용료 결제 이용 한도', 0.943)","('법인 휴대폰 결제 이용 한도', 0.864)","('데이터통화료 상한제도', 0.638)",2,콘텐츠이용료가능대상(0.4804894),콘텐츠이용료구매내역확인방법(0.46775815),"콘텐츠이용료결제취소방법(0.441903325)
","('애플 콘텐츠 이용료 결제 이용 한도', 0.477)",,
신분증 분실 한줄 알고 엠세이퍼에 가입제한 했었는데 해제가 잘 되었나요,"('B tv TV CHOSUN 월정액', 0.68)","('데이터SOS', 0.64)","('5GX스탠다드+다이렉트플랜', 0.638)",2,이동전화가입제한(0.4463121),가입상담예약방법(0.44385952),이용계약증명서발급방법(0.4188643),"('Msafer 서비스', 0.561)",,
baro 이용할수 없어요,"('유선 인터넷 접속 불가 조치 방법', 0.942)","('개별통화수신거부 해지 방법', 0.923)","('개별통화수신거부', 0.909)",2,T전화baro(0.48166605),T전화baro이용방법(0.478788315),"baroYT요금제(0.448921325)
","('T전화 baro 이용 방법', 0.636)","('T전화 baro', 0.561)","('T전화 오류문의', 0.494)"
전화가 안걸려요,"('전화 관련', 0.924)","('T쿠폰 고객센터', 0.858)","('전화 상담사 연결', 0.849)",2,"휴대폰전화수발신불가조치방법(0.8669474)
",,,"('휴대폰 전화 수발신 불가 조치 방법', 0.76)","('고장 실패 관련', 0.736)","('통화품질 관련', 0.73)"
연락처 선택하기,"('다른 번호 문의', 0.809)","('전화 상담사 연결', 0.799)","('발신번호표시', 0.786)",2,휴대폰결제대행사연락처(0.475113),ONEstore고객센터(0.43791525),SK텔레콤고객센터운영시간(0.43683997),"('제조사 AS 센터 연락처', 0.527)","('전화 상담사 연결', 0.519)","('휴대폰 결제 대행사 연락처', 0.478)"
25%할인 재가입 신청,"('선택약정 할인제도 재가입 조건', 0.969)","('B tv 최근시청 VOD', 0.626)","('T멤버십 재발급 취소', 0.617)",2,선택약정할인제도가입조건(0.44537258),선택약정할인제도가입불가요금제(0.43882135),선택약정할인중복가입가능상품(0.43684795),"('선택약정 할인제도 재가입 조건', 0.707)","('T멤버십 재발급 취소', 0.437)",
콜센터 전화연결,"('T로밍 고객센터', 0.902)","('T쿠폰 고객센터', 0.898)","('T로밍 카드 고객 센터', 0.875)",2,ONEstore고객센터(0.458886115),SK텔레콤고객센터운영시간(0.44670585),T멤버십구매상품(구.초콜릿)상담센터(0.4448965),"('전화 상담사 연결', 0.793)","('SK텔레콤 고객센터 운영 시간', 0.68)","('제조사 AS 센터 연락처', 0.515)"
선택약정 위약금,"('데이터결합약정할인 반환금', 0.912)","('선택약정 할인제도 할인 반환금 부과 대상', 0.893)","('선택약정 할인 반환금 면제 대상', 0.876)",2,선택약정할인제도만료문자발송시기(0.48796627),선택약정할인제도가입조건(0.48010832),선택약정할인제도할인반환금부과대상(0.47623145),"('선택약정 할인제도 할인 반환금 부과 대상', 0.818)","('데이터결합약정할인 반환금', 0.576)","('선택약정 할인 반환금 면제 대상', 0.485)"
인터넷을 해지했는데 요금이 계속 청구가됩니다,"('Wavve 앤 데이터 해지 방법', 0.989)","('NUGU 서비스 정기 이용권 해지 방법', 0.988)","('Wavve 유료 이용권 해지 방법', 0.988)",2,유선해지방법(0.47689525),이동전화해지방법(0.45725005),"자동납부해지방법(0.42922953)
","('유선 해지 방법', 0.454)","('유선 인터넷 요금제', 0.433)","('T플러스B인터넷 해지 방법', 0.422)"
한글로 보내줘,"('해외 SMS 서비스', 0.845)","('각종업무구비서류', 0.841)","('요금안내서 변경 방법', 0.823)",2,"스팸문자(0.84056705)
",,,"('레터링 설정 방법', 0.511)","('Tworld 문자 보내기 이용 방법', 0.488)","('Foreign Language Service', 0.478)"
할인 어떻게 해,"('T쿠폰', 0.83)","('요금약정 할인제도', 0.813)","('퀵보이스 신청 방법', 0.794)",2,"SK텔레콤할인혜택(0.93978775)
",,,"('SK텔레콤 할인 혜택', 0.832)","('진행 중 이벤트', 0.531)","('구매 관련', 0.468)"
요금 조회로 할게,"('실시간 요금 상세 내역', 0.809)","('로밍 요금 확인 시점', 0.784)","('조회 관련', 0.757)",2,요금수납내역확인방법(0.44415555),요금부분납부방법(0.44144525),수납이력서재발행방법(0.43946525),"('실시간 요금 상세 내역', 0.685)","('조회 관련', 0.582)","('자녀 요금 조회 방법', 0.486)"
상담사랑 연락 하고싶어요,"('전화 상담사 연결', 0.932)","('T로밍 카드 고객 센터', 0.842)","('T로밍 고객센터', 0.838)",2,전화상담사연결(0.48465717),SK텔레콤고객센터운영시간(0.482155385),휴대폰결제대행사연락처(0.4721407),"('전화 상담사 연결', 0.626)","('채팅플러스', 0.418)",
상담해요,"('전화 상담사 연결', 0.966)","('A.', 0.95)","('SK텔레콤 고객센터 운영 시간', 0.819)",2,전화상담사연결(0.46907297),SK텔레콤고객센터운영시간(0.4554663),타통신사고객센터(0.445507),"('채티 서비스', 0.669)","('전화 상담사 연결', 0.56)","('데이터 문의 관련', 0.554)"
15일 까지 입금가능,"('요금 납부일 변경 방법', 0.738)","('로밍 일시 허용', 0.737)","('통신과금 선결제', 0.711)",2,"요금납부일확인방법(0.88329667)
",,,"('단말기 할부금 중도 납부 방법', 0.543)","('요금 납부일 변경 방법', 0.537)","('요금 납부일 확인 방법', 0.479)"
미납 요금 ..납부가능일 문의,"('과납', 0.863)","('SKT 미납센터 연락처', 0.859)","('미납 이용정지', 0.845)",2,SKT미납센터연락처(0.48124885),미납이용정지(0.4532262),미납직권해지(0.437801),"('요금 납부일 확인 방법', 0.734)","('요금 납부일 변경 방법', 0.584)","('SKT 미납센터 연락처', 0.526)"
미납액 내용을  알고 싶습니다..,"('SKT 미납센터 연락처', 0.924)","('과납', 0.895)","('미납 이용정지', 0.89)",2,SKT미납센터연락처(0.4896585),미납직권해지(0.4590995),SKT해지미납센터연락처(0.45292805),"('SKT 미납센터 연락처', 0.654)","('미납 이용정지', 0.593)","('요금 수납 내역 확인 방법', 0.579)"
부가사용액에 대한 내역은?,"('부가 사용 금액', 0.857)","('현금영수증 발급 방법', 0.558)","('요금 부분 납부 방법', 0.55)",2,부가사용금액(0.4937519),편의점요금납부(0.45502478),요금수납내역확인방법(0.441566675),"('부가 사용 금액', 0.851)","('부가서비스 가입내역 확인 방법', 0.553)","('요금 수납 내역 확인 방법', 0.503)"
콜키퍼 끄는 방법,"('콜키퍼 해지 방법', 0.989)","('콜키퍼 신청 방법', 0.983)","('콜키퍼', 0.974)",2,콜키퍼(0.4974336),콜키퍼신청방법(0.4889944),원키퍼신청방법(0.445067735),"('콜키퍼 해지 방법', 0.827)","('콜키퍼', 0.701)","('콜키퍼 신청 방법', 0.55)"
11일납부가능,"('요금 납부일 변경 방법', 0.74)","('휴대폰 개통일 확인 방법', 0.729)","('유선 요금 납부일 변경 방법', 0.694)",2,"요금납부일확인방법(0.8857587)
",,,"('요금 납부일 변경 방법', 0.637)","('요금 납부일 확인 방법', 0.599)",
레필쿠폰,"('요금안내서 Bill Letter', 0.71)","('요금안내서 Bill Letter 앱 설치 방법', 0.692)","('레터링', 0.671)",2,데이터리필하기쿠폰제공(0.48315965),데이터리필하기사용방법(0.47615123),데이터리필하기데이터음성사용기간(0.47591195),"('T쿠폰', 0.635)","('데이터 리필하기 쿠폰 제공', 0.457)","('선불폰', 0.423)"
핸드폰변경시 약정할인,"('T나는 폰교체 신청 방법', 0.908)","('휴대폰 기기변경 방법', 0.904)","('착신전환', 0.902)",2,"휴대폰기기변경방법(0.82003266)
",,,"('요금약정 할인제도', 0.583)","('데이터결합약정할인', 0.536)","('선택약정 할인제도 약정 기간 변경', 0.522)"
매장할인 머가있나요,"('통신과금 선결제', 0.784)","('통신과금 선결제 이용 방법', 0.776)","('구매 관련', 0.768)",2,영업장위치확인(0.48415908),개통대리점조회방법(0.4608951),"행복AS(0.42001733)
","('SK텔레콤 할인 혜택', 0.58)","('T멤버십 가맹점 및 사용 방법', 0.469)","('ZEM플러스웅진스마트올 혜택', 0.457)"
전화번호화면에서 번호추가 버튼이 안보여요,"('번호도용문자차단 신청 방법', 0.971)","('번호도용문자차단 해지 방법', 0.97)","('번호도용문자차단', 0.968)",2,"태블릿번호확인방법(0.832779)
",,,"('넘버플러스2 이용 방법', 0.494)","('넘버플러스2', 0.464)","('추가 관련', 0.448)"
자녀폰 개통,"('자녀요금통보서비스', 0.986)","('자녀 요금 조회 방법', 0.984)","('자녀 데이터 사용량 조회 방법', 0.976)",2,휴대폰개통일확인방법(0.4096705),이동전화가입제한(0.40506628),"가입상담예약방법(0.4029787)
","('개통 관련', 0.8)","('신규가입 구비서류', 0.548)","('휴대폰 개통일 확인 방법', 0.458)"
데이터 유심 사용이 불가하고 상담원에게 문의하라힘 사유6,"('USIM 카드 교품 방법', 0.944)","('USIM기변 방법', 0.943)","('USIM 카드 구매 방법', 0.934)",2,USIM기기변경방법(0.474484475),USIM카드교품방법(0.4733605),USIM카드구매방법(0.471753565),"('휴대폰 데이터 접속 불가 조치 방법', 0.503)",,
30일에 납부가능할까요?,"('요금 납부일 변경 방법', 0.769)","('요금 납부일 확인 방법', 0.744)","('로밍 일시 허용', 0.731)",2,부가사용금액(0.46815908),편의점요금납부(0.4497497),과납(0.4483906),"('요금 납부일 확인 방법', 0.707)","('요금 납부일 변경 방법', 0.694)","('단말기 할부금 중도 납부 방법', 0.509)"
114가뭐야,"('전화 상담사 연결', 0.813)","('T쿠폰 고객센터', 0.81)","('전화 관련', 0.804)",2,"전화상담사연결(0.84666437)
",,,"('T전화 T114 이용 방법', 0.577)","('번호변경안내 서비스', 0.447)","('전화 상담사 연결', 0.415)"
헥토이노베이션이 가입되었어요,"('다이렉트5G 69', 0.715)","('지켜줘서 고마워 현역플랜', 0.714)","('0 청년 다이렉트 요금제', 0.699)",2,퀵보이스이용방법(0.4891459),스팸ARS차단플러스(0.48900905),스팸ARS차단플러스신청방법(0.4880604),,,
11월 20일 납부 가능,"('과납', 0.598)","('요금 부분 납부 방법', 0.563)","('통신과금 선결제', 0.56)",2,요금수납내역확인방법(0.4624966),과납(0.4603847),요금부분납부방법(0.45732745),"('요금 납부일 확인 방법', 0.559)","('단말기 할부금 중도 납부 방법', 0.53)","('요금 납부일 변경 방법', 0.503)"
부가서비스 등 결제가능 잔여금액이 궁금합니다,"('일자별 잔여통화안내', 0.959)","('일자별 잔여통화안내 날짜 변경 방법', 0.958)","('일자별 잔여통화안내 신청 방법', 0.943)",2,"단말기할부금중도납부방법(0.8755474)
",,,"('단말기 잔여 할부 조회 방법', 0.665)","('부가서비스 가입내역 확인 방법', 0.585)","('부가 사용 금액', 0.503)"
요금 너무비싸다..,"('가입비', 0.852)","('결제 관련', 0.79)","('단말기 자급제도', 0.781)",2,"부가사용금액(0.806578)
",,,"('요금제문의', 0.664)","('가입비', 0.477)","('SK텔레콤 할인 혜택', 0.444)"
와파이 사용 요금알고십어요,"('T wifi zone', 0.953)","('T wifi zone 찾기', 0.953)","('T wifi zone 이용 방법', 0.95)",2,Twifizone이용방법(0.40319073),"Twifizone(0.4022154)
",,"('baro Box 임대료', 0.608)","('T wifi 렌탈 이용 요금', 0.491)","('Wavve', 0.418)"
선물 안할래,"('T끼리 데이터 선물하기 대상', 0.96)","('T끼리 데이터 선물하기 알림', 0.955)","('T끼리 데이터 선물하기 비용', 0.949)",2,가족간데이터자동선물발송시점(0.4834809),T끼리데이터선물하기취소(0.48065603),T끼리데이터선물하기비용(0.4758378),"('T끼리 데이터 선물하기 취소', 0.44)","('T끼리 데이터 선물 조르기 방법', 0.417)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.4)"
미납이랑 이버달 요금요,"('과납', 0.905)","('SKT 미납센터 연락처', 0.87)","('요금 부분 납부 방법', 0.853)",2,SKT미납센터연락처(0.4424719),"미납이용정지(0.4272474)
",,"('과납', 0.568)","('SKT 미납센터 연락처', 0.528)","('가산금', 0.501)"
쿠폰 사용 이력,"('개통이력 단말기 피해보상 신청 방법', 0.883)","('T로밍 카드 내역 확인', 0.882)","('콘텐츠 이용료 구매내역 확인 방법', 0.878)",2,T데이터쿠폰사용기간(0.49379185),T데이터쿠폰등록방법(0.48979895),T데이터쿠폰등록기간(0.489664375),"('데이터 리필하기 쿠폰 사용내역 확인 방법', 0.597)","('T멤버십 사용 내역 확인 방법', 0.527)","('T로밍 카드 내역 확인', 0.448)"
납부 가능일 2023.11.25일로 가능할까요?,"('휴대폰 개통일 확인 방법', 0.674)","('요금 납부일 변경 방법', 0.668)","('개통 관련', 0.659)",2,"요금납부일확인방법(0.95795405)
",,,"('요금 납부일 확인 방법', 0.584)","('요금 납부일 변경 방법', 0.496)",
되는데  취소부탁드립니다,"('휴대폰결제이용차단신청방법', 0.939)","('통신과금 선결제 취소 방법', 0.93)","('데이터 로밍 차단 시 통화 문자 이용', 0.929)",2,이동전화해지방법(0.46769955),"자동납부해지방법(0.44252482)
",,"('철회', 0.656)","('이동전화 해지 방법', 0.558)","('정지 해제 관련', 0.511)"
상당사 연결해즌세요,"('영업장 위치 확인', 0.852)","('A.', 0.851)","('개통 대리점 조회 방법', 0.82)",2,전화상담사연결(0.4557394),SK텔레콤고객센터운영시간(0.44194345),타통신사고객센터(0.43805795),"('SK텔레콤 고객센터 운영 시간', 0.415)","('연결 관련', 0.414)","('영업장 위치 확인', 0.408)"
연락처로 몰아보기가 뭐야??,"('T전화 발신자 정보 읽어주기 설정', 0.839)","('SMS MMS 발신자번호 확인', 0.836)","('발신번호메모플러스', 0.818)",2,휴대폰결제대행사연락처(0.48059665),SK텔레콤고객센터운영시간(0.454456865),ONEstore고객센터(0.449552325),"('T가족모아 데이터', 0.422)",,
인터넷 미납요금 냈는데. 인터넷이 안되요,"('미납 이용정지', 0.914)","('SKT 미납센터 연락처', 0.866)","('단말기 할부금 중도 납부 방법', 0.731)",2,SKT미납센터연락처(0.433685335),미납직권해지(0.41553673),"SKT해지미납센터연락처(0.4026421)
","('과납', 0.531)","('SKT 미납센터 연락처', 0.504)","('미납 이용정지', 0.465)"
자릴지키는 라이언,"('영업장 위치 확인', 0.594)","('위치 관련', 0.569)","('T전화 내 위치 설정 방법', 0.56)",2,T라이트할부카드(0.422678175),"ZEM플랜라이트(0.420511575)
",,"('AR 동물원', 0.403)",,
계좌번호 302 0028 306 961,"('NUGU 서비스 하나은행 금융 기능', 0.555)","('T포켓파이 번호 확인 방법', 0.535)","('T포켓파이', 0.528)",2,타통신사고객센터(0.4460049),SK텔레콤고객센터운영시간(0.4443974),휴대폰결제대행사연락처(0.444152625),"('060비밀번호통화 서비스', 0.414)",,
할인 혜택이 궁금합니다,"('예약 관련', 0.822)","('가입비', 0.816)","('퀵보이스 이용 방법', 0.798)",2,"SK텔레콤할인혜택(0.93621564)
",,,"('SK텔레콤 할인 혜택', 0.887)","('ZEM플러스웅진스마트올 혜택', 0.567)","('진행 중 이벤트', 0.561)"
미납납부가능일 11월10일  가능해요,"('SKT 미납센터 연락처', 0.872)","('미납 이용정지', 0.847)","('과납', 0.837)",2,SKT미납센터연락처(0.4814867),미납이용정지(0.453269275),미납직권해지(0.4361909),"('요금 납부일 확인 방법', 0.558)","('SKT 미납센터 연락처', 0.497)","('가산금', 0.489)"
