query,n_rank1,n_rank2,n_rank3
기변종류,"('휴대폰 기기변경 방법', 0.68)","('휴대폰 관련', 0.548)","('중고 기기변경 방법', 0.529)"
로밍 전화,"('로밍 중 전화 발신 방법', 0.712)","('로밍 통화 요금', 0.707)","('T전화 baro', 0.626)"
내가쓴 데이터 잔여량알려줘,"('일자별 잔여통화안내', 0.688)","('자녀 데이터 사용량 조회 방법', 0.595)","('최근 사용량 확인 방법', 0.587)"
미납요금 말일날 내면 안될까요,"('요금 납부일 확인 방법', 0.582)","('요금 납부일 변경 방법', 0.547)","('SKT 미납센터 연락처', 0.543)"
현재는 보급폰을 쓰고있는데 5g핸드폰쓰게되면,"('5G 기기 변경 방법', 0.64)","('SKT 5GX', 0.528)","('5GX 요금제', 0.5)"
통화 중에 메모 하려면 어떻게 해야 됩니까?,"('T전화 통화 녹음 기능', 0.556)","('T전화 최근기록 보기 설정', 0.47)","('제조사 AS 센터 연락처', 0.418)"
로밍데이터무조건차단 서비스 가입,"('데이터 로밍 무조건 허용', 0.641)","('데이터 로밍 차단 시 통화 문자 이용', 0.546)","('데이터 로밍 차단 시 Wi-Fi 이용', 0.503)"
바로6g이용 원합니다,"('baro 6GB', 0.437)","('T전화 baro 이용 방법', 0.417)",
상담사 원합니다,"('전화 상담사 연결', 0.776)","('SK텔레콤 고객센터 운영 시간', 0.51)","('가입상담 예약 방법', 0.452)"
25일에 납부가능할까여??,"('요금 납부일 확인 방법', 0.617)","('요금 납부일 변경 방법', 0.6)","('단말기 할부금 중도 납부 방법', 0.539)"
T전화 요금을 다썼는데 언제 전화 가능해요?,"('T전화', 0.418)",,
저나 가 수신이안터지는건어떻게해야하나요,,,
11월30일 납부가능합니다,"('요금 납부일 확인 방법', 0.644)","('요금 납부일 변경 방법', 0.572)","('단말기 할부금 중도 납부 방법', 0.533)"
10윌12일 납부하겠습니다,"('요금 납부일 확인 방법', 0.596)","('요금 납부일 변경 방법', 0.558)","('단말기 할부금 중도 납부 방법', 0.46)"
휴대폰결제 대행사 연락처 알려줘,"('휴대폰 결제 대행사 연락처', 0.935)","('Sk pay 가맹점 확인 방법', 0.413)","('휴대폰 결제 멤버십', 0.411)"
sd카드를 장착 했는데 특별히 작동을 해야 되나요,,,
baro 요금제,"('T전화 baro', 0.77)","('T전화 baro 이용 방법', 0.621)","('baro 충전 요금제', 0.552)"
휴대폰결제 한도올리기,"('법인 휴대폰 결제 이용 한도', 0.566)","('애플 콘텐츠 이용료 결제 이용 한도', 0.533)",
해외전화서비스,"('T전화 baro', 0.607)","('해외 SMS 서비스', 0.575)","('로밍 통화 요금', 0.541)"
집 티비 약정,"('인터넷 TV 가입(타사)', 0.48)","('TB끼리 TV플러스 신청 방법', 0.457)","('요금약정 할인제도', 0.433)"
요금이 많이 나와서요,"('요금제문의', 0.67)","('데이터통화료 상한제도', 0.446)","('추가 관련', 0.446)"
114 발금,"('발신금지 서비스', 0.454)","('발신금지 서비스 신청 방법', 0.408)",
약정확인 재가입,"('선택약정 할인제도 재가입 조건', 0.57)",,
1개월분만 납부 가능한가요?,"('요금 부분 납부 방법', 0.636)","('단말기 할부금 중도 납부 방법', 0.553)","('통신과금 선결제 이용 방법', 0.488)"
거래제한카드,"('동일 신용카드 월 5회 수납 제한', 0.5)","('발신금지 서비스', 0.449)","('장기 미사용 휴대폰 결제 차단', 0.43)"
17일까지 납부가능한데요,"('단말기 할부금 중도 납부 방법', 0.619)","('요금 납부일 확인 방법', 0.609)","('요금 납부일 변경 방법', 0.563)"
연락처 화면이 안떠요,"('제조사 AS 센터 연락처', 0.627)","('고장 실패 관련', 0.467)","('SK텔레콤 고객센터 운영 시간', 0.458)"
콜기퍼 신청,"('콜미프리 서비스 신청 방법', 0.443)","('콜키퍼 신청 방법', 0.408)",
적당히 문자 보내라,"('문자메시지 서비스', 0.588)","('메시지 관련', 0.587)","('일 500건 SMS 발송량 제한', 0.483)"
다른카드로요금옮기려고요,,,
해지금액이 뭐예요,"('예상 해지 금액', 0.802)","('이동전화 해지 방법', 0.625)","('해지 미환급금 조회 방법', 0.461)"
안뇽 1시 30분까지 오면 돼,"('퀵보이스 이용 방법', 0.473)","('퀵보이스 신청 방법', 0.443)","('SK텔레콤 고객센터 운영 시간', 0.403)"
내 약정,"('요금약정 할인제도', 0.629)",,
안녕 하세요~~  1509 번호가 SK인가요...?,"('타 통신사 고객센터', 0.41)",,
티비 영화가  두번결제되어  문의합니다,"('T멤버십 VIP Pick 영화 예매 방법', 0.516)",,
10월달 납부 해야 할 금액,"('요금 납부일 확인 방법', 0.54)","('단말기 할부금 중도 납부 방법', 0.476)","('요금 납부일 변경 방법', 0.451)"
010 4008 9137  미납요금 알고싶어요,"('SKT 미납센터 연락처', 0.445)",,
상당원  직집 통화,,,
baro3gb 가입해줘,"('baro 3GB', 0.551)","('baro Box 임대 예약 방법', 0.485)","('모비데이터팩 신청 방법', 0.479)"
현재 가입중인 약정을 24개월로  재약정 바람니다,"('선택약정 할인제도 재가입 조건', 0.591)","('선택약정 할인제도 약정 기간 변경', 0.532)","('요금약정 할인제도', 0.473)"
청구서에 미납 요구까지 합산이 되서 나왔어요 수정해서 보내주세요,"('수납이력서 재발행 방법', 0.435)","('요금안내서 재발행 방법', 0.417)","('요금안내서 변경 방법', 0.414)"
납부가능한날짜 11월10일,"('요금 납부일 확인 방법', 0.595)","('요금 납부일 변경 방법', 0.55)","('단말기 할부금 중도 납부 방법', 0.419)"
요금이 별로 없어,"('요금제문의', 0.701)","('SK텔레콤 할인 혜택', 0.529)","('통화품질 관련', 0.436)"
기업은행계좌,"('주식 관련', 0.405)",,
선택약정갱신,"('선택약정 할인제도 약정 기간 변경', 0.605)","('선택약정 할인제도 재가입 조건', 0.602)","('선택약정 할인제도 가입 조건', 0.5)"
미납요금 미룰수있나요,"('SKT 미납센터 연락처', 0.591)","('미납 이용정지', 0.57)","('가산금', 0.504)"
자녀요금납부 게좌번호,"('자녀 요금 조회 방법', 0.646)","('자동납부번호 확인 방법', 0.596)","('다른 번호 문의', 0.56)"
미납이 10눨꺼에요..아님 9월달 꺼에요??,"('SKT 미납센터 연락처', 0.631)","('과납', 0.607)","('미납 이용정지', 0.607)"
이용해지 하고싶어요,"('이동전화 해지 방법', 0.449)","('임대 신청 방법', 0.407)",
유튜브프리미엄 제거해 주세요,"('유튜브 프리미엄 자동 결제 해지 방법', 0.786)","('SK텔레콤 유튜브', 0.448)","('Wavve 콘텐츠 팩 프리미엄 해지 방법', 0.409)"
티월드에서 하는방법,"('Tworld', 0.534)","('퀵보이스 이용 방법', 0.498)","('Tworld 위젯 설치 방법', 0.427)"
할인적용요망,"('SK텔레콤 할인 혜택', 0.753)","('진행 중 이벤트', 0.477)","('T멤버십 혜택', 0.471)"
문자내역 과거기로 받을수잇나요,"('T전화 최근기록 보기 설정', 0.635)","('메시지 관련', 0.507)","('휴대폰 MMS 수신 후 저장 실패 조치 방법', 0.484)"
유선서비스 미납요금 납부,"('유선 요금 납부 내역 확인 방법', 0.64)","('유선 요금안내서', 0.462)","('유선 요금 납부일 변경 방법', 0.446)"
가족간 나눔데이타가 해지되섰다하나요,"('가족나눔데이터', 0.68)","('가족나눔데이터 나눠쓰기', 0.599)","('가족 결합 상품 해지 방법', 0.511)"
9월분만 먼저 납부가능할까요?,"('통신과금 선결제 이용 방법', 0.631)","('요금 납부일 변경 방법', 0.544)","('단말기 할부금 중도 납부 방법', 0.529)"
데이터 잔량,"('데이터 문의 관련', 0.61)","('데이터 추가 사용 방법', 0.599)","('자녀 데이터 사용량 조회 방법', 0.563)"
로밍 부서,"('T로밍 고객센터', 0.773)","('가족 로밍', 0.455)","('T로밍 Biz 요금제 회선_사용자 관리 방법', 0.45)"
28일 납부 가능?,"('요금 납부일 확인 방법', 0.621)","('요금 납부일 변경 방법', 0.586)","('단말기 할부금 중도 납부 방법', 0.564)"
휴대폰3,"('휴대폰 관련', 0.816)","('SK 세븐모바일', 0.586)","('아이폰 관련', 0.556)"
컨텐츠이용료한도,"('애플 콘텐츠 이용료 결제 이용 한도', 0.641)","('콘텐츠 이용료 가능 대상', 0.571)","('데이터통화료 상한제도', 0.525)"
내 요금청구번호 좀 알려줘,"('자동납부번호 확인 방법', 0.582)","('SKT 미납센터 연락처', 0.467)","('휴대폰 결제 대행사 연락처', 0.457)"
오늘 문자온거는 10만원 정도네요,"('문자메시지 서비스', 0.531)","('메시지 관련', 0.499)","('스팸 문자', 0.495)"
지금 로밍할수 있어요,"('로밍 일시 허용', 0.579)","('로밍 요금 확인 시점', 0.455)","('5G 로밍 가능 국가', 0.426)"
"아, 한번 보고 싶어서 문자드렸어요. 그럼 잘자고 내일 만나요!","('메시지 관련', 0.49)","('MMS', 0.423)",
약정할인하려고요,"('요금약정 할인제도', 0.672)","('SK텔레콤 할인 혜택', 0.512)","('데이터결합약정할인 신청 방법', 0.496)"
고객샌터 문자하자,,,
미납관련문의입니다,"('SKT 미납센터 연락처', 0.739)","('미납 이용정지', 0.677)","('과납', 0.662)"
11월 말일전까지 납부하겠습니다,"('단말기 할부금 중도 납부 방법', 0.592)","('요금 납부일 확인 방법', 0.579)","('요금 납부일 변경 방법', 0.523)"
11월31일로 미납요금 납부가능일 등록,"('요금 납부일 확인 방법', 0.566)","('요금 납부일 변경 방법', 0.542)","('SKT 미납센터 연락처', 0.478)"
납부가능일 8일로,"('요금 납부일 변경 방법', 0.707)","('요금 납부일 확인 방법', 0.705)",
이용료 취소할려고 합니다,"('휴대폰 결제 취소 방법', 0.545)","('콘텐츠 이용료 결제 취소 방법', 0.482)","('이동전화 해지 방법', 0.451)"
니 필 쿠폰 사용,,,
선결제한거 보여줘,"('통신과금 선결제', 0.654)","('통신과금 선결제 이용 방법', 0.619)","('요금 수납 내역 확인 방법', 0.44)"
전화왔을시 로밍 안내,"('로밍 중 발신번호 표시', 0.59)","('T로밍 고객센터', 0.56)","('로밍 중 전화 발신 방법', 0.519)"
12일에 납부가가능해요,"('요금 납부일 변경 방법', 0.631)","('요금 납부일 확인 방법', 0.624)","('단말기 할부금 중도 납부 방법', 0.503)"
요금제변견,"('요금제 변경', 0.85)","('요금제문의', 0.64)","('미성년자 요금제 변경 방법', 0.524)"
분실서비스 해지,"('분실 정지 해제 방법', 0.687)","('이동전화 해지 방법', 0.516)","('분실 정지 방법', 0.476)"
절약요금제신청,,,
2월달 요금내역서,"('수납이력서 재발행 방법', 0.515)","('요금안내서 변경 방법', 0.496)","('요금안내서 재발행 방법', 0.48)"
일본으로 국제전화를 걸고싶은데 무료로 이용할수 있나요,"('국제전화 청구 주기', 0.476)","('로밍 중 국제전화카드 사용', 0.469)","('로밍 통화 요금', 0.457)"
9월달요금만 내도 되나요?,"('요금 납부일 변경 방법', 0.508)","('요금제문의', 0.486)","('단말기 할부금 중도 납부 방법', 0.458)"
완납 하려고 합니다.,"('단말기 할부금 중도 납부 방법', 0.688)","('수납이력서 재발행 방법', 0.511)","('요금 수납 내역 확인 방법', 0.488)"
01088212158번의 미납금액과 입금전용계좌를 알려줘,"('SKT 미납센터 연락처', 0.528)","('자동납부번호 확인 방법', 0.495)",
달요금,"('요금제문의', 0.536)","('데이터통화료 상한제도', 0.436)","('데이터 문의 관련', 0.433)"
핸드폰 보험 확인하고싶어요,"('단말 보험 가입 방법', 0.703)","('분실파손보험', 0.675)","('부가서비스 가입내역 확인 방법', 0.67)"
유심이 인식이돼지 않아요,"('USIM기변 방법', 0.537)","('USIM 카드 교품 방법', 0.529)","('USIM 카드 구매 방법', 0.452)"
착신전화 표시,"('착신전환', 0.601)","('발신번호표시', 0.6)","('통화중대기 서비스', 0.465)"
미납납부날짜등록,"('요금 납부일 확인 방법', 0.667)","('SKT 미납센터 연락처', 0.551)","('가산금', 0.505)"
데이로밍,"('데이터로밍 일시허용', 0.557)","('T멤버십 T day 프로모션', 0.496)","('데이터 로밍 요금', 0.468)"
11월 25일에 납부 가능. 합니다,"('단말기 할부금 중도 납부 방법', 0.539)","('요금 납부일 확인 방법', 0.511)","('요금 납부일 변경 방법', 0.458)"
로밍확인즘요...,"('T로밍 고객센터', 0.506)","('로밍 요금 확인 시점', 0.5)","('T로밍 데이터 잔여량 확인', 0.434)"
납부날짜 늦출수는 없나요,"('요금 납부일 변경 방법', 0.804)","('요금 납부일 확인 방법', 0.591)","('유선 요금 납부일 변경 방법', 0.51)"
로밍 시작하고 어제는 잘 사용했는데,"('로밍 요금 확인 시점', 0.467)","('로밍 일시 허용', 0.409)",
네트워크,"('인터넷 관련', 0.539)","('B tv 네트워크 오류 조치 방법', 0.44)","('연결 관련', 0.435)"
11월25일이 지나야  미납요금  납부가능합니다,"('요금 납부일 확인 방법', 0.553)","('과납', 0.533)","('SKT 미납센터 연락처', 0.517)"
전화로 할께요,"('전화 상담사 연결', 0.749)","('전화 관련', 0.55)","('SK텔레콤 고객센터 운영 시간', 0.405)"
분실찾기,"('분실폰 찾기', 0.924)","('분실폰 찾기 알람', 0.561)","('분실 정지 방법', 0.543)"
11월10일미납요금 납입하겠습니다,"('요금 납부일 확인 방법', 0.529)","('요금 납부일 변경 방법', 0.465)","('과납', 0.463)"
바로전화모드,"('T전화 baro', 0.644)","('T전화 baro 이용 방법', 0.643)","('T전화 모드 유지', 0.578)"
버틸 수 없게 세상이 시렸던 날,"('T전화 계절날씨 표현 기능 해제', 0.549)",,
15885330 번호 문자 수신이 안됩니다,"('휴대폰 MMS 수발신 실패 조치 방법', 0.504)","('휴대폰 문자 수발신 실패 조치 방법', 0.497)","('휴대폰 특정 번호 문자 수신 실패 조치 방법', 0.452)"
"월9,900원씩 자동결제가 되는데","('통신과금 자동 선결제', 0.517)","('통신과금 자동 선결제 신청 방법', 0.467)","('결제 관련', 0.436)"
선물할사람을잘못선택했어요,"('T끼리 데이터 선물하기 취소', 0.438)","('T끼리 데이터 선물하기 알림', 0.415)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.407)"
선택약정할인신청은 어디서 하나요?,"('요금약정 할인제도', 0.534)","('선택약정 할인제도 가입 조건', 0.479)","('선택약정 할인제도 해지 방법', 0.471)"
상담 시작해요,"('채티 서비스', 0.621)","('전화 상담사 연결', 0.596)","('공부 관련', 0.475)"
당일 청구라고 해지가안되요,"('요금 납부일 변경 방법', 0.539)","('요금 납부일 확인 방법', 0.525)","('요금안내서 재발행 방법', 0.418)"
계좌부탁합니다,,,
사라지지마,,,
인천공항 2터미널 로밍센타 위치?,"('T로밍 고객센터', 0.607)","('T로밍 카드 고객 센터', 0.432)","('T로밍 카드 구매처', 0.425)"
멤버심 혜택 그냥받을래,"('T멤버십 혜택', 0.427)",,
카드로 왜 납부가 안된건가요?,"('동일 신용카드 월 5회 수납 제한', 0.535)","('T로밍 카드 결제 수단', 0.476)","('OK캐쉬백 납부', 0.466)"
29일까지 납부가능한데요,"('단말기 할부금 중도 납부 방법', 0.616)","('요금 납부일 확인 방법', 0.611)","('요금 납부일 변경 방법', 0.557)"
정지일변경,"('정지 관련', 0.563)","('일시정지', 0.522)","('정지 해제 관련', 0.512)"
계좌번호 주세요 금액이랑,"('자동납부번호 확인 방법', 0.419)",,
25% 약정할인 신청,"('데이터결합약정할인 신청 방법', 0.462)","('요금약정 할인제도', 0.403)",
해지 요금말고 요,"('예상 해지 금액', 0.649)","('해지 미환급금 조회 방법', 0.592)","('SKT 해지 미납센터 연락처', 0.566)"
명세서 우편으로 받을 수 있을까요?,"('요금안내서 변경 방법', 0.702)","('요금안내서 발행유형 자동 변경 해제 방법', 0.699)","('요금안내서 재발행 방법', 0.621)"
요금제변경한지 얼마안되는데 5g요금제로변경하고싶어요,"('5GX 요금제', 0.565)","('요금제 변경', 0.521)","('5G 기기 변경 방법', 0.404)"
20일까지 요금 내면 안될까요?,"('요금 납부일 변경 방법', 0.672)","('요금 납부일 확인 방법', 0.573)","('단말기 할부금 중도 납부 방법', 0.473)"
미납금요금만있나요,"('가산금', 0.657)","('미납 이용정지', 0.651)","('SKT 미납센터 연락처', 0.626)"
약정기간이 얼마정도 남았나요,"('단말기 잔여 할부 조회 방법', 0.587)","('연장 관련', 0.443)",
선택약정할인연장하고싶어요,"('선택약정 할인제도 재가입 조건', 0.663)","('선택약정 할인제도 약정 기간 변경', 0.549)","('선택약정 할인제도 해지 방법', 0.537)"
해지할수있나요?,"('이동전화 해지 방법', 0.814)","('철회', 0.584)","('예상 해지 금액', 0.557)"
와이파이가 잘 안돼서요,"('SK 유무선 공유기 Wi-Fi 접속 불가 조치 방법', 0.685)","('T wifi zone 이용 방법', 0.579)","('휴대폰 T Wi-Fi Zone 이용 불가 조치 방법', 0.55)"
고객센터위치,"('SK텔레콤 고객센터 운영 시간', 0.671)","('위치 관련', 0.657)","('제조사 AS 센터 연락처', 0.603)"
유료 요금제 해지,"('요금제 변경', 0.492)","('FLO 유료 이용권 해지 방법', 0.45)","('Wavve 유료 이용권 해지 방법', 0.443)"
선택한,"('B tv 선택', 0.563)",,
듈얼넘버요,"('넘버플러스2', 0.489)","('마이투넘버', 0.471)","('골드번호', 0.465)"
t전화 알림 설정,,,
중복 연락처 삭제,,,
기타 사항 입니다,"('기타 요금', 0.722)","('채티 서비스', 0.517)","('음악 관련', 0.504)"
11월25일 납부 가능,"('요금 납부일 확인 방법', 0.521)","('단말기 할부금 중도 납부 방법', 0.509)","('요금 납부일 변경 방법', 0.479)"
유선서비스 미납요금,"('유선 요금 납부 내역 확인 방법', 0.544)","('유선 요금안내서', 0.474)","('SKT 미납센터 연락처', 0.445)"
납부가능일 26 일,"('요금 납부일 확인 방법', 0.579)","('요금 납부일 변경 방법', 0.502)","('단말기 할부금 중도 납부 방법', 0.45)"
자녀 핸드폰 선택약정신청,"('T청소년 안심팩 서비스 신청 방법', 0.477)","('T청소년 안심팩 서비스', 0.437)","('T청소년안심서비스', 0.405)"
요금은 얼마씩 추가되는가요,"('추가 관련', 0.577)","('요금제문의', 0.526)","('부가 사용 금액', 0.45)"
부가서비스가 뭔가요,"('부가서비스 가입내역 확인 방법', 0.591)","('부가통화', 0.56)","('통신서비스 요금', 0.538)"
국제전화발신해제,"('국제전화 발신 금지', 0.811)","('국제전화수신거부 서비스', 0.461)","('국제전화 청구 주기', 0.424)"
보이스 루틴 사용법,"('T전화 음성으로 전화하기', 0.513)","('HD Voice 서비스 이용 방법', 0.433)","('V 컬러링 이용 방법', 0.407)"
혹시 이동전화 가입에 대해 설명해 주실 수 있나요?,"('이동전화 가입 (타사)', 0.828)","('신규가입 구비서류', 0.574)","('가입상담 예약 방법', 0.529)"
요금이 두번 빠져 나간거 같아서요,"('과납', 0.743)",,
유심 개통,"('개통 관련', 0.603)","('USIM 카드 구매 방법', 0.599)","('eSIM 개통 방법', 0.518)"
함께쓰기번호  핸드폰,"('Data 함께쓰기', 0.645)","('데이터 리필하기 데이터 공유 가능 여부', 0.465)","('T Tab 함께쓰기 공유 요금제', 0.438)"
할부 검색,"('단말기 할부', 0.673)","('단말기 잔여 할부 조회 방법', 0.496)","('T라이트 할부 카드', 0.47)"
선택약정 계속하고싶어요,"('선택약정 할인제도 재가입 조건', 0.599)","('선택약정 할인제도 해지 방법', 0.575)","('선택약정 할인제도 가입 조건', 0.475)"
쿠폰 몇장 남았어?,"('T쿠폰 잔액 조회 방법', 0.606)","('T데이터 쿠폰 잔액 조회 방법', 0.475)","('단말기 잔여 할부 조회 방법', 0.412)"
내가 인터넷 없이 볼 수 있는 유투브!!,"('SK텔레콤 유튜브', 0.688)","('B tv 유튜브 시청 방법', 0.608)",
통화할때마다,"('전화 상담사 연결', 0.559)","('통화품질 관련', 0.538)","('통화중대기 서비스', 0.511)"
요금표 확인,"('실시간 요금 상세 내역', 0.554)",,
컨텐츠이용한도 거절사유,"('휴대폰결제이용차단신청방법', 0.46)","('휴대폰 결제 이용 제한 방법', 0.453)","('휴대폰결제 이용차단', 0.451)"
약정할인은 되고있는지?,"('요금약정 할인제도', 0.584)","('SK텔레콤 할인 혜택', 0.491)","('선택약정 할인제도 가입 조건', 0.476)"
24일에 입금할께요.,"('요금 납부일 변경 방법', 0.488)","('요금 납부일 확인 방법', 0.48)","('단말기 할부금 중도 납부 방법', 0.479)"
단체문자 몇명까지 보낼수 있나요?,"('문자메시지 서비스', 0.529)","('일 500건 SMS 발송량 제한', 0.527)","('Tworld 문자 보내기 이용 방법', 0.504)"
파손 해지,"('단말보험 해지 방법', 0.459)","('SKT 해지 미납센터 연락처', 0.431)","('이동전화 해지 방법', 0.43)"
상담원과 전화연결,"('전화 상담사 연결', 0.921)","('SK텔레콤 고객센터 운영 시간', 0.611)","('연결 관련', 0.425)"
콘텐츠이용료 한도상향,"('애플 콘텐츠 이용료 결제 이용 한도', 0.52)","('콘텐츠 이용료 가능 대상', 0.413)",
정지일,"('정지 관련', 0.835)","('일시정지', 0.678)","('장기일시정지', 0.612)"
초기화되어 전화번호를 알고싶어요,"('제조사 AS 센터 연락처', 0.624)","('휴대폰 개통일 확인 방법', 0.461)","('발신번호 관련', 0.419)"
인터넷을 해지했는데 요금이 계속 청구가됩니다,"('유선 해지 방법', 0.454)","('유선 인터넷 요금제', 0.433)","('T플러스B인터넷 해지 방법', 0.422)"
선택약정 가입원합니다,"('선택약정 할인제도 가입 조건', 0.581)","('요금약정 할인제도', 0.556)","('아파트청약케어 신청 방법', 0.475)"
실시간 이용요금이 뭔가요?,"('실시간 요금 상세 내역', 0.785)","('요금제문의', 0.431)","('최근 사용량 확인 방법', 0.424)"
로밍에 대해서 궁금 합니다,"('가족 로밍', 0.638)","('미성년자 로밍', 0.598)","('T로밍 고객센터', 0.494)"
전월요금에비해 이번 요금이 왜 더 나왔어?,"('요금제문의', 0.473)","('실시간 요금 상세 내역', 0.441)","('부가 사용 금액', 0.412)"
로밍 통신사 에러,"('T로밍 고객센터', 0.452)","('로밍 통화 요금 발생 시점', 0.403)",
금월 청구된 금액중 국제통화료 부과에 대해 상담 확인하고자 합니다,"('국제전화 청구 주기', 0.651)","('로밍 통화 요금', 0.555)","('로밍 통화 요금 발생 시점', 0.466)"
중계기as,"('휴대폰 중계기 설치', 0.666)","('중계기 설치 후 휴대폰 사용 불가 조치 방법', 0.583)",
11월 10일 오후까지 미납요금 납부 가능할까요?,"('요금 납부일 확인 방법', 0.502)","('SKT 미납센터 연락처', 0.5)","('과납', 0.477)"
납부가능일등록하고싶네요,"('요금 납부일 변경 방법', 0.772)","('요금 납부일 확인 방법', 0.736)","('유선 요금 납부일 변경 방법', 0.497)"
입금전용계좌가 필요합니다,"('현금영수증 발급 방법', 0.417)",,
11월 24일 납부가능하나요,"('요금 납부일 확인 방법', 0.588)","('요금 납부일 변경 방법', 0.539)","('단말기 할부금 중도 납부 방법', 0.492)"
제가 신청한 요금제 등록 됫는지요?,,,
데이터가남아있나요?,"('데이터 추가 사용 방법', 0.685)","('데이터 문의 관련', 0.675)","('T데이터 쿠폰 잔액 조회 방법', 0.544)"
앞으로 청구서 보내지 말고 문자으로 보내주세요,"('요금안내서 변경 방법', 0.677)","('요금안내서 발행유형 자동 변경 해제 방법', 0.594)","('메시지 관련', 0.478)"
미납정지중 하루연장,"('미납 이용정지', 0.588)","('분실정지 수신 기간 연장 방법', 0.446)","('미납 직권해지', 0.438)"
틍신비 안심  해제 합니다,"('안심키퍼 해지 방법', 0.509)","('퀵보이스 해지 방법', 0.483)","('T자녀안심 해지 방법', 0.469)"
요금 안내서는 어떻게 받을수있나요?,"('요금안내서 변경 방법', 0.668)","('요금안내서 재발행 방법', 0.575)","('요금안내서 발행유형 자동 변경 해제 방법', 0.563)"
수신량 늘리기,,,
혹시 9월달  요금  입금한것  얼만지  알수 있나요,"('요금 수납 내역 확인 방법', 0.731)","('요금 납부일 확인 방법', 0.597)","('해지 미환급금 조회 방법', 0.474)"
상담문의,"('채티 서비스', 0.67)","('전화 상담사 연결', 0.633)","('데이터 문의 관련', 0.541)"
자동로밍인가요?,"('자동안심 T로밍', 0.598)","('통신과금 자동 선결제', 0.407)","('자동연결 유료 서비스', 0.403)"
사이판 로밍,"('T괌사이판 요금제 잔여량 확인', 0.583)","('T괌사이판 옵션 변경', 0.571)","('가족 로밍', 0.451)"
문자상담,"('메시지 관련', 0.773)","('MMS', 0.703)","('문자메시지 서비스', 0.659)"
선택역정 할인 동의,,,
해외발신해제방법,"('발신금지 서비스 해지 방법', 0.473)","('로밍 중 전화 발신 방법', 0.464)","('컨트리 락 해제 방법', 0.46)"
납부가능 요일,"('요금 납부일 확인 방법', 0.715)","('요금 납부일 변경 방법', 0.701)","('요금 부분 납부 방법', 0.418)"
실시간 이용요금은 무엇인가요,"('실시간 요금 상세 내역', 0.792)","('요금제문의', 0.454)","('최근 사용량 확인 방법', 0.445)"
미납확인,"('미납 이용정지', 0.588)","('SKT 미납센터 연락처', 0.581)","('가산금', 0.522)"
티브이 연결방법,"('B tv 영상음성 케이블', 0.662)","('Btv 셋톱박스 연동 방법', 0.557)","('B tv', 0.506)"
지난달 청구요금,"('실시간 요금 상세 내역', 0.661)","('요금 납부일 확인 방법', 0.564)","('요금 수납 내역 확인 방법', 0.502)"
안심제보험해약,"('단말보험 해지 방법', 0.621)","('선택약정 할인제도 해지 방법', 0.485)","('안심키퍼 해지 방법', 0.483)"
요금제 전화알림 해제,"('요금제 변경 가능일 알림 서비스', 0.437)",,
요금조회는 어떻게 되나요?,"('실시간 요금 상세 내역', 0.667)","('요금제문의', 0.537)","('조회 관련', 0.466)"
보험비 가격,"('단말 보험 가입 방법', 0.605)","('휴대폰 보험 보상 신청 방법', 0.596)","('분실파손보험', 0.59)"
미납계좌주세요,"('SKT 미납센터 연락처', 0.742)","('자동납부번호 확인 방법', 0.521)","('미납 이용정지', 0.49)"
납부가능일 20일로 등록가능할까요?,"('요금 납부일 변경 방법', 0.751)","('요금 납부일 확인 방법', 0.698)","('단말기 할부금 중도 납부 방법', 0.443)"
21일  납부가능합니다,"('요금 납부일 확인 방법', 0.602)","('요금 납부일 변경 방법', 0.585)","('단말기 할부금 중도 납부 방법', 0.528)"
미납납부 등록,"('미납 이용정지', 0.65)","('SKT 미납센터 연락처', 0.536)","('가산금', 0.443)"
요번달 요금여,"('실시간 요금 상세 내역', 0.502)","('요금제문의', 0.501)","('단말기 잔여 할부 조회 방법', 0.406)"
유심을 꼽아도 전화가 안되요.,"('휴대폰 전화 수발신 불가 조치 방법', 0.591)","('USIM기변 방법', 0.526)","('USIM 카드 교품 방법', 0.508)"
미납 해지,"('미납 직권해지', 0.614)","('SKT 해지 미납센터 연락처', 0.419)",
저번달금액,"('실시간 요금 상세 내역', 0.586)","('요금 납부일 확인 방법', 0.449)","('요금제문의', 0.43)"
미납센터에서 전화가 온건 뭐죠,"('SKT 미납센터 연락처', 0.873)","('미납 이용정지', 0.572)","('SKT 해지 미납센터 연락처', 0.484)"
핸드폰 제한시간 다 썼어..어떡해야하지..?,"('제조사 AS 센터 연락처', 0.494)","('휴대폰 관련', 0.421)",
선택약정 연장하고 싶습니다,"('선택약정 할인제도 재가입 조건', 0.691)","('선택약정 할인제도 약정 기간 변경', 0.56)","('선택약정 할인제도 해지 방법', 0.55)"
선택약정 갱신 신청합니다,"('선택약정 할인제도 재가입 조건', 0.736)","('선택약정 할인제도 약정 기간 변경', 0.569)","('선택약정 할인제도 해지 방법', 0.554)"
상담 원 안내 원함,"('전화 상담사 연결', 0.75)","('SK텔레콤 고객센터 운영 시간', 0.495)","('채티 서비스', 0.448)"
갈릴레이 업적,,,
해외발신전화 차단,"('국제전화 발신 금지', 0.628)","('국제전화수신거부 서비스', 0.575)","('발신금지 서비스', 0.497)"
