query,MTL_rank1,MTL_rank2,MTL_rank3
선물790925,,,
문자 사용,"('메시지 관련', 0.775)","('휴대폰 문자 수발신 실패 조치 방법', 0.59)","('MMS', 0.573)"
약정할인 연장이요,"('연장 관련', 0.523)","('요금약정 할인제도', 0.521)","('선택약정 할인제도 약정 기간 변경', 0.513)"
납부 가능일 2023.11.25일로 가능할까요?,"('요금 납부일 확인 방법', 0.669)","('요금 납부일 변경 방법', 0.569)","('요금 수납 내역 확인 방법', 0.431)"
sk텔레콤안양지점주소,"('영업장 위치 확인', 0.72)","('개통 대리점 조회 방법', 0.428)",
납부날자 20일도가능한가요,"('요금 납부일 변경 방법', 0.799)","('요금 납부일 확인 방법', 0.703)","('단말기 할부금 중도 납부 방법', 0.497)"
내신용지킴이 유료사용하는앱 취소요망,"('PASS신용지키미 해지 방법', 0.579)",,
혹시 kt통신사에 미납요금은 없나요?,"('SKT 미납센터 연락처', 0.673)","('과납', 0.515)","('가산금', 0.513)"
문자 안오는경우,"('휴대폰 문자 수발신 실패 조치 방법', 0.809)","('메시지 관련', 0.661)","('휴대폰 특정 번호 문자 수신 실패 조치 방법', 0.524)"
결제금액알려줘,"('콘텐츠 이용료 구매내역 확인 방법', 0.573)","('요금 수납 내역 확인 방법', 0.568)","('실시간 요금 상세 내역', 0.513)"
T로밍할인,"('T로밍 카드', 0.577)","('T로밍 Biz 요금제', 0.457)","('자동안심 T로밍', 0.444)"
그 휴대폰,"('휴대폰 관련', 0.826)","('제조사 AS 센터 연락처', 0.614)","('휴대폰 기기변경 방법', 0.526)"
납부가능일 등록 정정,"('요금 납부일 변경 방법', 0.766)","('요금 납부일 확인 방법', 0.538)","('유선 요금 납부일 변경 방법', 0.488)"
미납요금 이번달25일에가능,"('SKT 미납센터 연락처', 0.572)","('요금 납부일 변경 방법', 0.507)","('단말기 할부금 중도 납부 방법', 0.488)"
소액결제 월한도,"('법인 휴대폰 결제 이용 한도', 0.625)","('애플 콘텐츠 이용료 결제 이용 한도', 0.608)","('060정보료 한도제', 0.544)"
아뇨 무조건 취소해주세요,"('철회', 0.65)","('퀵보이스 해지 방법', 0.534)","('이동전화 해지 방법', 0.515)"
액정고장입니다. 휴대폰안의 내용다운로드는 어텋게하나요,"('제조사 AS 센터 연락처', 0.617)","('고장 실패 관련', 0.509)","('휴대폰 보험 보상 신청 방법', 0.437)"
125 미납요금이랑 당월요금 같이 입금해도될까요?,"('요금 부분 납부 방법', 0.452)","('과납', 0.45)","('단말기 할부금 중도 납부 방법', 0.434)"
13일까지납부가능,"('단말기 할부금 중도 납부 방법', 0.581)","('요금 납부일 확인 방법', 0.575)","('요금 납부일 변경 방법', 0.573)"
긴급 sos설정 방법 알려줘,"('휴대폰 긴급전화 표시 조치 방법', 0.719)","('4G5G 재난문자방송 서비스 이용 방법', 0.476)","('4G 5G 재난문자방송 서비스', 0.402)"
31일날납부가능합니다,"('요금 납부일 변경 방법', 0.668)","('요금 납부일 확인 방법', 0.626)","('단말기 할부금 중도 납부 방법', 0.546)"
11.21일 납부등록부탁합니다,"('수납이력서 재발행 방법', 0.585)","('요금 납부일 확인 방법', 0.513)","('요금 수납 내역 확인 방법', 0.511)"
휴대용 공유기 요금,"('T포켓파이', 0.597)","('baro Box 임대료', 0.474)","('테더링 및 모바일 핫스팟', 0.423)"
삼성카드 할인받도록 해주세요 거의 70만원 사용하고 있어요,"('제휴카드 할인', 0.541)","('T멤버십 가맹점 및 사용 방법', 0.447)","('동일 신용카드 월 5회 수납 제한', 0.412)"
인증요청이 안돼요,"('인증 관련', 0.905)","('Wavve 부가서비스 인증 방법', 0.505)","('로밍 중 인증 문자 수신', 0.491)"
부가사용액이뭐예요,"('부가 사용 금액', 0.889)","('부가통화', 0.537)","('부가서비스 가입내역 확인 방법', 0.438)"
회선요금 먼저 납부 가능해,"('통신과금 선결제 이용 방법', 0.658)","('요금 부분 납부 방법', 0.644)","('단말기 할부금 중도 납부 방법', 0.601)"
무료로밍이 있다고하는데요,"('T로밍 카드', 0.522)","('자동안심 T로밍', 0.484)","('T로밍 Biz 요금제', 0.481)"
바로로밍관련,"('T전화 baro', 0.594)","('T로밍 고객센터', 0.572)","('T로밍 Biz 요금제', 0.486)"
상담사와 상담시작,"('전화 상담사 연결', 0.846)","('SK텔레콤 고객센터 운영 시간', 0.644)","('상담사 칭찬 방법', 0.428)"
troops,,,
아 와이파이 안돼,"('SK 유무선 공유기 Wi-Fi 접속 불가 조치 방법', 0.755)","('SK 유무선 공유기 Wi-Fi 끊김 조치 방법', 0.561)","('T wifi zone 이용 방법', 0.553)"
11월 요금조회,"('실시간 요금 상세 내역', 0.508)",,
빌레토통신비안심신청방법,"('빌레터 통신비안심 신청 방법', 0.806)","('빌레터 통신비안심', 0.519)","('T안심보안 신청 방법', 0.451)"
데이터 0메가로뜹니다,"('데이터 문의 관련', 0.924)","('데이터 추가 사용 방법', 0.692)","('퀵보이스', 0.688)"
로밍 통신사 연결,"('T로밍 고객센터', 0.592)","('5G 로밍 가능 국가', 0.463)","('국제전화 사업자 선택', 0.46)"
0.4를 100번 곱하면 답은 뭐야?,,,
인터넷전화를 핸드폰으로 착신할수있는방법,"('T_착신전환 설정 방법', 0.694)","('착신전환 이용 방법', 0.585)","('T_착신전환', 0.504)"
납부가능한날짜11월30일가능함,"('요금 납부일 확인 방법', 0.694)","('요금 납부일 변경 방법', 0.639)","('단말기 할부금 중도 납부 방법', 0.574)"
감사합니다  상담잘받았습니다,"('채티 서비스', 0.499)","('상담사 칭찬 방법', 0.495)","('A.', 0.457)"
요금제는 얼마짜리 인가요?,"('요금제문의', 0.918)","('LTE 요금제', 0.553)","('요금제 추천', 0.553)"
다음주 월요일까지 미납 납부가능할까요!,"('SKT 미납센터 연락처', 0.584)","('단말기 할부금 중도 납부 방법', 0.544)","('요금 수납 내역 확인 방법', 0.529)"
통화중 부제 전화,"('통화중대기 서비스', 0.538)","('부가통화', 0.419)",
저한테필요업는거해지해주세요,"('이동전화 해지 방법', 0.524)","('단말보험 해지 방법', 0.474)","('퀵보이스 해지 방법', 0.418)"
제 가입 만기가 끝났나요?,"('휴대폰 개통일 확인 방법', 0.459)","('연장 관련', 0.423)","('요금 납부일 확인 방법', 0.416)"
부재중 표시,"('T_부재중안내', 0.567)","('통화중대기 서비스', 0.499)","('콜키퍼', 0.484)"
11월30까지 입금하겠습니다,"('단말기 할부금 중도 납부 방법', 0.598)","('요금 납부일 확인 방법', 0.513)","('요금 납부일 변경 방법', 0.471)"
상담사바꿔주세요,"('전화 상담사 연결', 0.622)","('SK텔레콤 고객센터 운영 시간', 0.471)","('상담사 칭찬 방법', 0.401)"
다른 명의 카드납부,"('동일 신용카드 월 5회 수납 제한', 0.495)","('다른 번호 문의', 0.475)","('요금 부분 납부 방법', 0.407)"
데이터 요금증액에 상담요,"('데이터통화료 상한제도', 0.59)","('데이터 추가 사용 방법', 0.544)","('데이터 문의 관련', 0.537)"
12월10일에 미납요금 납부가능한데 그때로 등록해줘,"('요금 납부일 변경 방법', 0.702)","('요금 납부일 확인 방법', 0.625)","('자동납부 해지 방법', 0.512)"
너 전화번호 뭐야?,"('채티 서비스', 0.515)","('발신번호 관련', 0.507)","('다른 번호 문의', 0.46)"
11월20일 납부가능합니다,"('요금 납부일 확인 방법', 0.655)","('단말기 할부금 중도 납부 방법', 0.61)","('요금 납부일 변경 방법', 0.59)"
카드납부방법요 페이로,"('Sk pay 결제 방법', 0.843)","('통신과금 선결제 이용 방법', 0.576)","('편의점 요금 납부', 0.515)"
미납요금납부일 몇회까등록가능한지,"('SKT 미납센터 연락처', 0.538)","('미납 이용정지', 0.513)","('요금 납부일 확인 방법', 0.49)"
미납요금 만납부가능한가요,"('단말기 할부금 중도 납부 방법', 0.563)","('자동납부 해지 방법', 0.538)","('수납이력서 재발행 방법', 0.514)"
납부가능일 2023 11월30일 항상 말일로  등록해주세요,"('요금 납부일 확인 방법', 0.696)","('요금 납부일 변경 방법', 0.687)","('가족 간 데이터 자동 선물 발송 시점', 0.497)"
과도한 통화 요금 초과발생,"('데이터통화료 상한제도', 0.486)","('요금제문의', 0.465)","('과납', 0.44)"
총 미납요금이얼마죠,"('가산금', 0.545)","('과납', 0.542)","('SKT 미납센터 연락처', 0.541)"
데이터 다 쓰면 요금은 어떻게 되는지,"('데이터 문의 관련', 0.69)","('데이터통화료 상한제도', 0.628)","('데이터 추가 사용 방법', 0.608)"
납부가능일 30일도 될까요?,"('요금 납부일 확인 방법', 0.738)","('요금 납부일 변경 방법', 0.721)","('단말기 할부금 중도 납부 방법', 0.55)"
데이터통화료,"('데이터통화료 상한제도', 0.783)","('T끼리 데이터 선물하기 비용', 0.655)","('요금제문의', 0.525)"
10일날 입금할께요,"('요금 납부일 확인 방법', 0.533)","('단말기 할부금 중도 납부 방법', 0.518)","('요금 납부일 변경 방법', 0.513)"
문자가 안가서요,"('메시지 관련', 0.788)","('휴대폰 문자 수발신 실패 조치 방법', 0.684)","('제조사 AS 센터 연락처', 0.618)"
가족보호3000원무슨요금인지요?,"('휴대폰가족보호', 0.59)","('T All케어플러스3 패밀리', 0.491)","('T플랜 패밀리', 0.434)"
연결 부탁 드립니다,"('전화 상담사 연결', 0.767)","('연결 관련', 0.606)","('채티 서비스', 0.46)"
해지할려고합니다,"('이동전화 해지 방법', 0.847)","('단말보험 해지 방법', 0.512)","('철회', 0.508)"
해지해주셔요,"('이동전화 해지 방법', 0.854)","('철회', 0.532)","('퀵보이스 해지 방법', 0.515)"
집에서는 LTE가 안터져요,"('로밍 중 LTE 데이터 이용 방법', 0.444)","('5G 커버리지', 0.42)","('휴대폰 중계기 설치', 0.404)"
착신전화방법,"('착신전환 이용 방법', 0.882)","('착신전환 신청 방법', 0.616)","('착신전환', 0.59)"
납부 가능한 날짜 설정,"('요금 납부일 변경 방법', 0.861)","('요금 납부일 확인 방법', 0.722)","('유선 요금 납부일 변경 방법', 0.504)"
미납 요금 문의할게,"('SKT 미납센터 연락처', 0.725)","('가산금', 0.667)","('미납 이용정지', 0.644)"
미납가능일 등록,"('SKT 미납센터 연락처', 0.543)","('미납 이용정지', 0.534)","('요금 납부일 확인 방법', 0.453)"
114로 전화해도돼?,"('전화 상담사 연결', 0.728)","('T전화 T114 이용 방법', 0.53)","('SK텔레콤 고객센터 운영 시간', 0.421)"
한달분만납부가능할까요,"('요금 부분 납부 방법', 0.588)","('단말기 할부금 중도 납부 방법', 0.548)",
근데 전화를 자꾸 끊어버려,"('휴대폰 통화 끊김 조치 방법', 0.745)","('휴대폰 데이터 끊김 조치 방법', 0.477)","('통화품질 관련', 0.432)"
미납요금 재결제 요청,"('미납 직권해지', 0.572)","('SKT 미납센터 연락처', 0.557)","('과납', 0.535)"
25% 요금할인을 받으려면 어떻게 합니까,,,
약정가입해줘,"('요금약정 할인제도', 0.574)","('데이터결합약정할인 신청 방법', 0.547)","('무약정플랜 신청 방법', 0.458)"
유튜버 혜안 알아?,"('SK텔레콤 유튜브', 0.45)","('B tv 유튜브 시청 방법', 0.401)",
11월요금 내야되나요,,,
약정가입원해요,"('요금약정 할인제도', 0.548)","('데이터결합약정할인 신청 방법', 0.543)","('무약정플랜 신청 방법', 0.475)"
제가 폰을  바꾸고 싶은 데요,"('휴대폰 기기변경 방법', 0.894)","('5G 기기 변경 방법', 0.666)","('중고 기기변경 방법', 0.61)"
가상계좌하고 납입 총요금 알려주세요,"('요금 수납 내역 확인 방법', 0.54)","('실시간 요금 상세 내역', 0.447)","('요금 납부일 확인 방법', 0.412)"
11월15일까지납부가능합니다,"('단말기 할부금 중도 납부 방법', 0.611)","('요금 납부일 확인 방법', 0.528)","('요금 납부일 변경 방법', 0.514)"
임종훈 580408,,,
그  멤버십에 대해서,"('T멤버십 혜택', 0.835)","('T멤버십 가맹점 및 사용 방법', 0.712)","('T멤버십 혜택 (타사)', 0.526)"
요금확인하고 싶습니다,"('실시간 요금 상세 내역', 0.64)","('요금제문의', 0.64)","('채티 서비스', 0.455)"
전화 신호음이 안들려요,"('휴대폰 통화 중 잡음 묵음 조치 방법', 0.73)","('통화품질 관련', 0.667)","('휴대폰 통화 목소리 울림 조치 방법', 0.483)"
한달치 납부합니다 금액과 계좌주세요,"('요금 수납 내역 확인 방법', 0.591)","('요금 납부일 확인 방법', 0.506)","('요금 부분 납부 방법', 0.502)"
11월23일 납부가능합니다,"('요금 납부일 확인 방법', 0.633)","('단말기 할부금 중도 납부 방법', 0.578)","('요금 납부일 변경 방법', 0.565)"
9월요금 알려주세요,"('요금제문의', 0.504)","('T Tab 9', 0.5)","('T 아이폰파손9', 0.488)"
10월에 요금 증가 원인이 무엇인가요,,,
1년평균 요금,"('실시간 요금 상세 내역', 0.599)",,
T 센터,"('전화 상담사 연결', 0.492)","('SK텔레콤 고객센터 운영 시간', 0.475)","('영업장 위치 확인', 0.463)"
데이터는 최대 몇 GB까지 받을 수 있어?,"('데이터 문의 관련', 0.605)","('데이터 추가 사용 방법', 0.581)","('ZEM플랜 요금제', 0.487)"
미납요금 농협가상계좌 알려줘~,"('SKT 미납센터 연락처', 0.557)","('T안심보상', 0.434)",
30일납부가능한가요?,"('요금 납부일 변경 방법', 0.635)","('요금 납부일 확인 방법', 0.588)","('단말기 할부금 중도 납부 방법', 0.565)"
데이터 몆 원이야?,"('데이터 문의 관련', 0.653)","('퀵보이스', 0.629)","('ZEM', 0.534)"
몇월달  미납요금인가요?,"('요금 수납 내역 확인 방법', 0.638)","('SKT 미납센터 연락처', 0.606)","('요금 납부일 확인 방법', 0.542)"
핸드폰으로  결제된 금액이 있나요,"('요금 수납 내역 확인 방법', 0.643)","('콘텐츠 이용료 구매내역 확인 방법', 0.593)","('유선 요금 납부 내역 확인 방법', 0.476)"
전 전체 이용 요금  보여주세요.,"('실시간 요금 상세 내역', 0.634)",,
선택사항없음,"('추가 관련', 0.458)","('구매 관련', 0.455)","('SK텔레콤 할인 혜택', 0.42)"
유기변,"('임대 제도', 0.456)","('SK 세븐모바일', 0.403)",
선택약정요금제,"('요금약정 할인제도', 0.659)","('선택약정 할인제도 가입 조건', 0.513)","('선택약정 할인 중복 가입 가능 상품', 0.496)"
비트박스 해줘,"('baro Box 임대 예약 방법', 0.452)","('baro Box 임대', 0.431)",
선물말고 제번호로.쓸수있는거주세요,,,
당일 해지,"('이동전화 해지 방법', 0.63)","('예상 해지 금액', 0.496)","('철회', 0.484)"
통화불,"('통화품질 관련', 0.744)","('휴대폰 전화 수발신 불가 조치 방법', 0.651)","('고장 실패 관련', 0.602)"
통신요금이 왜 더 나왔나요?,"('과납', 0.497)","('가산금', 0.414)","('SK텔레콤 할인 혜택', 0.413)"
가족보호앱,"('휴대폰가족보호', 0.694)","('가족 관련', 0.507)","('휴대폰가족보호 이용 방법', 0.464)"
해외자동로밍을 차단하고싶어요,"('해외체류 장기일시정지 신청 방법', 0.606)","('국제전화수신거부 서비스 신청 방법', 0.536)","('데이터 로밍 차단 해지', 0.445)"
이용요금 해제,"('요금제문의', 0.423)","('요금 부분 납부 방법', 0.423)",
미납요금 납부가능일 알려쥐,"('요금 납부일 확인 방법', 0.766)","('요금 납부일 변경 방법', 0.658)","('SKT 미납센터 연락처', 0.488)"
해제방법,"('차단해제 관련', 0.728)","('정지 해제 관련', 0.613)","('제조사 AS 센터 연락처', 0.591)"
남은 할부값,"('단말기 잔여 할부 조회 방법', 0.877)","('단말기 할부금 중도 납부 방법', 0.665)","('단말기 할부', 0.614)"
가입 유료야?,"('가입비', 0.7)","('요금제문의', 0.412)","('SK텔레콤 할인 혜택', 0.401)"
내 부가세,"('세금계산서 신청 방법', 0.613)","('세금계산서 재발행 방법', 0.537)",
how to use the internet,"('인터넷 관련', 0.626)",,
몇살이신가요,"('휴대폰 개통일 확인 방법', 0.559)","('미성년자 관련', 0.512)","('팅 요금제 자동 변경 시기', 0.448)"
114 전화 통화 안되,"('휴대폰 전화 수발신 불가 조치 방법', 0.583)","('통화품질 관련', 0.497)","('고장 실패 관련', 0.488)"
미남 요금이 없습니다 다시 한번 확인해 주세요,,,
로밍요 오늘부터 14일 오는데요,"('로밍 일시 허용', 0.536)","('가족 로밍', 0.493)","('미성년자 로밍', 0.471)"
등급은 어떻게 되나요?,"('T멤버십 고객 등급 조회', 0.86)","('T멤버십 고객 등급 기준', 0.705)",
상세 명세서보내주세요,"('요금안내서 변경 방법', 0.603)","('실시간 요금 상세 내역', 0.529)","('요금안내서 재발행 방법', 0.526)"
미납요금이,"('SKT 미납센터 연락처', 0.688)","('미납 이용정지', 0.686)","('가산금', 0.672)"
녹음할 수 있는 법 알려줄래??,"('T전화 통화 녹음 기능', 0.767)","('T전화 녹음 파일 확인 방법', 0.51)","('소리샘 서비스 청취 방법', 0.435)"
인터넷이 작동을 안해요,"('인터넷 관련', 0.807)","('유선 인터넷 접속 불가 조치 방법', 0.521)","('휴대폰 데이터 접속 불가 조치 방법', 0.515)"
데이터무한받으려면어떻게하나요,"('데이터 추가 사용 방법', 0.744)","('데이터 문의 관련', 0.617)","('데이터 로밍 무조건 허용', 0.48)"
요금 죄회,"('과납', 0.653)","('가산금', 0.509)","('휴대폰 결제 취소 방법', 0.451)"
로밍 통화가 안됩니다,"('로밍 중 전화 발신 방법', 0.559)","('T전화 baro', 0.526)","('로밍 통화 요금', 0.523)"
미납요금 계좌 좀 알려줘,"('SKT 미납센터 연락처', 0.785)","('자동납부번호 확인 방법', 0.552)","('요금 수납 내역 확인 방법', 0.548)"
회외에서 전화하기,"('로밍 중 전화 발신 방법', 0.429)",,
1개월 납부요망,"('요금 부분 납부 방법', 0.582)","('단말기 할부금 중도 납부 방법', 0.505)","('요금 수납 내역 확인 방법', 0.435)"
유심 분실,"('USIM기변 방법', 0.6)","('USIM 카드 구매 방법', 0.596)","('USIM 카드 교품 방법', 0.519)"
2년으로 가입하려고합니다,,,
납부 방법,"('요금 부분 납부 방법', 0.634)","('단말기 할부금 중도 납부 방법', 0.627)","('요금 수납 내역 확인 방법', 0.602)"
sk BTV 장애,"('B tv 인터넷 장애 조치 방법', 0.641)","('B tv 소리 묵음 조치 방법', 0.416)","('집전화 수발신 불가 조치 방법', 0.402)"
sk 텔레콤 인터넷입니다.,"('T플러스B인터넷', 0.74)","('인터넷 관련', 0.616)","('T플러스 인터넷 신청 방법', 0.556)"
아이폰 15 사고 싶어,"('5G 기기 변경 방법', 0.575)","('아이폰 기기 변경 상담', 0.488)","('휴대폰 기기변경 방법', 0.482)"
티비 약정이 얼마 남았는지 궁굼해요!,"('단말기 잔여 할부 조회 방법', 0.44)",,
약정 1년으로 가능여부 확인 부탁드립니다,"('요금제문의', 0.484)","('SK텔레콤 할인 혜택', 0.442)","('T지원금 약정', 0.439)"
서현호 미납요금,"('SKT 미납센터 연락처', 0.569)","('과납', 0.475)","('미납 이용정지', 0.471)"
장애노,"('장애인 복지할인 제도', 0.674)","('고장 실패 관련', 0.471)","('휴대폰 통화권 이탈 조치 방법', 0.405)"
폰.결제일은 언제인가요,"('요금 납부일 확인 방법', 0.719)","('휴대폰 개통일 확인 방법', 0.613)","('요금 납부일 변경 방법', 0.505)"
15일납부 가능,"('요금 납부일 변경 방법', 0.668)","('요금 납부일 확인 방법', 0.593)","('단말기 할부금 중도 납부 방법', 0.571)"
산택적약정할인,"('선택약정 할인 중복 가입 가능 상품', 0.405)",,
착신방법,"('착신전환 이용 방법', 0.865)","('착신전환', 0.571)","('착신전환 신청 방법', 0.557)"
멜론 가격,"('멜론 고객센터', 0.817)","('멜론 익스트리밍', 0.439)","('NUGU 서비스 멜론 이용권 구매 방법', 0.416)"
전화시간 추가돼??,"('SK텔레콤 고객센터 운영 시간', 0.57)","('추가 관련', 0.497)","('전화 상담사 연결', 0.435)"
싸이 셀럽,"('NUGU 서비스 셀럽 알람', 0.477)",,
로밍사용법,"('로밍 중 전화 발신 방법', 0.617)","('T전화 baro 이용 방법', 0.57)","('로밍 중 LTE 데이터 이용 방법', 0.517)"
내 미납 요금 알려줘,"('SKT 미납센터 연락처', 0.756)","('미납 이용정지', 0.579)","('요금 수납 내역 확인 방법', 0.564)"
요금청구는엇제부터,"('요금제문의', 0.524)","('요금 수납 내역 확인 방법', 0.483)","('실시간 요금 상세 내역', 0.458)"
상담사는,"('전화 상담사 연결', 0.754)","('SK텔레콤 고객센터 운영 시간', 0.599)","('채티 서비스', 0.489)"
로밍상태인지  알고싶습니다,"('로밍 요금 확인 시점', 0.427)","('로밍 통화내역 열람', 0.418)","('T로밍 고객센터', 0.402)"
콘텐츠이용료 미리 납부했는데,"('통신과금 선결제 이용 방법', 0.605)","('통신과금 선결제', 0.569)","('통신과금 선결제 취소 방법', 0.551)"
유심확인,"('USIM 카드 구매 방법', 0.56)","('USIM기변 방법', 0.549)","('USIM 스마트인증', 0.52)"
21일전에 문자 한번주세요,"('메시지 관련', 0.45)","('일자별 잔여통화안내 날짜 변경 방법', 0.446)","('요금제 변경 가능일 알림 서비스 신청 방법', 0.409)"
오늘 납부가능,"('요금 납부일 확인 방법', 0.726)","('요금 납부일 변경 방법', 0.682)","('요금 수납 내역 확인 방법', 0.541)"
타사 국제전화 사용내역을 상세하게 알고 싶습니다,"('로밍 통화내역 열람', 0.619)","('국제전화 알림 Biz 레터링', 0.506)",
114 통화 바람,"('전화 상담사 연결', 0.819)","('T전화 T114 이용 방법', 0.454)","('SK텔레콤 고객센터 운영 시간', 0.44)"
세이프케시가입해제원합니다,"('세이프캐시 해지 방법', 0.695)","('PASS 세이프가드 해지 방법', 0.644)","('세이프캐시 신청 방법', 0.413)"
인터넷신호불량,"('인터넷 관련', 0.621)","('B tv 인터넷 장애 조치 방법', 0.449)","('통화품질 관련', 0.403)"
060수신차단,"('060발신차단 서비스', 0.779)","('스팸ARS차단플러스', 0.515)","('060발신차단 서비스 신청 방법', 0.495)"
저 메시지 차단 경고가 뜨는데요,"('차단 관련', 0.524)","('메시지 관련', 0.506)","('제조사 AS 센터 연락처', 0.476)"
매일 주어지는 1g 데이터의 사용량은 어디서 확인가능한가요?,"('일자별 잔여통화안내', 0.62)","('최근 사용량 확인 방법', 0.615)","('자녀 데이터 사용량 조회 방법', 0.48)"
데이떠,"('데이터 문의 관련', 0.446)","('T멤버십 0day 혜택', 0.411)",
미납요금 언제까지 내면돼나요 두달거요?,"('SKT 미납센터 연락처', 0.646)","('미납 이용정지', 0.614)","('가산금', 0.587)"
데이터 충전 무료로 할 수 있는 방법 있어?,"('데이터 추가 사용 방법', 0.716)","('팅 요금 충전 방법', 0.62)","('T로밍 데이터 충전', 0.559)"
그전에 입금해도 되는지요,"('요금 납부일 변경 방법', 0.603)","('단말기 할부금 중도 납부 방법', 0.585)","('요금 납부일 확인 방법', 0.561)"
20일날 납부가능해요,"('요금 납부일 확인 방법', 0.677)","('요금 납부일 변경 방법', 0.658)","('단말기 할부금 중도 납부 방법', 0.622)"
10살인데,"('미성년자 관련', 0.776)","('T끼리 데이터 선물하기 연령', 0.476)","('팅 요금제 자동 변경 시기', 0.469)"
11월30일에 미납납부하도록하겠습니다,"('요금 납부일 확인 방법', 0.552)","('SKT 미납센터 연락처', 0.541)","('요금 수납 내역 확인 방법', 0.519)"
휴대폰 미납요금 가능일 등록,"('SKT 미납센터 연락처', 0.598)","('미납 이용정지', 0.534)","('요금 납부일 확인 방법', 0.48)"
통화중임을 상대방에게 알려주는 방법은?,"('통화중대기 서비스', 0.656)","('통화중대기 서비스 신청 방법', 0.61)","('콜키퍼', 0.472)"
문자 안보내져,"('휴대폰 문자 수발신 실패 조치 방법', 0.712)","('메시지 관련', 0.643)","('제조사 AS 센터 연락처', 0.605)"
약정할인어디에신청하나요,"('요금약정 할인제도', 0.495)","('0히어로 할인제도 신청 방법', 0.475)","('데이터결합약정할인 신청 방법', 0.472)"
다시 상담할께요,"('채티 서비스', 0.536)","('SK텔레콤 고객센터 운영 시간', 0.484)","('전화 상담사 연결', 0.467)"
아리아가 누구야,"('NUGU 서비스', 0.634)","('NUGU 서비스 음성 인식 기능', 0.559)","('T전화 음성명령 사용 방법', 0.497)"
당월요금도포함,"('요금제문의', 0.594)","('실시간 요금 상세 내역', 0.506)","('SK텔레콤 할인 혜택', 0.422)"
미납요금있나요?,"('SKT 미납센터 연락처', 0.709)","('미납 이용정지', 0.624)","('요금 수납 내역 확인 방법', 0.595)"
문자 안보내짐,"('휴대폰 문자 수발신 실패 조치 방법', 0.683)","('메시지 관련', 0.568)","('문자매니저', 0.479)"
대량 문자발송,"('MMS', 0.534)","('문자메시지 서비스', 0.518)","('메시지 관련', 0.5)"
선택재약정방법,"('선택약정 할인제도 재가입 조건', 0.643)","('선택약정 할인제도 해지 방법', 0.513)","('선택약정 할인 중복 가입 가능 상품', 0.474)"
선택약정이 언제끝나나요.,"('선택약정 할인제도 만료 SMS 발송 시기', 0.822)","('선택약정 할인제도 해지 방법', 0.562)","('선택약정 할인제도 약정 기간 변경', 0.505)"
요금조희 알려주세요,"('요금제문의', 0.554)","('SK텔레콤 할인 혜택', 0.475)",
All케어플러스 가입 여부,"('부가서비스 가입내역 확인 방법', 0.706)","('T All케어플러스', 0.626)","('가족결합 확인 방법', 0.439)"
연락처백업,"('제조사 AS 센터 연락처', 0.564)","('SK쉴더스 모바일가드 설치 방법', 0.425)",
미납요금 납부가능일 12월 10일로 등록,"('요금 납부일 확인 방법', 0.64)","('요금 납부일 변경 방법', 0.632)","('자동납부 해지 방법', 0.501)"
기타상담,"('기타 요금', 0.832)",,
고겍 센터 전화해줘,"('퀵보이스', 0.58)","('T map 문의 방법', 0.501)","('퀵보이스 신청 방법', 0.496)"
요금에 세이프 3000 원 청구는 뭐죠?,"('세이프캐시', 0.621)","('PASS 세이프가드', 0.572)","('세이프캐시 신청 방법', 0.441)"
상담사와 연락할 수 있어?,"('전화 상담사 연결', 0.846)","('SK텔레콤 고객센터 운영 시간', 0.536)","('채티 서비스', 0.42)"
미납요금이얼마인가요,"('SKT 미납센터 연락처', 0.642)","('가산금', 0.605)","('미납 이용정지', 0.602)"
11월30날. 납부하겠습니다,"('요금 납부일 확인 방법', 0.702)","('요금 납부일 변경 방법', 0.611)","('요금 수납 내역 확인 방법', 0.54)"
sk포인트 사용 후 부활 여부 알고싶어요,"('T멤버십 포인트 유효기간', 0.533)","('T멤버십 재발급 취소', 0.461)","('T멤버십 포인트', 0.431)"
미납문의해줘,"('SKT 미납센터 연락처', 0.761)","('미납 이용정지', 0.653)","('가산금', 0.649)"
청구서 보내세요,"('요금안내서 변경 방법', 0.777)","('요금안내서 재발행 방법', 0.621)","('요금안내서 발행유형 자동 변경 해제 방법', 0.556)"
선택약점신청,"('선택약정 할인제도 가입 조건', 0.413)",,
휴대폰변경날짜,"('휴대폰 기기변경 방법', 0.616)","('휴대폰 개통일 확인 방법', 0.533)","('아이폰 기기 변경 상담', 0.452)"
데이터 속도가 얼마냐고,"('속도 관련', 0.79)","('데이터 문의 관련', 0.473)","('휴대폰 데이터 속도 저하 조치 방법', 0.465)"
부가서비스 언제 해지가능해요,"('단말보험 해지 방법', 0.592)","('이동전화 해지 방법', 0.505)","('자동납부 해지 방법', 0.5)"
당월요금 결제신청,"('통신과금 선결제 이용 방법', 0.63)","('단말기 할부금 중도 납부 방법', 0.585)","('결제 관련', 0.545)"
요금제 이용량 외,"('요금제문의', 0.546)","('최근 사용량 확인 방법', 0.493)","('데이터통화료 상한제도', 0.444)"
휴대폰 결제 환불,"('휴대폰 결제 취소 방법', 0.821)","('콘텐츠 이용료 결제 취소 방법', 0.55)","('휴대폰 결제 연체 가산금', 0.523)"
은행계좌 부탁드려요,,,
요금때문에,"('요금제문의', 0.692)","('SK텔레콤 할인 혜택', 0.505)",
