query,n_rank1,n_rank2,n_rank3
휴대폰요금에 왜 티브이 요금이 침부 되나요?,"('통신서비스 요금', 0.41)",,
sk브로드밴드 인터넷 btv 재계약시 혜택은?,"('번호변경안내 서비스 연장 방법', 0.493)","('분실정지 수신 기간 연장 방법', 0.481)","('SK브로드밴드 고객센터', 0.48)"
결제 카드 2개월분 납부,"('단말기 할부금 중도 납부 방법', 0.546)","('결제 관련', 0.452)","('과납', 0.438)"
매달결제되는건가요?,"('결제 관련', 0.576)","('요금 수납 내역 확인 방법', 0.48)","('콘텐츠 이용료 구매내역 확인 방법', 0.461)"
부고 문자 보내려 하는데 초과로 발송이 안되어요,,,
This sea,"('퀵보이스 해지 방법', 0.42)","('영업장 위치 확인', 0.407)","('퀵보이스', 0.401)"
로밍 7일 요금제,"('T 아이폰파손7', 0.624)","('New T 아이폰케어7', 0.624)","('New T 아이폰파손7', 0.607)"
전화 하시는분에게 현재 로밍 중 이라는 멘트가 안 나오게 하고 싶어요,"('T로밍 고객센터', 0.732)","('T로밍 카드', 0.657)","('T로밍 카드 고객 센터', 0.628)"
납부 은행 계좌,"('편의점 요금 납부', 0.549)","('결제 관련', 0.534)","('휴대폰 결제 대행사 연락처', 0.486)"
분실 습득,"('분실폰 찾기', 0.76)","('분실파손보험', 0.575)","('분실폰 찾기 위치 조회', 0.554)"
약정할인 연장 문의합니다,"('연장 관련', 0.83)","('번호변경안내 서비스 연장 방법', 0.814)","('법인 위임대리인 연장 신청 방법', 0.636)"
매월 영화티켓 혜택,"('T멤버십 VIP Pick 영화 예매 방법', 0.479)",,
9월요금미수금,"('해지 미환급금 조회 방법', 0.468)","('B tv 미가입 채널 조치 방법', 0.414)","('일자별 잔여통화안내 신청 방법', 0.404)"
중계동이 뭐야,"('휴대폰 중계기 설치', 0.664)","('중계기 설치 후 휴대폰 사용 불가 조치 방법', 0.581)","('영업장 위치 확인', 0.448)"
가상계좌번호 주세요.,"('휴대폰결제 비밀번호', 0.472)",,
티비 인터넷 설치,"('퀵보이스 신청 방법', 0.733)","('퀵보이스', 0.723)","('신규가입 구비서류', 0.714)"
다른사람이 내번호를써요,"('이동전화 가입 (타사)', 0.65)","('타사 고객 baro Box 이용', 0.617)","('인터넷 TV 가입(타사)', 0.597)"
두번째 전화번호 사용방법을 알려주세요,"('분실파손2', 0.679)","('넘버플러스2 번호 확인 방법', 0.674)","('다른 번호 문의', 0.657)"
폰인터넷이  잘안되요,"('유선 인터넷 접속 불가 조치 방법', 0.648)","('인터넷 관련', 0.623)","('B tv 인터넷 장애 조치 방법', 0.61)"
자동납부청구번호,"('자동납부번호 확인 방법', 0.964)","('법인폰 자동납부내역 조회 방법', 0.675)","('자동 휴대폰 결제 차단 방법', 0.531)"
sk클럽카드 할인,"('5GX클럽 갤럭시S20', 0.58)","('T멤버십 혜택', 0.575)","('휴대폰 결제 멤버십', 0.568)"
요금 다음달로,"('요금 납부일 변경 방법', 0.587)","('유선 요금 납부일 변경 방법', 0.519)","('요금 납부일 확인 방법', 0.513)"
이용권해지 하려구요,"('이동전화 해지 방법', 0.8)","('B tv 월정액 해지 방법', 0.758)","('단말보험 해지 방법', 0.685)"
왜 해지금액이 올랏는가요 .한푼이라도 챙겨야겠다는 거신가요 그란식으로 고객대하면 떠납니다,"('T Ring 해지 방법', 0.523)","('레터링 해지 방법', 0.477)","('컬러링서비스 해지 방법', 0.473)"
누구 써비스를 어뜩해 해요?,"('NUGU 서비스', 0.712)","('T전화 NUGU', 0.652)","('B tv NUGU', 0.649)"
약정할인 추가,"('데이터 추가 사용 방법', 0.563)","('연장 관련', 0.561)","('추가 관련', 0.557)"
납부계좌 주세요,"('편의점 요금 납부', 0.517)","('요금 수납 내역 확인 방법', 0.513)","('휴대폰 결제 대행사 연락처', 0.506)"
집에 인터넷이 안되요,"('유선 인터넷 접속 불가 조치 방법', 0.787)","('B tv 인터넷 장애 조치 방법', 0.643)","('인터넷 관련', 0.637)"
이번달 말까지 납부할께요,"('요금 납부일 확인 방법', 0.521)","('단말기 할부금 중도 납부 방법', 0.494)","('각종업무구비서류', 0.479)"
납부가능한날짜 25일가능한가요,"('요금 납부일 확인 방법', 0.448)",,
T전화 자동 받기 취소,"('자동납부 해지 방법', 0.747)","('통신과금 자동 선결제 해지 방법', 0.613)","('T전화 탈퇴 및 서비스 미사용', 0.542)"
가맹점입니다 핸드폰에슷자번호로결제요구 결제가안됨,"('휴대폰 결제 대행사 연락처', 0.515)","('Sk pay 가맹점 확인 방법', 0.422)",
로그인보로서비스해지,"('휴대폰간편로그인 해지 방법', 0.656)","('전화번호 안심로그인 해지 방법', 0.644)","('T플러스B인터넷 해지 방법', 0.562)"
미납정지. 연장,"('분실정지 수신 기간 연장 방법', 0.74)","('연장 관련', 0.61)","('번호변경안내 서비스 연장 방법', 0.602)"
현재 무슨은행으로 되어있나요,"('영업장 위치 확인', 0.517)","('데이터 스테이션', 0.439)","('개통 대리점 조회 방법', 0.423)"
핸드폰 보험이 되어있는지 확인하려고요,"('부가서비스 가입내역 확인 방법', 0.754)","('단말 보험 가입 방법', 0.656)","('가입 정보 조회', 0.517)"
화질이 안좋다고,"('B tv 화질 저하 조치 방법', 0.899)","('B tv 화면 색상 이상 조치 방법', 0.538)","('휴대폰 영상 수발신 불가 조치 방법', 0.526)"
미납금 다냇는지확인,"('해지 미환급금 조회 방법', 0.636)","('SKT 미납센터 연락처', 0.604)","('미납 이용정지', 0.586)"
중계기,"('휴대폰 중계기 설치', 0.92)","('중계기 설치 후 휴대폰 사용 불가 조치 방법', 0.805)","('유선 인터넷 모뎀 공유기', 0.522)"
상담 원합니다,"('전화 상담사 연결', 0.821)","('퀵보이스', 0.809)","('퀵보이스 이용 방법', 0.737)"
인터넷하고싶어,"('인터넷 관련', 0.88)","('퀵보이스 이용 방법', 0.738)","('퀵보이스', 0.686)"
휴대폰 요금 입그일은 언제 인가요?,"('요금 납부일 확인 방법', 0.66)","('휴대폰 개통일 확인 방법', 0.632)","('요금 납부일 변경 방법', 0.597)"
T 맴버십 혜택 알려줘!,"('B tv T멤버십 사용방법', 0.756)","('T멤버십 혜택', 0.732)","('휴대폰 결제 멤버십', 0.689)"
baro  자동 이용 되나요,"('T전화 baro 이용 방법', 0.664)","('T전화 baro', 0.62)","('법인폰 자동납부내역 조회 방법', 0.528)"
약정조회할께,"('요금약정 할인제도', 0.587)","('데이터결합약정할인 신청 방법', 0.49)","('데이터결합약정할인', 0.487)"
상담문의해줘,"('전화 상담사 연결', 0.864)","('퀵보이스', 0.75)","('퀵보이스 이용 방법', 0.684)"
자녀핸드폰 선택약정 신청,"('선택약정 할인제도 가입 조건', 0.771)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.564)","('선택약정 할인제도 가입 불가 요금제', 0.518)"
미납요금납기일변경,"('요금 납부일 변경 방법', 0.638)","('유선 요금 납부일 변경 방법', 0.628)","('요금 납부일 확인 방법', 0.461)"
미납여부,"('미납 이용정지', 0.673)","('SKT 미납센터 연락처', 0.656)","('과납', 0.568)"
선택약정 재가입 가능할까요?,"('선택약정 할인제도 재가입 조건', 0.964)","('T멤버십 재발급 취소', 0.576)","('유선 요금안내서 재발행 방법', 0.513)"
이번달 현재사용요금,"('실시간 요금 상세 내역', 0.555)","('최근 사용량 확인 방법', 0.428)","('요금제 변경', 0.412)"
지금 통화는 어렵습니다,"('전화 상담사 연결', 0.657)","('퀵보이스', 0.519)","('전화 관련', 0.507)"
약정위약금 문의할께,"('요금약정 할인제도', 0.64)","('SK텔레콤 이용약관', 0.403)",
전원꺼진상태에서 부재중 전화기록,"('T전화 최근기록 보기 설정', 0.543)","('수납이력서 재발행 방법', 0.479)","('T_부재중안내', 0.477)"
누구 어떻게 연결해?,"('NUGU 서비스 스마트폰 연결 방법', 0.834)","('NUGU 서비스', 0.832)","('B tv NUGU 이용 방법', 0.788)"
미납청구요금,"('SKT 미납센터 연락처', 0.733)","('미납 이용정지', 0.684)","('휴대폰 결제 연체 가산금', 0.649)"
로밍 중이고 바로로 통화했는데 요금 무료맞지요?,"('T전화 baro 이용 방법', 0.671)","('T전화 baro', 0.66)","('baro 3GB', 0.529)"
카톡이 안된다구요,"('휴대폰 전화 수발신 불가 조치 방법', 0.56)","('집전화 수발신 불가 조치 방법', 0.491)","('유선 인터넷 접속 불가 조치 방법', 0.416)"
선물790925,"('무료음성 79', 0.61)","('T끼리 데이터 선물 조르기 방법', 0.459)","('T멤버십 포인트 선물하기', 0.456)"
문자 사용,"('문자메시지 서비스', 0.905)","('메시지 관련', 0.837)","('MMS', 0.805)"
약정할인 연장이요,"('연장 관련', 0.832)","('번호변경안내 서비스 연장 방법', 0.804)","('법인 위임대리인 연장 신청 방법', 0.627)"
납부 가능일 2023.11.25일로 가능할까요?,"('요금 납부일 확인 방법', 0.415)",,
sk텔레콤안양지점주소,"('영업장 위치 확인', 0.668)","('위치 관련', 0.621)","('법인폰 청구지 주소 조회_변경 방법', 0.603)"
납부날자 20일도가능한가요,"('요금 납부일 확인 방법', 0.519)","('요금 납부일 변경 방법', 0.472)","('T All케어플러스 i200', 0.45)"
내신용지킴이 유료사용하는앱 취소요망,"('PASS신용지키미 해지 방법', 0.724)","('PASS 건강지키미 해지 방법', 0.687)","('ZEM플러스웅진스마트올 해지 방법', 0.503)"
혹시 kt통신사에 미납요금은 없나요?,"('SKT 미납센터 연락처', 0.748)","('미납 이용정지', 0.63)","('과납', 0.506)"
문자 안오는경우,"('휴대폰 문자 수발신 실패 조치 방법', 0.827)","('문자메시지 서비스', 0.747)","('휴대폰 MMS 수발신 실패 조치 방법', 0.738)"
결제금액알려줘,"('결제 관련', 0.601)","('콘텐츠 이용료 구매내역 확인 방법', 0.527)","('요금 수납 내역 확인 방법', 0.472)"
T로밍할인,"('T로밍 카드', 0.916)","('데이터 로밍 요금', 0.749)","('5G 로밍 서비스', 0.614)"
그 휴대폰,"('휴대폰 관련', 0.916)","('내 휴대폰 기종 확인', 0.683)","('아이폰 관련', 0.653)"
납부가능일 등록 정정,"('요금 납부일 변경 방법', 0.741)","('유선 요금 납부일 변경 방법', 0.653)","('요금 납부일 확인 방법', 0.626)"
미납요금 이번달25일에가능,"('미납 이용정지', 0.569)","('SKT 미납센터 연락처', 0.513)","('과납', 0.423)"
소액결제 월한도,"('법인 휴대폰 결제 이용 한도', 0.795)","('애플 콘텐츠 이용료 결제 이용 한도', 0.785)","('데이터통화료 상한제도', 0.687)"
아뇨 무조건 취소해주세요,"('철회', 0.588)","('퀵보이스 해지 방법', 0.514)","('콘텐츠 이용료 결제 취소 방법', 0.509)"
액정고장입니다. 휴대폰안의 내용다운로드는 어텋게하나요,"('휴대폰 MMS 수신 후 저장 실패 조치 방법', 0.461)","('휴대폰 MMS 다운로드 실패 조치 방법', 0.449)","('B tv 최근시청 VOD', 0.409)"
125 미납요금이랑 당월요금 같이 입금해도될까요?,"('과납', 0.445)",,
13일까지납부가능,"('요금 납부일 확인 방법', 0.532)","('각종업무구비서류', 0.484)","('구매 관련', 0.456)"
긴급 sos설정 방법 알려줘,"('휴대폰 긴급전화 표시 조치 방법', 0.796)","('4G5G 재난문자방송 서비스 이용 방법', 0.543)","('4G 5G 재난문자방송 서비스', 0.51)"
31일날납부가능합니다,"('요금 납부일 확인 방법', 0.479)","('단말기 할부금 중도 납부 방법', 0.404)",
11.21일 납부등록부탁합니다,"('Sk pay 가입 방법', 0.504)","('등록 관련', 0.492)","('미디어 앤 데이터팩 신청 방법', 0.487)"
휴대용 공유기 요금,"('유선 인터넷 모뎀 공유기', 0.864)","('SK 유무선 공유기 Wi-Fi 접속 불가 조치 방법', 0.508)","('T wifi 렌탈', 0.491)"
삼성카드 할인받도록 해주세요 거의 70만원 사용하고 있어요,"('다이렉트5G 69', 0.461)","('T 아이폰파손7', 0.461)","('\u200bT아이폰케어 SE 2022', 0.459)"
인증요청이 안돼요,"('인증 관련', 0.78)","('Wavve 부가서비스 인증 방법', 0.69)","('로밍 중 인증 문자 수신', 0.619)"
부가사용액이뭐예요,"('부가 사용 금액', 0.919)","('데이터 추가 사용 방법', 0.689)","('추가 관련', 0.68)"
회선요금 먼저 납부 가능해,"('통신과금 선결제', 0.71)","('통신과금 선결제 이용 방법', 0.693)","('선불폰', 0.456)"
무료로밍이 있다고하는데요,"('T로밍 카드', 0.872)","('데이터 로밍 요금', 0.674)","('5G 로밍 서비스', 0.65)"
바로로밍관련,"('T로밍 카드', 0.767)","('데이터 로밍 요금', 0.627)","('T로밍 고객센터', 0.585)"
상담사와 상담시작,"('전화 상담사 연결', 0.873)","('개통 대리점 조회 방법', 0.641)","('퀵보이스 신청 방법', 0.604)"
troops,"('Wavve', 0.464)","('블루투스 관련', 0.402)",
아 와이파이 안돼,"('SK 유무선 공유기 Wi-Fi 접속 불가 조치 방법', 0.79)","('T wifi 렌탈', 0.597)","('데이터 로밍 차단 시 Wi-Fi 이용', 0.554)"
11월 요금조회,"('자녀 요금 조회 방법', 0.458)","('콘텐츠 이용료 구매내역 확인 방법', 0.456)","('실시간 요금 상세 내역', 0.454)"
빌레토통신비안심신청방법,"('빌레터 통신비안심 신청 방법', 0.58)","('T안심보안 신청 방법', 0.57)","('Wavve 앤 데이터 신청 방법', 0.454)"
데이터 0메가로뜹니다,"('데이터 문의 관련', 0.964)","('통신자료제공', 0.626)","('Wavve앤데이터', 0.595)"
로밍 통신사 연결,"('T로밍 고객센터', 0.592)","('T로밍 카드 고객 센터', 0.538)","('T로밍 카드', 0.463)"
0.4를 100번 곱하면 답은 뭐야?,"('전국민 무한 100', 0.654)","('T전화 T114 이용 방법', 0.512)","('T All케어플러스 i100', 0.44)"
인터넷전화를 핸드폰으로 착신할수있는방법,"('T_착신전환', 0.861)","('착신전환 이용 방법', 0.851)","('착신전환', 0.845)"
납부가능한날짜11월30일가능함,"('요금 납부일 확인 방법', 0.486)",,
감사합니다  상담잘받았습니다,"('전화 상담사 연결', 0.631)","('상담사 칭찬 방법', 0.612)","('제조사 AS 센터 연락처', 0.55)"
요금제는 얼마짜리 인가요?,"('요금제문의', 0.903)","('B tv 요금제', 0.779)","('5GX 요금제', 0.724)"
다음주 월요일까지 미납 납부가능할까요!,"('SKT 미납센터 연락처', 0.618)","('미납 이용정지', 0.599)","('과납', 0.563)"
통화중 부제 전화,"('다른 번호 문의', 0.566)","('법정대리인 동시 통보', 0.505)","('부가통화', 0.486)"
저한테필요업는거해지해주세요,"('퀵보이스 해지 방법', 0.633)","('예상 해지 금액', 0.557)","('철회', 0.548)"
제 가입 만기가 끝났나요?,"('선택약정 할인제도 만료 SMS 발송 시기', 0.581)","('T멤버십 포인트 유효기간', 0.543)","('T데이터 쿠폰 등록 기간', 0.534)"
부재중 표시,"('T_부재중안내', 0.931)",,
11월30까지 입금하겠습니다,"('요금 납부일 확인 방법', 0.403)",,
상담사바꿔주세요,"('전화 상담사 연결', 0.602)","('타 통신사 고객센터', 0.479)","('댁내재배선', 0.47)"
다른 명의 카드납부,"('T로밍 카드 타인 양도', 0.622)","('타사 고객 baro Box 이용', 0.574)","('인터넷 TV 가입(타사)', 0.554)"
데이터 요금증액에 상담요,"('데이터 추가 사용 방법', 0.716)","('부가 사용 금액', 0.496)","('휴대폰 데이터 속도 저하 조치 방법', 0.429)"
12월10일에 미납요금 납부가능한데 그때로 등록해줘,"('요금 납부일 확인 방법', 0.493)","('해지 미환급금 조회 방법', 0.412)",
너 전화번호 뭐야?,"('전화 상담사 연결', 0.748)","('다른 번호 문의', 0.702)","('전화 관련', 0.592)"
11월20일 납부가능합니다,"('요금 납부일 확인 방법', 0.472)","('가입비', 0.453)","('Wavve콘텐츠팩 연간 신청 방법', 0.424)"
카드납부방법요 페이로,"('Sk pay 결제 방법', 0.735)","('Sk pay', 0.696)","('SK pay 고객센터', 0.542)"
미납요금납부일 몇회까등록가능한지,"('미납 이용정지', 0.576)","('일자별 잔여통화안내 신청 방법', 0.523)","('일자별 잔여통화안내', 0.478)"
미납요금 만납부가능한가요,"('과납', 0.65)","('SKT 미납센터 연락처', 0.643)","('미납 이용정지', 0.595)"
납부가능일 2023 11월30일 항상 말일로  등록해주세요,"('요금 납부일 확인 방법', 0.537)",,
과도한 통화 요금 초과발생,"('데이터통화료 상한제도', 0.583)","('과납', 0.506)","('데이터 추가 사용 방법', 0.491)"
총 미납요금이얼마죠,"('SKT 미납센터 연락처', 0.669)","('미납 이용정지', 0.628)","('과납', 0.612)"
데이터 다 쓰면 요금은 어떻게 되는지,"('자녀 데이터 사용량 조회 방법', 0.614)","('데이터 추가 사용 방법', 0.559)","('baro Box 잔여량 조회', 0.444)"
납부가능일 30일도 될까요?,"('요금 납부일 확인 방법', 0.552)","('0청년다이렉트 30', 0.497)","('T Tab 30', 0.494)"
데이터통화료,"('비밀번호통화 서비스 이용 방법', 0.596)","('비밀번호통화 서비스', 0.581)","('통신서비스 요금', 0.567)"
10일날 입금할께요,"('요금 납부일 확인 방법', 0.473)","('가입비', 0.443)","('결제 관련', 0.436)"
문자가 안가서요,"('휴대폰 문자 수발신 실패 조치 방법', 0.785)","('문자메시지 서비스', 0.774)","('MMS', 0.74)"
가족보호3000원무슨요금인지요?,"('휴대폰가족보호 이용 방법', 0.793)","('휴대폰가족보호', 0.737)","('고객보호 비밀번호 서비스', 0.62)"
연결 부탁 드립니다,"('전화 상담사 연결', 0.873)","('퀵보이스', 0.714)","('연결 관련', 0.704)"
해지할려고합니다,"('퀵보이스 해지 방법', 0.882)","('이동전화 해지 방법', 0.801)","('예상 해지 금액', 0.77)"
해지해주셔요,"('퀵보이스 해지 방법', 0.881)","('이동전화 해지 방법', 0.804)","('예상 해지 금액', 0.773)"
집에서는 LTE가 안터져요,"('LTE 요금제', 0.551)","('로밍 중 LTE 데이터 이용 방법', 0.467)","('유선 인터넷 접속 불가 조치 방법', 0.454)"
착신전화방법,"('착신전환', 0.919)","('착신전환 이용 방법', 0.906)","('T_착신전환', 0.904)"
납부 가능한 날짜 설정,"('요금 납부일 변경 방법', 0.728)","('요금 납부일 확인 방법', 0.661)","('유선 요금 납부일 변경 방법', 0.612)"
미납 요금 문의할게,"('SKT 미납센터 연락처', 0.809)","('미납 이용정지', 0.737)","('과납', 0.664)"
미납가능일 등록,"('미납 이용정지', 0.613)","('요금 납부일 확인 방법', 0.555)","('일자별 잔여통화안내 신청 방법', 0.505)"
114로 전화해도돼?,"('전화 상담사 연결', 0.634)","('T전화 T114 이용 방법', 0.502)","('T전화 T114업체 정보 변경', 0.425)"
한달분만납부가능할까요,"('요금 부분 납부 방법', 0.437)",,
근데 전화를 자꾸 끊어버려,"('휴대폰 통화 끊김 조치 방법', 0.9)","('유선 인터넷 끊김 조치 방법', 0.754)","('휴대폰 데이터 끊김 조치 방법', 0.742)"
미납요금 재결제 요청,"('휴대폰 결제 연체 가산금', 0.665)","('SKT 미납센터 연락처', 0.597)","('해지 미환급금 조회 방법', 0.591)"
25% 요금할인을 받으려면 어떻게 합니까,,,
약정가입해줘,"('데이터결합약정할인 신청 방법', 0.747)","('가입상담 예약 방법', 0.62)","('퀵보이스 신청 방법', 0.602)"
유튜버 혜안 알아?,,,
11월요금 내야되나요,,,
약정가입원해요,"('요금약정 할인제도', 0.679)","('데이터결합약정할인 신청 방법', 0.671)","('선택약정 할인제도 가입 조건', 0.531)"
제가 폰을  바꾸고 싶은 데요,"('휴대폰 기기변경 방법', 0.939)","('아이폰 기기 변경 상담', 0.817)","('갤럭시 기기 변경 상담', 0.76)"
가상계좌하고 납입 총요금 알려주세요,"('OK캐쉬백 납부', 0.463)","('Wavve 코인 확인 방법', 0.409)",
11월15일까지납부가능합니다,"('요금 납부일 확인 방법', 0.442)","('각종업무구비서류', 0.429)","('가입비', 0.426)"
임종훈 580408,,,
그  멤버십에 대해서,"('B tv T멤버십 사용방법', 0.803)","('T멤버십 혜택', 0.799)","('휴대폰 결제 멤버십', 0.772)"
요금확인하고 싶습니다,"('실시간 요금 상세 내역', 0.536)","('콘텐츠 이용료 구매내역 확인 방법', 0.534)","('유선 요금 납부 내역 확인 방법', 0.513)"
전화 신호음이 안들려요,"('휴대폰 통화 목소리 울림 조치 방법', 0.559)","('휴대폰 통화 중 잡음 묵음 조치 방법', 0.559)","('집전화 잡음 묵음 조치 방법', 0.553)"
한달치 납부합니다 금액과 계좌주세요,"('요금 수납 내역 확인 방법', 0.537)","('결제 관련', 0.524)","('요금 납부일 확인 방법', 0.478)"
11월23일 납부가능합니다,"('요금 납부일 확인 방법', 0.405)",,
9월요금 알려주세요,"('T 아이폰파손9', 0.653)","('New T 아이폰파손9', 0.641)","('T Tab 9', 0.614)"
10월에 요금 증가 원인이 무엇인가요,"('New T 아이폰케어10', 0.504)","('T 아이폰케어10', 0.501)","('데이터 추가 사용 방법', 0.422)"
1년평균 요금,"('최근 사용량 확인 방법', 0.476)","('실시간 요금 상세 내역', 0.463)",
T 센터,"('영업장 위치 확인', 0.642)","('제조사 AS 센터 연락처', 0.616)","('데이터 스테이션', 0.595)"
데이터는 최대 몇 GB까지 받을 수 있어?,"('데이터 추가 사용 방법', 0.592)","('자녀 데이터 사용량 조회 방법', 0.54)","('데이터 문의 관련', 0.492)"
미납요금 농협가상계좌 알려줘~,"('SKT 미납센터 연락처', 0.794)","('휴대폰 결제 연체 가산금', 0.501)","('미납 이용정지', 0.497)"
30일납부가능한가요?,"('다이렉트LTE 30', 0.564)","('0청년다이렉트 30', 0.551)","('T Tab 30', 0.551)"
데이터 몆 원이야?,"('원스토리 앤 데이터', 0.65)","('ONE store 고객센터', 0.645)","('원패스 기준 시간', 0.643)"
몇월달  미납요금인가요?,"('미납 이용정지', 0.692)","('SKT 미납센터 연락처', 0.688)","('과납', 0.527)"
핸드폰으로  결제된 금액이 있나요,"('콘텐츠 이용료 구매내역 확인 방법', 0.77)","('요금 수납 내역 확인 방법', 0.74)","('유선 요금 납부 내역 확인 방법', 0.65)"
전 전체 이용 요금  보여주세요.,,,
선택사항없음,"('B tv 선택', 0.629)","('무조건 소리샘', 0.433)",
유기변,,,
선택약정요금제,"('선택약정 할인제도 가입 조건', 0.733)","('선택약정 할인제도 가입 불가 요금제', 0.637)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.548)"
비트박스 해줘,"('baro Box 임대', 0.653)","('T플러스B인터넷', 0.633)","('Wavve', 0.588)"
선물말고 제번호로.쓸수있는거주세요,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.66)","('T끼리 데이터 선물 조르기 방법', 0.641)","('T멤버십 포인트 선물하기', 0.601)"
당일 해지,"('퀵보이스 해지 방법', 0.778)","('철회', 0.679)","('예상 해지 금액', 0.666)"
통화불,"('휴대폰 전화 수발신 불가 조치 방법', 0.69)","('집전화 수발신 불가 조치 방법', 0.634)","('전화 관련', 0.629)"
통신요금이 왜 더 나왔나요?,"('데이터 추가 사용 방법', 0.626)","('부가 사용 금액', 0.595)","('통신서비스 요금', 0.499)"
가족보호앱,"('휴대폰가족보호', 0.853)","('휴대폰가족보호 이용 방법', 0.838)","('고객보호 비밀번호 서비스', 0.685)"
해외자동로밍을 차단하고싶어요,"('자동 휴대폰 결제 차단 방법', 0.685)","('자동안심 T로밍', 0.65)","('자동안심 T로밍 데이터', 0.647)"
이용요금 해제,"('일시정지 해제 방법', 0.495)","('퀵보이스 해지 방법', 0.48)","('정지 해제 관련', 0.474)"
미납요금 납부가능일 알려쥐,"('요금 납부일 확인 방법', 0.608)","('미납 이용정지', 0.558)","('SKT 미납센터 연락처', 0.542)"
해제방법,"('퀵보이스 해지 방법', 0.756)","('차단해제 관련', 0.618)","('정지 해제 관련', 0.605)"
남은 할부값,"('단말기 잔여 할부 조회 방법', 0.782)","('단말기 할부금 중도 납부 방법', 0.723)","('단말기 할부', 0.615)"
가입 유료야?,"('가입비', 0.869)","('퀵보이스 신청 방법', 0.688)","('단말 보험 가입 방법', 0.671)"
내 부가세,"('세금계산서 신청 방법', 0.535)","('과납', 0.477)","('baro Box 임대료', 0.466)"
how to use the internet,"('인터넷 관련', 0.82)","('퀵보이스 이용 방법', 0.534)","('조회 관련', 0.488)"
몇살이신가요,"('미성년자 관련', 0.743)","('미성년자 요금제 변경 방법', 0.592)","('팅 요금제 자동 변경 시기', 0.562)"
114 전화 통화 안되,"('전화 상담사 연결', 0.574)","('휴대폰 전화 수발신 불가 조치 방법', 0.422)","('전화 관련', 0.404)"
미남 요금이 없습니다 다시 한번 확인해 주세요,,,
로밍요 오늘부터 14일 오는데요,"('T로밍 카드', 0.62)","('T로밍 고객센터', 0.532)","('로밍 일시 허용', 0.519)"
등급은 어떻게 되나요?,"('T멤버십 고객 등급 기준', 0.766)","('T멤버십 고객 등급 조회', 0.743)","('T All케어플러스3 i고급', 0.516)"
상세 명세서보내주세요,"('각종업무구비서류', 0.68)","('통신자료제공', 0.635)","('이메일 상담', 0.629)"
미납요금이,"('SKT 미납센터 연락처', 0.78)","('미납 이용정지', 0.772)","('과납', 0.651)"
녹음할 수 있는 법 알려줄래??,"('T전화 녹음 파일 확인 방법', 0.863)","('T전화 통화 녹음 기능', 0.831)","('T전화 AI통화녹음', 0.642)"
인터넷이 작동을 안해요,"('B tv 인터넷 장애 조치 방법', 0.761)","('유선 인터넷 접속 불가 조치 방법', 0.665)","('인터넷 관련', 0.613)"
데이터무한받으려면어떻게하나요,"('전국민 무한 요금제', 0.573)","('데이터통화료 상한제도', 0.558)","('TB끼리 온가족무료', 0.505)"
요금 죄회,"('과납', 0.506)","('휴대폰 결제 연체 가산금', 0.459)","('휴대폰 결제 취소 방법', 0.45)"
로밍 통화가 안됩니다,"('로밍 통화 요금', 0.54)","('T로밍 고객센터', 0.522)","('T로밍 카드', 0.492)"
미납요금 계좌 좀 알려줘,"('SKT 미납센터 연락처', 0.79)","('미납 이용정지', 0.573)","('과납', 0.461)"
회외에서 전화하기,"('타 통신사 고객센터', 0.515)","('Foreign Language Service', 0.451)","('휴대폰 통화권 이탈 조치 방법', 0.449)"
1개월 납부요망,"('신규가입 구비서류', 0.508)","('가입비', 0.482)","('요금 납부일 확인 방법', 0.464)"
유심 분실,"('로밍 중 USIM 변경', 0.638)","('USIM기변 방법', 0.575)","('USIM 카드 구매 방법', 0.531)"
2년으로 가입하려고합니다,"('컬러링플러스2 신청 방법', 0.601)","('T high5 적금 시즌2 가입 방법', 0.573)","('T플랜 안심2.5G', 0.564)"
납부 방법,"('결제 관련', 0.743)","('가입비', 0.608)","('편의점 요금 납부', 0.59)"
sk BTV 장애,"('B tv 인터넷 장애 조치 방법', 0.698)","('고장 실패 관련', 0.622)","('T전화 오류문의', 0.536)"
sk 텔레콤 인터넷입니다.,"('인터넷 관련', 0.68)","('B tv', 0.491)","('데이터 문의 관련', 0.42)"
아이폰 15 사고 싶어,"('T All케어플러스 i150', 0.61)","('분실파손 i150', 0.536)","('5G 기기 변경 방법', 0.469)"
티비 약정이 얼마 남았는지 궁굼해요!,"('일자별 잔여통화안내 신청 방법', 0.557)","('일자별 잔여통화안내', 0.556)","('T데이터 쿠폰 등록 기간', 0.472)"
약정 1년으로 가능여부 확인 부탁드립니다,"('요금약정 할인제도', 0.509)","('데이터결합약정할인 신청 방법', 0.42)",
서현호 미납요금,"('SKT 미납센터 연락처', 0.573)","('미납 이용정지', 0.504)","('휴대폰 결제 연체 가산금', 0.434)"
장애노,"('장애인 복지할인 제도', 0.807)",,
폰.결제일은 언제인가요,"('요금 납부일 확인 방법', 0.777)","('요금 납부일 변경 방법', 0.634)","('휴대폰 개통일 확인 방법', 0.583)"
15일납부 가능,"('T All케어플러스 i150', 0.467)","('요금 납부일 확인 방법', 0.447)","('분실파손 i150', 0.402)"
산택적약정할인,"('데이터결합약정할인', 0.444)",,
